POCHBR_Acanthoscelides_obtectus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.157945	0.165299	0.165118	0.153271	0.129102	0.0969612	0.0641508	0.0370811	0.0186189	0.00808854	0.00303191	0.000978906	0.000271985	6.50166e-05	1.33759e-05	2.37027e-06	3.62224e-07	4.78119e-08	5.46095e-09	5.40836e-10	4.65473e-11	3.48963e-12	2.28448e-13	1.30924e-14	6.58558e-16	2.91501e-17	1.13838e-18	3.93249e-20	1.20475e-21	3.28161e-23	7.96769e-25	1.72905e-26	3.3718e-28	6.17226e-30	1.8519e-31	
N11	0.0990016	0.1164	0.137652	0.151671	0.149255	0.128568	0.0959737	0.0617235	0.0340676	0.0160931	0.00649446	0.00223651	0.00065695	0.000164627	3.52196e-05	6.43997e-06	1.00805e-06	1.35333e-07	1.56169e-08	1.55276e-09	1.33368e-10	9.92248e-12	6.41256e-13	3.61026e-14	1.77586e-15	7.65457e-17	2.89964e-18	9.68158e-20	2.85744e-21	7.47619e-23	1.73916e-24	3.61091e-26	6.75681e-28	1.20314e-29	3.40012e-31	
N12	0.0517257	0.0710502	0.101815	0.133839	0.154151	0.153154	0.130331	0.0945627	0.0582983	0.0304594	0.013462	0.00502726	0.00158555	0.000422386	9.51072e-05	1.81211e-05	2.92616e-06	4.01215e-07	4.6814e-08	4.65965e-09	3.96696e-10	2.89669e-11	1.8195e-12	9.86085e-14	4.62505e-15	1.88322e-16	6.67753e-18	2.06826e-19	5.61307e-21	1.33882e-22	2.81503e-24	5.23479e-26	8.66409e-28	1.33267e-29	3.23638e-31	
N13	0.00048148	0.00112626	0.00332735	0.00931293	0.0227408	0.0474121	0.0838016	0.125105	0.157305	0.166211	0.147303	0.109348	0.0679379	0.0353224	0.0153757	0.00561006	0.00171874	0.00044318	9.64509e-05	1.77747e-05	2.78374e-06	3.71921e-07	4.25609e-08	4.18886e-09	3.5605e-10	2.62459e-11	1.68473e-12	9.45519e-14	4.65792e-15	2.0219e-16	7.76258e-18	2.64681e-19	8.08796e-21	2.35711e-22	1.17602e-23	
POCHSA_Sagra_femorata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Callosobruchus_chinensis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.114356	0.127621	0.142167	0.150363	0.144639	0.122746	0.0901276	0.0565968	0.0302024	0.0136556	0.00522722	0.00169521	0.000466554	0.000109226	2.18133e-05	3.72771e-06	5.46941e-07	6.91393e-08	7.55676e-09	7.16685e-10	5.91913e-11	4.27235e-12	2.70443e-13	1.50654e-14	7.4104e-16	3.22911e-17	1.25052e-18	4.31727e-20	1.33272e-21	3.68928e-23	9.18414e-25	2.06194e-26	4.19695e-28	8.08995e-30	2.61151e-31	
POCHBR_Callosobruchus_subinnotatus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Callosobruchus_maculatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Callosobruchus_analis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.178105	0.179852	0.169889	0.148758	0.11934	0.0866816	0.0564037	0.0325968	0.0166208	0.00744164	0.00291622	0.000998281	0.000298224	7.77334e-05	1.7686e-05	3.51563e-06	6.11337e-07	9.31416e-08	1.24558e-08	1.46495e-09	1.51847e-10	1.39021e-11	1.12674e-12	8.10292e-14	5.18259e-15	2.95499e-16	1.50551e-17	6.86965e-19	2.81389e-20	1.03704e-21	3.44692e-23	1.03664e-24	2.84845e-26	7.61787e-28	3.46059e-29	
POCHBR_Bruchus_rufimanus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	0.16209	0.16866	0.166793	0.152928	0.127186	0.0944444	0.0619674	0.0356866	0.0179632	0.00788331	0.00301238	0.00100185	0.000290075	7.31804e-05	1.6107e-05	3.098e-06	5.21714e-07	7.70902e-08	1.00181e-08	1.14773e-09	1.16215e-10	1.04269e-11	8.31083e-13	5.90003e-14	3.74026e-15	2.12272e-16	1.08123e-17	4.95501e-19	2.04796e-20	7.65198e-22	2.59067e-23	7.9684e-25	2.24174e-26	6.1084e-28	2.91284e-29	
POCHBR_Bruchus_pisorum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Spermophagus_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	0.114946	0.127778	0.140604	0.146046	0.138584	0.117915	0.08906	0.0593794	0.0348361	0.0179487	0.0081127	0.00321512	0.00111709	0.000340375	9.1004e-05	2.13681e-05	4.41106e-06	8.01592e-07	1.28419e-07	1.81664e-08	2.27311e-09	2.52045e-10	2.48124e-11	2.17293e-12	1.69622e-13	1.18267e-14	7.38045e-16	4.13082e-17	2.07787e-18	9.41287e-20	3.84822e-21	1.4236e-22	4.80521e-24	1.58086e-25	9.18229e-27	
N18	0.0451694	0.0559898	0.0746958	0.099123	0.123263	0.138399	0.137359	0.119101	0.089646	0.0583749	0.03283	0.0159363	0.00667702	0.00241587	0.000755479	0.000204414	4.79197e-05	9.74745e-06	1.72332e-06	2.65289e-07	3.56271e-08	4.1823e-09	4.30053e-10	3.88171e-11	3.0822e-12	2.15769e-13	1.33468e-14	7.3117e-16	3.55594e-17	1.53962e-18	5.95916e-20	2.07916e-21	6.68262e-23	2.12466e-24	1.05036e-25	
POCHDO_Donacia_hirticollis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	0.0407584	0.0504255	0.0676215	0.0913201	0.116806	0.135736	0.139717	0.125547	0.0976938	0.0655475	0.0378396	0.0187793	0.00801214	0.00294029	0.000928989	0.000253013	5.94875e-05	1.20942e-05	2.13002e-06	3.25604e-07	4.32895e-08	5.01636e-09	5.07763e-10	4.49962e-11	3.49886e-12	2.39285e-13	1.44263e-14	7.6853e-16	3.62641e-17	1.51961e-18	5.6742e-20	1.90022e-21	5.81377e-23	1.74786e-24	8.39422e-26	
POCHDO_Donacia_vulgaris	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	0.0368971	0.0469681	0.0653597	0.0910565	0.119	0.139987	0.14458	0.129177	0.0989834	0.0647334	0.0360423	0.0170698	0.00687802	0.00236009	0.000690689	0.000172729	3.69959e-05	6.80347e-06	1.07711e-06	1.47218e-07	1.7422e-08	1.79045e-09	1.60272e-10	1.25342e-11	8.58997e-13	5.17416e-14	2.74743e-15	1.28979e-16	5.36858e-18	1.98688e-19	6.55682e-21	1.93612e-22	5.16201e-24	1.31971e-25	5.6719e-27	
N21	0.0187079	0.0271103	0.0452797	0.0750575	0.11294	0.147441	0.163258	0.151518	0.117106	0.0751124	0.0399193	0.0175749	0.00641484	0.00194424	0.000490403	0.000103227	1.81905e-05	2.69288e-06	3.36144e-07	3.55186e-08	3.18965e-09	2.44424e-10	1.60481e-11	9.06431e-13	4.42198e-14	1.87057e-15	6.88777e-17	2.21594e-18	6.25169e-20	1.55214e-21	3.40301e-23	6.61245e-25	1.14633e-26	1.85373e-28	4.78558e-30	
N22	0.014211	0.0242778	0.0467729	0.083417	0.128089	0.164523	0.174347	0.151301	0.107071	0.061651	0.0288613	0.0109898	0.0034089	0.000863452	0.00017917	3.05767e-05	4.31066e-06	5.04464e-07	4.92571e-08	4.03414e-09	2.78608e-10	1.63119e-11	8.13899e-13	3.4787e-14	1.28001e-15	4.07431e-17	1.12709e-18	2.72185e-20	5.76274e-22	1.07406e-23	1.76914e-25	2.58517e-27	3.3683e-29	4.03948e-31	7.52038e-33	
POCHDO_Donacia_biimpressa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHDO_Donacia_clavipes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
