NODE	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
N1	1.17671e-24	2.72564e-22	5.66031e-20	8.15438e-18	1.7032e-11	5.38292e-08	4.87148e-05	0.00919252	0.237763	0.585078	0.160285	0.00754303	8.92047e-05	5.11685e-07	
N2	9.57475e-19	1.36513e-15	1.73471e-12	1.28333e-09	4.98744e-07	8.88968e-05	0.00596968	0.113969	0.464485	0.356432	0.0564873	0.00252503	4.23828e-05	4.21713e-07	
N3	8.7196e-13	1.04922e-10	1.55486e-08	1.46993e-06	8.01449e-05	0.00231204	0.0318505	0.185701	0.402467	0.293545	0.0755663	0.00804086	0.000417966	1.65622e-05	
N4	1.19032e-14	3.17135e-12	9.20641e-10	1.64967e-07	1.66381e-05	0.000847224	0.0188242	0.152566	0.404804	0.330891	0.0837706	0.00792733	0.000341606	1.04538e-05	
POSCSC_Cheironitis_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N5	1.38182e-16	1.46498e-13	1.3553e-10	7.1165e-08	1.85673e-05	0.0019358	0.0518832	0.288724	0.448471	0.190502	0.017913	0.000545845	7.01415e-06	5.84688e-08	
POSCSC_Phanaeus_chalcomelas	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N6	2.44927e-15	3.43794e-12	3.89226e-09	2.30126e-06	0.00058981	0.0463931	0.422486	0.418484	0.104167	0.00771069	0.000165625	1.30438e-06	4.6881e-09	1.09774e-11	
POSCSC_Bubas_bubalus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
POSCSC_Bubas_bison	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N7	1.99103e-13	1.52064e-10	1.03732e-07	3.5394e-05	0.00446335	0.0744372	0.368279	0.508757	0.0429191	0.00109685	1.18563e-05	6.43072e-08	1.99126e-10	4.48195e-13	
N8	2.8552e-15	4.56853e-11	4.05513e-07	0.00134859	0.909092	0.0880532	0.00149897	6.77745e-06	6.96543e-09	2.39341e-12	3.42453e-16	2.28837e-20	7.54957e-25	1.34987e-29	
POSCSC_Onitis_sp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCSC_Malagoniella_sp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
N9	2.40751e-18	1.19675e-14	4.09574e-11	6.69318e-08	4.03444e-05	0.00515623	0.156637	0.795955	0.0417856	0.0004247	1.45666e-06	2.18758e-09	1.68496e-12	8.38124e-16	
POSCSC_Phanaeus_igneus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
N10	1.27816e-29	2.13149e-24	2.0731e-19	1.00035e-14	2.15395e-10	1.73443e-06	0.00375314	0.992488	0.00375539	1.97082e-06	3.11802e-10	2.01609e-14	6.21373e-19	1.05605e-23	
POSCSC_Bolbites_onitoides	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
POSCSC_Phanaeus_vindex	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
