species,chrom.num
ADCACI_Amblycheila_baroni,21
ADCACI_Cicindela_aurulenta,9
ADCACI_Cicindela_dorsalis,9
ADCACI_Cicindela_hybrida,9
ADCACI_Cicindela_marutha,9
ADCACI_Cicindela_punctulata,"9,10"
ADCACI_Cicindela_repanda,"9,10"
ADCACI_Cicindela_sedecimpunctata,9
ADCACI_Cicindela_sexguttata,"9,10"
ADCACI_Cicindela_splendida,9
ADCACI_Cicindela_tranquebarica,"9,10"
ADCACI_Ctenostoma_sp,7
ADCACI_Cylindera_cognata,9
ADCACI_Ellipsoptera_marginata,9
ADCACI_Lophyra_sp,9
ADCACI_Lophyridia_lunulata,9
ADCACI_Mantichora_amygdaloides,18
ADCACI_Megacephala_brasiliensis,5
ADCACI_Megacephala_sobrina,14
ADCACI_Megacephala_whelani,12
ADCACI_Myriochile_undulata,11
ADCACI_Omus_californicus,17
ADCACI_Oxycheila_sp,12
ADCACI_Pentacomia_sp,10
ADCACI_Prothyma_sp,10
ADCACI_Taenidia_circumdata,9
ADCACI_Therates_sp,10
