"species","chrom.num"
"ADCACI_Amblycheila_baroni",44
"ADCACI_Cicindela_aurulenta",22
"ADCACI_Cicindela_dorsalis",22
"ADCACI_Cicindela_hybrida",22
"ADCACI_Cicindela_marutha",23
"ADCACI_Cicindela_punctulata",22
"ADCACI_Cicindela_repanda",21.5
"ADCACI_Cicindela_sedecimpunctata",21
"ADCACI_Cicindela_sexguttata",21.3
"ADCACI_Cicindela_splendida",22
"ADCACI_Cicindela_tranquebarica",21.3
"ADCACI_Ctenostoma_sp",17
"ADCACI_Cylindera_cognata",21
"ADCACI_Ellipsoptera_marginata",23
"ADCACI_Lophyra_sp",22.5
"ADCACI_Lophyridia_lunulata",22
"ADCACI_Mantichora_amygdaloides",38
"ADCACI_Megacephala_brasiliensis",12
"ADCACI_Megacephala_sobrina",29
"ADCACI_Megacephala_whelani",26
"ADCACI_Myriochile_undulata",25
"ADCACI_Omus_californicus",36
"ADCACI_Oxycheila_sp",29
"ADCACI_Pentacomia_sp",21
"ADCACI_Prothyma_sp",25
"ADCACI_Taenidia_circumdata",22
"ADCACI_Therates_sp",23
