N26	3.09319e-05	0.00103549	0.0128631	0.0751829	0.216795	0.317643	0.244521	0.102913	0.0248647	0.00371438	0.000436665	
POCOCO_Coelophora_sp	0	0	0	0	1	0	0	0	0	0	0	
N27	0.000158726	0.0041116	0.0366385	0.148896	0.295682	0.298936	0.159746	0.0469507	0.00796034	0.000842924	7.69194e-05	
N28	0.00234241	0.0426708	0.230192	0.38803	0.251025	0.0737182	0.0110524	0.000922261	4.59974e-05	1.48318e-06	4.11409e-08	
POCOCO_Calvia_quatuordecimguttata	0	0	1	0	0	0	0	0	0	0	0	
POCOCO_Coleomegilla_maculata	0	0	1	0	0	0	0	0	0	0	0	
POCOCO_Anatis_sp	0	1	0	0	0	0	0	0	0	0	0	
N29	1.18437e-05	0.000307621	0.00354018	0.0235135	0.0922354	0.212235	0.285625	0.227193	0.110254	0.0353895	0.00969496	
POCOCO_Illeis_sp	0	0	0	0	0	0	1	0	0	0	0	
POCOCO_Psyllobora_sp	0	0	0	1	0	0	0	0	0	0	0	
