ADDYAG_Ilybius_subaeneus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.186265	0.177134	0.163439	0.143353	0.116943	0.0870801	0.0583622	0.0348722	0.0184677	0.00864083	0.00356739	0.0012996	0.000418155	0.000119012	3.00198e-05	6.72578e-06	1.34163e-06	2.38884e-07	3.80731e-08	5.44996e-09	7.0418e-10	8.29542e-11	9.15775e-12	1.0489e-12	1.95124e-13	
ADDYAG_Ilybius_aenescens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_fuliginosus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.0333624	0.0357112	0.0413732	0.0500803	0.0611564	0.0733023	0.0846183	0.0929348	0.0963721	0.0939168	0.0857629	0.0732577	0.0584723	0.0435867	0.0303398	0.0197268	0.0119913	0.00682668	0.00365199	0.00184725	0.000893977	0.000423521	0.000205342	0.000110608	7.51353e-05	
N16	0.00806965	0.0104485	0.0159347	0.0253953	0.0396225	0.0585741	0.0805655	0.101939	0.117753	0.123525	0.117243	0.100427	0.0774981	0.0538187	0.0336149	0.0188829	0.00954502	0.00434761	0.00178925	0.000668825	0.000229429	7.3765e-05	2.32736e-05	8.01919e-06	3.86134e-06	
N17	0.00094375	0.00140511	0.00270048	0.0056147	0.0114413	0.0218395	0.0382468	0.0607952	0.0871545	0.112204	0.129337	0.133194	0.122355	0.100157	0.0730124	0.0473898	0.0273943	0.0141159	0.00649633	0.00268087	0.00100063	0.000344529	0.000114771	4.156e-05	2.09935e-05	
N18	4.80067e-06	1.43766e-05	6.00794e-05	0.000253358	0.000977109	0.00331033	0.00965433	0.0239595	0.050238	0.0885834	0.130944	0.161935	0.167337	0.144408	0.104077	0.0626833	0.0315879	0.013345	0.00474069	0.00142272	0.000363691	8.05588e-05	1.61086e-05	3.25005e-06	9.42099e-07	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N19	0.0145594	0.0177932	0.0252367	0.0376228	0.0550796	0.076211	0.0976366	0.114527	0.122212	0.118176	0.103291	0.0814683	0.0579211	0.0370954	0.0213951	0.0111138	0.00520238	0.00219707	0.000839059	0.00029109	9.26269e-05	2.76339e-05	8.14725e-06	2.69293e-06	1.29593e-06	
