N11	2.32705e-11	1.98267e-10	2.56793e-09	3.15768e-08	3.37849e-07	3.06945e-06	2.34017e-05	0.000148389	0.000776067	0.00331995	0.0115213	0.0321735	0.0717533	0.126959	0.177298	0.194764	0.168103	0.114129	0.0611526	0.0259941	0.00882341	0.00240972	0.000533777	9.66916e-05	1.44411e-05	1.79244e-06	1.8631e-07	1.63355e-08	1.21673e-09	7.75456e-11	4.2692e-12	2.07354e-13	9.67771e-15	7.43087e-16	
ADCAHA_Calathus_asturiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_fuscipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	9.10348e-10	3.46956e-09	2.12969e-08	1.38633e-07	8.42507e-07	4.6071e-06	2.23865e-05	9.61197e-05	0.000363467	0.00120759	0.00351866	0.00897828	0.0200377	0.0390786	0.0665518	0.0989262	0.128318	0.145237	0.14347	0.12374	0.0932352	0.0614197	0.035409	0.0178853	0.00792547	0.0030857	0.00105733	0.000319466	8.53024e-05	2.01887e-05	4.25841e-06	8.13969e-07	1.51792e-07	4.00373e-08	
ADCAHA_Calathus_abaxoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
N13	5.5814e-12	5.56301e-11	8.15912e-10	1.12986e-08	1.35133e-07	1.36107e-06	1.14144e-05	7.90613e-05	0.000448985	0.00207583	0.00776039	0.0233088	0.0559216	0.106641	0.161032	0.192083	0.180831	0.134455	0.0791396	0.0370099	0.0138183	0.00414289	0.00100377	0.000197876	3.19598e-05	4.25912e-06	4.71624e-07	4.37044e-08	3.41523e-09	2.27165e-10	1.30486e-11	6.66423e-13	3.28169e-14	2.41105e-15	
N14	2.02041e-13	2.84392e-12	6.25135e-11	1.23454e-09	2.03806e-08	2.76995e-07	3.071e-06	2.75381e-05	0.00019802	0.00113204	0.00510122	0.0179703	0.0491086	0.1034	0.166818	0.20543	0.192741	0.137821	0.0752945	0.0315676	0.0102181	0.00257214	0.000507583	7.91961e-05	9.85516e-06	9.86633e-07	8.01461e-08	5.32653e-09	2.91965e-10	1.33032e-11	5.07997e-13	1.64609e-14	4.81917e-16	2.32504e-17	
ADCAHA_Calathus_rotundatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_granatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_erratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_mollis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.00954453	0.0111352	0.0138211	0.0178039	0.0232501	0.0302112	0.0385417	0.0478414	0.0574434	0.0664665	0.0739336	0.0789359	0.0808076	0.0792634	0.0744618	0.066973	0.0576617	0.0475178	0.0374808	0.0283004	0.0204601	0.0141687	0.00940451	0.00598901	0.00366482	0.00216009	0.00123103	0.000682558	0.000371991	0.000202711	0.000113627	6.85145e-05	4.7305e-05	3.99853e-05	
ADCAHA_Calathus_micropterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_rectus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
