N15	0.0282764	0.0257524	0.0246947	0.0248637	0.026098	0.0282778	0.0312913	0.035005	0.0392428	0.043777	0.0483316	0.0525995	0.0562703	0.0590644	0.0607665	0.0612502	0.0604907	0.0585599	0.055609	0.0518393	0.0474711	0.0427152	0.0377529	
N16	0.0131612	0.0128959	0.0141046	0.0166859	0.0206493	0.0260382	0.0328417	0.0409011	0.0498294	0.0589727	0.0674427	0.0742364	0.078425	0.0793664	0.0768697	0.071256	0.0632892	0.054002	0.0444757	0.0356436	0.0281652	0.022386	0.0183623	
N17	0.004234	0.00433093	0.00514905	0.00682422	0.00961685	0.0138611	0.0198842	0.027887	0.0377999	0.0491518	0.0610149	0.0720813	0.0808931	0.0861784	0.0871895	0.0839127	0.0770661	0.0678839	0.0577764	0.0479978	0.0394283	0.0325131	0.0273254	
N18	0.000200169	0.000290424	0.00056373	0.00121024	0.00262658	0.00551721	0.0109439	0.0201902	0.0343079	0.0533593	0.0756593	0.0975688	0.114292	0.121575	0.117494	0.103305	0.0828296	0.0607853	0.0410622	0.025784	0.0153507	0.00909048	0.00599321	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N19	0.0211201	0.0204463	0.0219086	0.0252962	0.0304953	0.0373568	0.0455712	0.0545776	0.0635417	0.0714262	0.0771548	0.0798327	0.0789609	0.0745686	0.067217	0.0578675	0.0476612	0.0376799	0.0287621	0.0214129	0.0158123	0.0118919	0.00943822	
N20	0.162438	0.17174	0.187085	0.180063	0.142013	0.0889771	0.0438443	0.0170097	0.00523348	0.00129047	0.000258048	4.23516e-05	5.77166e-06	6.60262e-07	6.40417e-08	5.31487e-09	3.80516e-10	2.36755e-11	1.2886e-12	6.17068e-14	2.61358e-15	9.91832e-17	4.40444e-18	
ADDYAG_Agabus_confinis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_sturmii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_ramblae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
