NODE	16	17	18	19	
N1	2.67149e-41	1.18349e-20	0.991837	0.00816296	
POLALA_Cryptolestes_sp	0	1	0	0	
N2	3.31993e-35	8.02427e-12	0.999928	7.21464e-05	
N3	2.87791e-23	0.701078	0.298919	3.37268e-06	
POLALU_Luciola_lateralis	0	1	0	0	
POLALU_Luciola_cruciata	0	1	0	0	
N4	9.57738e-46	8.39831e-22	0.999987	1.31856e-05	
N5	4.40148e-46	5.93345e-23	0.999997	2.82133e-06	
POLAPH_Bicellonycha_sp	0	0	1	0	
POLAPH_Photuris_sp	0	0	1	0	
N6	1.80682e-36	9.64784e-13	0.999999	1.49965e-06	
POLALA_Lucidota_sp	0	1	0	0	
N7	5.92809e-48	1.182e-23	1	1.51853e-07	
N8	8.27901e-48	8.14214e-24	1	3.23339e-08	
N9	5.21825e-48	6.46037e-24	1	2.40084e-09	
POLALA_Photinus_pyralis	0	0	1	0	
N10	1.23793e-49	9.95631e-25	1	3.74436e-11	
POLALA_Ellychnia_corrusca	0	0	1	0	
POLALA_Ellychnia_californica	0	0	1	0	
POLALA_Photinus_australis	0	0	1	0	
N11	3.60943e-47	1.69868e-23	1	2.41182e-08	
POLALA_Aspisoma_sp	0	0	1	0	
N12	1.88557e-49	1.22849e-24	1	1.54416e-10	
POLALA_Pyractomena_borealis	0	0	1	0	
POLALA_Pyractomena_angulata	0	0	1	0	
