NODE	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	
N1	0.0704562	0.0703901	0.070221	0.0698786	0.0692598	0.068236	0.0666693	0.0644356	0.0614512	0.0576982	0.0532406	0.0482271	0.0428767	0.0374508	0.0322166	0.027413	0.0232259	0.0197781	0.0171371	0.0153355	0.0144026	
N2	0.0920467	0.081989	0.0747502	0.0696344	0.0660175	0.0633433	0.0611248	0.0589539	0.0565155	0.0536031	0.0501271	0.0461115	0.0416755	0.0370036	0.0323093	0.0277998	0.0236484	0.0199768	0.0168503	0.0142811	0.0122382	
N3	0.141165	0.123372	0.108197	0.095148	0.0837833	0.0737214	0.0646561	0.056363	0.0486999	0.0415979	0.0350465	0.0290739	0.0237251	0.019042	0.0150486	0.0117412	0.00908725	0.00702816	0.005488	0.0043833	0.00363259	
POCUSC_Dendroctonus_jeffreyi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_ponderosae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0655651	0.0597626	0.0569514	0.0562977	0.0570474	0.0585187	0.0601043	0.0612837	0.0616447	0.0609066	0.0589385	0.0557653	0.0515539	0.0465816	0.0411896	0.0357305	0.0305202	0.0258031	0.0217342	0.0183783	0.0157224	
POCUSC_Dendroctonus_frontalis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0429812	0.0400292	0.0397148	0.0413819	0.0444567	0.0484091	0.0527252	0.0568984	0.0604438	0.0629304	0.064027	0.0635456	0.0614709	0.0579629	0.0533303	0.0479778	0.0423406	0.0368195	0.031731	0.0272784	0.0235453	
POCUSC_Dendroctonus_adjunctus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.00467644	0.00487506	0.00592379	0.00794665	0.0111728	0.0158631	0.0222204	0.0302881	0.0398579	0.0504142	0.0611464	0.0710458	0.0790775	0.0843886	0.0864916	0.0853645	0.0814342	0.0754479	0.0682784	0.0607246	0.0533618	
POCUSC_Dendroctonus_approximatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_brevicomis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
N7	0.111484	0.0989105	0.0893784	0.0820088	0.0760149	0.0707472	0.0657221	0.0606293	0.0553208	0.0497846	0.0441083	0.0384406	0.0329532	0.0278096	0.0231428	0.0190429	0.0155536	0.0126766	0.0103795	0.00860612	0.00728672	
N8	0.160738	0.139505	0.12059	0.103735	0.0887084	0.0753144	0.0633914	0.0528138	0.043487	0.0353384	0.0283075	0.0223352	0.017355	0.0132883	0.0100436	0.00751835	0.00560448	0.00419459	0.00318814	0.00249658	0.00204681	
POCUSC_Dendroctonus_simplex	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_pseudotsugae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.134636	0.117868	0.103739	0.0917308	0.0813788	0.0722819	0.0641145	0.0566314	0.0496697	0.0431423	0.0370261	0.031345	0.0261487	0.021493	0.0174221	0.013958	0.0110953	0.00880285	0.00702932	0.0057107	0.00477759	
N10	0.154967	0.134777	0.11701	0.101327	0.0874211	0.0750334	0.063954	0.0540275	0.0451482	0.0372517	0.0303007	0.0242703	0.0191341	0.0148534	0.0113715	0.00861339	0.00648964	0.00490287	0.00375579	0.00295835	0.00243328	
POCUSC_Dendroctonus_punctatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.176215	0.155032	0.137111	0.12063	0.104173	0.0871117	0.0697015	0.0528595	0.0377248	0.025209	0.0157189	0.0091264	0.00492809	0.00247398	0.00115505	0.000502151	0.000203934	7.80533e-05	2.89123e-05	1.12291e-05	5.60502e-06	
POCUSC_Dendroctonus_rufipennis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_murrayanae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.10261	0.091527	0.0836345	0.0780537	0.0739786	0.0706853	0.0675501	0.0640801	0.0599466	0.0550105	0.0493231	0.0430989	0.0366592	0.0303625	0.0245352	0.0194204	0.0151527	0.0117613	0.00919173	0.00733914	0.00607969	
POCUSC_Dendroctonus_valens	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_terebrans	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
