N23	0.0129484	0.987052	1.12997e-11	1.14484e-34	2.59734e-58	2.22105e-82	9.10641e-107	2.03759e-131	2.67794e-156	2.15777e-181	1.18642e-206	
ADCACI_Cicindela_splendida	0	0	1	0	0	0	0	0	0	0	0	
ADCACI_Cicindela_sexguttata	0	1	0	0	0	0	0	0	0	0	0	
ADCACI_Cicindela_tranquebarica	0	1	0	0	0	0	0	0	0	0	0	
N24	0.446698	0.553302	1.12951e-21	1.05486e-43	2.40023e-66	2.11159e-89	9.02312e-113	2.14051e-136	3.07114e-160	2.825e-184	2.21449e-208	
N25	0.0516549	0.948345	4.7988e-11	7.73418e-33	4.83998e-40	4.9512e-51	4.16216e-63	2.34532e-75	9.46164e-88	2.86109e-100	7.75909e-113	
ADCACI_Cicindela_marutha	0	0	1	0	0	0	0	0	0	0	0	
N26	0.0378376	0.962162	5.08033e-11	5.29397e-23	3.37453e-46	5.6121e-70	7.25109e-103	1.48595e-125	2.87227e-148	4.03907e-171	5.04726e-194	
ADCACI_Ellipsoptera_marginata	0	1	0	0	0	0	0	0	0	0	0	
ADCACI_Taenidia_circumdata	0	0	0	1	0	0	0	0	0	0	0	
ADCACI_Cylindera_cognata	0	1	0	0	0	0	0	0	0	0	0	
