"rate","type"
0.0365874126567421,"fission"
0.0408221381753424,"fission"
0.0271903775424954,"fission"
0.0307833094314458,"fission"
0.0357931817212736,"fission"
0.0282786500588082,"fission"
0.0277963946835593,"fission"
0.0401169075147998,"fission"
0.0391788695862123,"fission"
0.0441159640657155,"fission"
0.0170014907039894,"fission"
0.0150305840891508,"fission"
0.0384705898176984,"fission"
0.0198029979396554,"fission"
0.0348147518510046,"fission"
0.0276442196601363,"fission"
0.022725017273173,"fission"
0.0260146541370087,"fission"
0.0335388931794901,"fission"
0.0199760573974841,"fission"
0.0170800472730791,"fission"
0.0208603079365802,"fission"
0.0325557601562224,"fission"
0.0359558440707814,"fission"
0.0313931507416322,"fission"
0.0359958740409808,"fission"
0.0411668190321529,"fission"
0.0192618245808567,"fission"
0.0311911761502344,"fission"
0.0195490768488949,"fission"
0.0187611441039725,"fission"
0.0381315856081158,"fission"
0.0116450467881729,"fission"
0.00819509994674125,"fission"
0.0300553701262403,"fission"
0.0267936559941069,"fission"
0.0384876379210568,"fission"
0.0380861637291699,"fission"
0.0378279815614323,"fission"
0.0252249200836794,"fission"
0.0193715793573122,"fission"
0.0278998407661616,"fission"
0.0219049117779513,"fission"
0.0453689065207869,"fission"
0.0210297731847366,"fission"
0.0097407697295346,"fission"
0.0152019723325476,"fission"
0.029563115196763,"fission"
0.0257952167372937,"fission"
0.0130804442973868,"fission"
0.0371189491847552,"fission"
0.0128687708036792,"fission"
0.00356785127684013,"fission"
0.0191903878922491,"fission"
0.026015496432455,"fission"
0.0621975985779032,"fission"
0.0345147706199564,"fission"
0.043770484545211,"fission"
0.0267127826449101,"fission"
0.0256805691774344,"fission"
0.0268066379763327,"fission"
0.0317449364470883,"fission"
0.0260144760387094,"fission"
0.0290746821287293,"fission"
0.0371082573810571,"fission"
0.0442329910703383,"fission"
0.0293783158696959,"fission"
0.0156665816010812,"fission"
0.0324445882931299,"fission"
0.0208788113362506,"fission"
0.0154889299625346,"fission"
0.0291843071853759,"fission"
0.0179159151991962,"fission"
0.0253127757154907,"fission"
0.0253177979899235,"fission"
0.0221806719121692,"fission"
0.017356859545466,"fission"
0.0364400248594713,"fission"
0.0306110434696188,"fission"
0.029553270323854,"fission"
0.0351751022729953,"fission"
0.0271952648403238,"fission"
0.0381841475759089,"fission"
0.0226598241944022,"fission"
0.0369078016099471,"fission"
0.0305075738626803,"fission"
0.014774129915411,"fission"
0.0138339788536006,"fission"
0.0182191238674811,"fission"
0.0161520552173557,"fission"
0.0172647480079577,"fission"
0.0285566019897227,"fission"
0.0278815200548386,"fission"
0.0294654409528663,"fission"
0.0230468141378418,"fission"
0.0341266095816272,"fission"
0.0240384430892878,"fission"
0.0291054287466828,"fission"
0.0348418345535188,"fission"
0.032110845586506,"fission"
0.0367524772837831,"fission"
0.0298869503300868,"fission"
0.0168902883023076,"fission"
0.0179173792645069,"fission"
0.0102920834517185,"fission"
0.0309568562491522,"fission"
0.0313971857801543,"fission"
0.0243493979199605,"fission"
0.0354024209575408,"fission"
0.0276668152434946,"fission"
