NODE	16	17	18	19	
N1	1.5917e-40	1.14082e-19	0.99776	0.00223968	
POLALA_Cryptolestes_sp	0	1	0	0	
N2	2.35934e-34	9.66068e-11	0.999982	1.8034e-05	
N3	5.40962e-45	1.22065e-21	0.999998	1.6501e-06	
POLALU_Luciola_lateralis	0	0	1	0	
POLALU_Luciola_cruciata	0	0	1	0	
N4	4.18397e-25	0.903843	0.0961566	8.25069e-08	
N5	1.21367e-23	0.990163	0.00983668	4.34102e-10	
POLAPH_Bicellonycha_sp	0	1	0	0	
POLAPH_Photuris_sp	0	1	0	0	
N6	1.47427e-24	0.986451	0.0135491	8.24674e-10	
POLALA_Lucidota_sp	0	1	0	0	
N7	6.51667e-25	0.99893	0.00107011	2.55325e-12	
N8	1.79198e-24	0.999902	9.79816e-05	1.07204e-14	
N9	1.38027e-24	0.999993	7.34797e-06	3.02391e-17	
POLALA_Photinus_pyralis	0	1	0	0	
N10	3.4649e-25	1	9.56611e-08	2.6306e-21	
POLALA_Ellychnia_corrusca	0	1	0	0	
POLALA_Ellychnia_californica	0	1	0	0	
POLALA_Photinus_australis	0	1	0	0	
N11	4.01949e-24	0.999893	0.000106697	1.27707e-14	
POLALA_Aspisoma_sp	0	1	0	0	
N12	4.55424e-25	0.999999	7.8803e-07	3.48858e-19	
POLALA_Pyractomena_borealis	0	1	0	0	
POLALA_Pyractomena_angulata	0	1	0	0	
