"species","chrom.num"
"POCHCH_Chrysolina_affinis",24
"POCHCH_Chrysolina_americana",24
"POCHCH_Chrysolina_aurichalcea",39.2
"POCHCH_Chrysolina_bicolor",24
"POCHCH_Chrysolina_carnifex",40
"POCHCH_Chrysolina_cerealis",24
"POCHCH_Chrysolina_coerulans",24
"POCHCH_Chrysolina_colasi",24
"POCHCH_Chrysolina_curvilinea",40
"POCHCH_Chrysolina_diluta",36
"POCHCH_Chrysolina_fastuosa",24
"POCHCH_Chrysolina_femoralis",24
"POCHCH_Chrysolina_gemina",24
"POCHCH_Chrysolina_geminata",38
"POCHCH_Chrysolina_graminis",26
"POCHCH_Chrysolina_grossa",24
"POCHCH_Chrysolina_haemoptera",40
"POCHCH_Chrysolina_herbacea",24
"POCHCH_Chrysolina_lucida",24
"POCHCH_Chrysolina_marginata",40
"POCHCH_Chrysolina_obsoleta",23
"POCHCH_Chrysolina_peregrina",46
"POCHCH_Chrysolina_polita",24
"POCHCH_Chrysolina_timarchoides",47
"POCHCH_Chrysolina_varians",32
"POCHCH_Chrysolina_viridana",24
