NODE	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
N1	0.0576234	0.0575712	0.0574658	0.0573074	0.0570982	0.0568415	0.0565427	0.0562085	0.0558472	0.0554689	0.0550846	0.0547064	0.0543471	0.0540196	0.0537368	0.0535105	0.0533515	0.0532686	
POELCA_Cardiophorus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
N2	0.0718502	0.0688081	0.0661766	0.0639009	0.0619216	0.0601774	0.0586086	0.0571593	0.0557793	0.0544251	0.0530609	0.0516583	0.0501963	0.0486603	0.0470421	0.0453386	0.0435512	0.0416852	
N3	0.0761811	0.0728041	0.0697307	0.0669259	0.0643518	0.0619697	0.0597413	0.0576313	0.0556083	0.0536462	0.0517242	0.0498275	0.0479468	0.046077	0.0442171	0.0423683	0.0405334	0.0387153	
N4	0.0815545	0.0777633	0.0741434	0.0706828	0.0673692	0.0641907	0.0611365	0.0581981	0.0553697	0.0526486	0.050035	0.0475316	0.0451429	0.0428743	0.040731	0.0387166	0.0368329	0.0350786	
N5	0.0806642	0.0770442	0.0736955	0.0705676	0.0676034	0.0647454	0.0619426	0.0591557	0.0563616	0.0535548	0.0507473	0.0479665	0.0452504	0.0426431	0.0401884	0.0379244	0.035879	0.034066	
POELAG_Agrypnus_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POELAG_Chalcolepidius_sp	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N6	0.0839367	0.0799597	0.0760935	0.072337	0.0686902	0.0651536	0.0617298	0.0584228	0.0552387	0.0521854	0.0492723	0.0465093	0.0439064	0.0414723	0.0392136	0.0371343	0.0352344	0.0335102	
N7	0.0905231	0.0860467	0.0815249	0.0769825	0.0724473	0.0679498	0.063523	0.059202	0.055023	0.0510228	0.0472374	0.0437005	0.0404419	0.037486	0.0348506	0.0325455	0.0305717	0.0289214	
N8	0.0748484	0.0718207	0.0693171	0.067212	0.0653623	0.0636232	0.0618635	0.05998	0.0579059	0.055616	0.0531249	0.0504816	0.04776	0.0450468	0.0424301	0.039988	0.0377797	0.0358399	
POELEL_Elater_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POELME_Melanotus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
N9	0.0997279	0.0944849	0.0889252	0.0831315	0.0771973	0.0712217	0.0653056	0.0595465	0.0540347	0.0488493	0.0440555	0.0397029	0.0358246	0.0324376	0.0295445	0.0271354	0.0251908	0.0236841	
N10	0.135468	0.127267	0.117682	0.106974	0.0954552	0.0834863	0.0714674	0.0598094	0.0488983	0.0390563	0.0305104	0.0233751	0.0176534	0.0132544	0.0100228	0.00777322	0.00632363	0.00552238	
POELEL_Agriotes_sputator	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0998337	0.0987055	0.100119	0.102241	0.102938	0.100304	0.0932478	0.0818822	0.0674847	0.0520236	0.0374796	0.0252777	0.0160422	0.00968238	0.00567229	0.00334973	0.00212704	0.0015896	
POELEL_Agriotes_obscurus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POELEL_Agriotes_lineatus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POELAG_Adelocera_sp_M	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POELAG_Lacon_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POELDE_Athous_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
POELDE_Limonius_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
