"species","chrom.num"
"POCUSC_Ips_acuminatus",16
"POCUSC_Ips_avulsus",32
"POCUSC_Ips_bonanseai",32
"POCUSC_Ips_borealis",32
"POCUSC_Ips_calligraphus",32
"POCUSC_Ips_confusus",32
"POCUSC_Ips_cribricollis",32
"POCUSC_Ips_emarginatus",32
"POCUSC_Ips_hoppingi",32
"POCUSC_Ips_hunteri",32
"POCUSC_Ips_integer",32
"POCUSC_Ips_knausi",32
"POCUSC_Ips_latidens",20
"POCUSC_Ips_lecontei",32
"POCUSC_Ips_montanus",32
"POCUSC_Ips_paraconfusus",32
"POCUSC_Ips_perroti",32
"POCUSC_Ips_perturbatus",32
"POCUSC_Ips_pilifrons",32
"POCUSC_Ips_pini",31
"POCUSC_Ips_plastographus",32
"POCUSC_Ips_sexdentatus",26
"POCUSC_Ips_spinifer",20
"POCUSC_Ips_tridens",32
"POCUSC_Ips_typographus",28
"POCUSC_Ips_woodi",32
