N20	0.376582	0.276096	0.180495	0.100219	0.0451651	0.0159932	0.0043692	0.000914312	0.000146606	1.81018e-05	1.7342e-06	1.30088e-07	7.71935e-09	3.67633e-10	1.48587e-11	8.23664e-13	
POCOCO_Illeis_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCO_Psyllobora_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	0.00228866	0.995539	0.00217157	1.18181e-06	2.9175e-10	3.10092e-14	1.40402e-18	2.26007e-23	1.00767e-32	7.42736e-33	5.37066e-33	3.81381e-33	2.67115e-33	1.86336e-33	1.31831e-33	9.72307e-34	
POCOCO_Hippodamia_quinquesignata	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCO_Hippodamia_convergens	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	0.228661	0.189481	0.161338	0.135788	0.107986	0.0780661	0.0498877	0.0276712	0.0131769	0.0053568	0.00185645	0.000549978	0.000140536	3.17218e-05	6.84236e-06	1.91654e-06	
POCOCO_Coccinella_septempunctata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N23	0.301408	0.234175	0.175663	0.124114	0.0802309	0.0461807	0.023158	0.00995724	0.00363164	0.00111621	0.000288241	6.25827e-05	1.15076e-05	1.83843e-06	2.79822e-07	5.83091e-08	
POCOCO_Micraspis_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N24	0.333619	0.251293	0.177095	0.114501	0.0664693	0.0339472	0.0149957	0.00565598	0.00180529	0.000484942	0.000109351	2.07069e-05	3.31057e-06	4.56924e-07	6.01465e-08	1.15646e-08	
POCOCO_Cycloneda_sanguinea	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCO_Olla_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N25	0.261662	0.204627	0.157279	0.118317	0.0866956	0.0615525	0.042118	0.0276356	0.0173149	0.010332	0.00587295	0.00319664	0.00168973	0.000893172	0.000497573	0.000316218	
N26	0.2411	0.193141	0.155344	0.123663	0.0956665	0.0706619	0.0491253	0.0318165	0.01907	0.010542	0.00537504	0.00254014	0.00112839	0.00048712	0.000219913	0.000119623	
N27	0.00107943	0.00515646	0.0280573	0.105071	0.24017	0.307994	0.210352	0.0804072	0.0186009	0.00279853	0.000290589	2.18667e-05	1.24392e-06	5.57167e-08	2.06916e-09	8.57662e-11	
POCOCH_Exochomus_quadripustulatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POCOCH_Curinus_coeruleus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POCOCH_Orcus_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N28	0.243516	0.221737	0.205025	0.163454	0.100778	0.0458071	0.0151923	0.00370768	0.00067698	9.43027e-05	1.02255e-05	8.80436e-07	6.13891e-08	3.53841e-09	1.74617e-10	9.74881e-12	
N29	0.247375	0.232745	0.21951	0.167401	0.0904411	0.0329451	0.00806344	0.00134819	0.000157678	1.32275e-05	8.15454e-07	3.77876e-08	1.34423e-09	3.75141e-11	8.62507e-13	2.56699e-14	
POCOCH_Chilocorus_stigma	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCH_Chilocorus_bipustulatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCH_Chilocorus_renipustulatus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POCOCO_Azya_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
