oldname,newname
Anthribidae,Curculionoidea
Attelabidae,Curculionoidea
Brentidae,Curculionoidea
Cupedidae,Archostemata
Curculionidae,Curculionoidea
Melandryidae,Tenebrionoidea
Micromalthidae,Archostemata
Oedemeridae,Tenebrionoidea
Pleocomidae,Scarabaeidae
Ptiliidae,Staphylinidae
Scolytidae,Curculionoidea
Stenotrachelidae,Tenebrionoidea
Tenebrionidae,Tenebrionoidea
Tetratomidae,Tenebrionoidea
Torridincolidae,Myxophaga
Zopheridae,Tenebrionoidea
