N12	0.0461545	0.0445448	0.0435074	0.0429683	0.0428461	0.0430511	0.043485	0.0440416	0.0446093	0.0450752	0.0453314	0.0452825	0.0448533	0.0439964	0.0426968	0.0409738	0.0388796	0.0364937	0.0339149	0.0312511	0.0286098	0.0260884	0.0237681	0.0217096	0.0199524	0.0185153	0.0173995	
N13	0.0284353	0.0278209	0.0279035	0.0286079	0.0298547	0.0315559	0.0336117	0.035908	0.0383164	0.0406982	0.0429101	0.0448135	0.0462855	0.0472291	0.0475821	0.0473235	0.0464743	0.0450948	0.0432777	0.0411375	0.0387994	0.0363877	0.0340155	0.0317777	0.0297463	0.027968	0.0264648	
ADCAHA_Calathus_auctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_ascendens	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.044364	0.042984	0.0422973	0.0422019	0.0425834	0.0433156	0.0442628	0.045283	0.0462331	0.0469758	0.0473877	0.0473679	0.0468456	0.0457858	0.0441925	0.0421077	0.0396074	0.0367943	0.0337878	0.030714	0.0276954	0.0248424	0.0222466	0.0199779	0.0180821	0.0165826	0.0154815	
ADCAHA_Calathus_circumseptus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_freyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
N15	0.0765876	0.0731846	0.0700625	0.0671555	0.064385	0.0616673	0.0589212	0.0560762	0.0530792	0.0498991	0.0465303	0.0429919	0.0393261	0.035593	0.0318647	0.0282184	0.0247297	0.0214657	0.018481	0.0158146	0.0134884	0.0115086	0.00986758	0.00854755	0.00752414	0.00677032	0.00625972	
ADCAHA_Calathus_erratus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
