,Norm.CV,Gain,Loss,Dupl,Scale,lnL
Cerambycidae,0.125994695,78.0462,75.1484,7.88E-07,0.0021173,-139.436
Chrysolina,3.867403315,31.1132,47.4286,0.428527,0.00582919,-74.9019
Chrysomelidae,0.129449838,86.0161,63.5426,0.748404,0.00198091,-896.592
Timarcha,NA,20.4516,16.3603,0.157485,0.00890261,-71.4654
Tenebrionidae,0.076860841,0.88265,4.33462,0.207259,0.00101986,-68.4937
Scarabaeidae,0.059681698,3.23387,3.46366,1.2614,0.00159985,-198.615
Ips,0.483870968,1.81045,2.60274,0.357331,0.00318331,-50.7492
Elateridae,0.064724919,1.82E-08,2.36227,0.935505,0.00657606,-32.9343
Dytiscidae,0.109289617,11.6973,12.1112,"	1.36231",0.00434645,-118.075
Diabrotica,0.053763441,1.02159,5.64E-08,7.88E-07,0.00274572,-8.76087
Dendroctonus,0.692640693,1.61062,2.54893,0.321598,0.010712,-34.5487
Curculionidae,0.101132686,85.8508,51.9894,0.165334,0.00265369,-421.939
Coccinellidae,0.268817204,26.8633,19.7859,7.88E-07,0.00386199,-76.2164
Lampyridae,NA,0,1.62315,0,0.00212253,-10.0214
Pterostichus,0.241935484,0,3.81737,0,0.00642811,-24.988
Bembidion,0.12345679,10.9571,"	1.0922",7.88E-07,0.00423558,-71.5652
Cicindela,0.066312997,3.27743,25.2067,0.119779,0.00718867,-77.1836
Carabidae,0.13618677,69.7342,46.4443,0.578174,0.00462794,-724.106
