NODE	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
N1	0.091186	0.0915885	0.0920704	0.0920656	0.0908873	0.0878974	0.0826932	0.0752519	0.0659769	0.0556153	0.045074	0.0352022	0.0266206	0.0196446	0.0143066	0.0104401	0.00778275	0.00606202	0.00504936	0.00458524	
N2	0.0943812	0.0957783	0.0959902	0.0947809	0.0918971	0.0871569	0.0805464	0.0722856	0.0628341	0.052826	0.0429514	0.0338274	0.0258985	0.0193931	0.0143367	0.0106063	0.00799914	0.00629603	0.00530828	0.00490643	
N3	0.0421471	0.0443174	0.0474839	0.051407	0.0557104	0.0599139	0.0634907	0.0659453	0.0668973	0.0661507	0.0637297	0.0598724	0.0549831	0.0495585	0.0441071	0.0390829	0.034846	0.0316535	0.029676	0.0290271	
POCUSC_Dendroctonus_jeffreyi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_ponderosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N4	0.106681	0.107281	0.105659	0.101789	0.0957537	0.0877852	0.0782875	0.0678144	0.0570079	0.0465094	0.0368685	0.0284743	0.0215256	0.0160424	0.0119079	0.00892534	0.00687304	0.0055465	0.00478493	0.00448434	
POCUSC_Dendroctonus_frontalis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.107842	0.108145	0.105971	0.101435	0.0947814	0.0863864	0.0767359	0.0663904	0.0559305	0.0458956	0.0367275	0.0287308	0.0220588	0.016725	0.0126351	0.00962808	0.00751872	0.00613153	0.005325	0.0050061	
POCUSC_Dendroctonus_adjunctus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0924502	0.0959384	0.0997114	0.102344	0.102322	0.0985754	0.0908304	0.0796855	0.0663984	0.0525042	0.0394152	0.0281364	0.0191568	0.0125017	0.00788104	0.00485914	0.00299037	0.00190064	0.00131918	0.00107918	
POCUSC_Dendroctonus_approximatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_brevicomis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0462508	0.0496156	0.0548712	0.0613635	0.0681525	0.07415	0.0783054	0.0798073	0.0782483	0.073706	0.0667106	0.0581104	0.0488769	0.0399117	0.031905	0.0252741	0.0201807	0.0166017	0.0144238	0.0135345	
N8	0.0784105	0.0803163	0.0819193	0.0828733	0.082758	0.0811825	0.0778894	0.0728344	0.0662179	0.058459	0.050119	0.0417972	0.0340267	0.0272001	0.0215371	0.017096	0.0138166	0.0115766	0.010245	0.00972501	
POCUSC_Dendroctonus_simplex	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_pseudotsugae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.025662	0.0280574	0.0322406	0.0381619	0.0455711	0.0539328	0.0624115	0.0699604	0.0755111	0.0782133	0.0776434	0.0739066	0.0675981	0.0596425	0.0510778	0.0428585	0.0357316	0.0302039	0.0265797	0.0250357	
N10	0.0220687	0.0239432	0.027193	0.0318482	0.0378322	0.0448874	0.052525	0.0600347	0.0665715	0.0713111	0.0736328	0.07327	0.0703769	0.06549	0.0594006	0.0529889	0.0470734	0.0423165	0.0391979	0.0380381	
POCUSC_Dendroctonus_punctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N11	8.00279e-05	0.000227579	0.000854505	0.00302286	0.00926548	0.0240385	0.0522101	0.0941927	0.140301	0.171804	0.172571	0.142182	0.0962951	0.0538328	0.0249885	0.009705	0.0031882	0.000907358	0.000244205	8.83845e-05	
POCUSC_Dendroctonus_rufipennis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_murrayanae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N12	0.0182904	0.0201055	0.0233395	0.0280361	0.0341454	0.0414504	0.0495114	0.0576599	0.0650642	0.0708652	0.0743532	0.0751312	0.0732116	0.0690153	0.0632765	0.056891	0.0507609	0.0456773	0.0422611	0.040954	
POCUSC_Dendroctonus_valens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
POCUSC_Dendroctonus_terebrans	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
