N11	4.61213e-12	1.82974e-11	1.16061e-10	8.00619e-10	5.32912e-09	3.2858e-08	1.8476e-07	9.41077e-07	4.32737e-06	1.79282e-05	6.68286e-05	0.000223896	0.000673641	0.00181896	0.00440585	0.00957053	0.0186443	0.0325852	0.0511353	0.0721611	0.0917985	0.105679	0.110743	0.106576	0.0954353	0.0810397	0.0669981	0.0557919	0.0486426	0.0459861	
ADCAHA_Calathus_fuscipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N12	7.59713e-13	3.2231e-12	2.30293e-11	1.76179e-10	1.27383e-09	8.43987e-09	5.08028e-08	2.76925e-07	1.36452e-06	6.06957e-06	2.43445e-05	8.79582e-05	0.000286022	0.000836453	0.00219856	0.00519155	0.0110107	0.0209754	0.0359042	0.0552697	0.0766299	0.0959328	0.108876	0.11273	0.107549	0.096022	0.0821429	0.0696326	0.061024	0.0576692	
ADCAHA_Calathus_erratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ADCAHA_Calathus_rectus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
N13	0.00176457	0.00253892	0.00428843	0.00752322	0.0129554	0.0213639	0.0333104	0.0487329	0.0665577	0.0845616	0.0996933	0.108872	0.109999	0.10274	0.0886636	0.0706806	0.052046	0.035405	0.0222564	0.0129343	0.0069529	0.00345951	0.00159459	0.000681633	0.000270697	0.000100238	3.49495e-05	1.18248e-05	4.27543e-06	2.15698e-06	
N14	0.000270288	0.000450924	0.000960236	0.00218091	0.00483911	0.0100916	0.0194236	0.0341722	0.0546355	0.0790852	0.103374	0.121797	0.129192	0.123269	0.105752	0.081555	0.0565401	0.0352465	0.0197662	0.00997828	0.00453836	0.00186201	0.000690384	0.000232005	7.10393e-05	2.00263e-05	5.31041e-06	1.38762e-06	3.98568e-07	1.68182e-07	
N15	0.000243112	0.000463992	0.00121479	0.00339262	0.00888755	0.0207024	0.0419728	0.0734005	0.110251	0.141937	0.156458	0.147637	0.119305	0.0826434	0.0491432	0.0251322	0.0110781	0.00421943	0.00139244	0.000399302	9.98066e-05	2.18149e-05	4.18395e-06	7.06882e-07	1.05716e-07	1.40958e-08	1.69813e-09	1.90814e-10	2.22398e-11	4.27445e-12	
ADCAHA_Calathus_circumseptus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_freyi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_ascendens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_auctus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
