tip,chrom.num,Ne
POCHCH_Chrysolina_affinis,24,1
POCHCH_Chrysolina_americana,24,1
POCHCH_Chrysolina_aurichalcea,39.2,1
POCHCH_Chrysolina_bicolor,24,1
POCHCH_Chrysolina_carnifex,40,1
POCHCH_Chrysolina_cerealis,24,1
POCHCH_Chrysolina_coerulans,24,1
POCHCH_Chrysolina_colasi,24,1
POCHCH_Chrysolina_curvilinea,40,1
POCHCH_Chrysolina_diluta,36,1
POCHCH_Chrysolina_fastuosa,24,1
POCHCH_Chrysolina_femoralis,24,1
POCHCH_Chrysolina_gemina,24,1
POCHCH_Chrysolina_geminata,38,1
POCHCH_Chrysolina_graminis,26,1
POCHCH_Chrysolina_grossa,24,1
POCHCH_Chrysolina_haemoptera,40,1
POCHCH_Chrysolina_herbacea,24,1
POCHCH_Chrysolina_lucida,24,1
POCHCH_Chrysolina_marginata,40,1
POCHCH_Chrysolina_obsoleta,23,1
POCHCH_Chrysolina_peregrina,46,1
POCHCH_Chrysolina_polita,24,1
POCHCH_Chrysolina_timarchoides,47,1
POCHCH_Chrysolina_varians,32,1
POCHCH_Chrysolina_viridana,24,1
POCHCH_Cyrtonus_arcasi,40,1
POCHCH_Cyrtonus_contractus,28,1
POCHCH_Cyrtonus_cupreovirens,28,1
POCHCH_Cyrtonus_cylindricus,28,1
POCHCH_Cyrtonus_dufouri,28,1
POCHCH_Cyrtonus_elegans,28,1
POCHCH_Cyrtonus_fairmairei,40,1
POCHCH_Cyrtonus_majoricensis,28,1
POCHCH_Cyrtonus_pardoi,46,1
POCHCH_Cyrtonus_plumbeus,28,1
POCHCH_Cyrtonus_puncticeps,40,1
POCHCH_Cyrtonus_rotundatus,28,1
POCHCH_Cyrtonus_ruficornis,28,1
POCHCH_Timarcha_aurichalcea,18,1
POCHCH_Timarcha_balearica,22,1
POCHCH_Timarcha_calceata,30,1
POCHCH_Timarcha_cornuta,18,1
POCHCH_Timarcha_cyanescens,20,1
POCHCH_Timarcha_espanoli,26,1
POCHCH_Timarcha_fallax,20,1
POCHCH_Timarcha_geniculata,20,1
POCHCH_Timarcha_goettingensis,20,1
POCHCH_Timarcha_gougeleti,20,1
POCHCH_Timarcha_granadensis,22,1
POCHCH_Timarcha_hispanica,20,1
POCHCH_Timarcha_insparsa,20,1
POCHCH_Timarcha_intermedia,20,1
POCHCH_Timarcha_interstitialis,20,1
POCHCH_Timarcha_intricata,44,1
POCHCH_Timarcha_lugens,20,1
POCHCH_Timarcha_marginicollis,20,1
POCHCH_Timarcha_maritima,20,1
POCHCH_Timarcha_metallica,20,1
POCHCH_Timarcha_montserratensis,20,1
POCHCH_Timarcha_perezi,20,1
POCHCH_Timarcha_pimelioides,28,1
POCHCH_Timarcha_recticollis,20,1
POCHCH_Timarcha_rugosa,26,1
POCHCH_Timarcha_scabripennis,26,1
POCHCH_Timarcha_sinuaticollis,20,1
POCHCH_Timarcha_strangulata,28,1
POCHCH_Timarcha_tenebricosa,22,1
POCHCH_Timarcha_ventricosa,26,1
POCHGA_Diabrotica_adelpha,19,3
POCHGA_Diabrotica_balteata,19,3
POCHGA_Diabrotica_cristata,19,3
POCHGA_Diabrotica_limitata,19,3
POCHGA_Diabrotica_longicornis,19.3,3
POCHGA_Diabrotica_nummularis,19,3
POCHGA_Diabrotica_porracea,19,3
POCHGA_Diabrotica_scutellata,19,3
POCHGA_Diabrotica_sexmaculata,19,3
POCHGA_Diabrotica_speciosa,21,3
POCHGA_Diabrotica_tibialis,19,3
POCHGA_Diabrotica_undecimpunctata,19,3
POCUSC_Dendroctonus_adjunctus,14,1
POCUSC_Dendroctonus_approximatus,12,1
POCUSC_Dendroctonus_brevicomis,12,1
POCUSC_Dendroctonus_frontalis,16,1
POCUSC_Dendroctonus_jeffreyi,24,1
POCUSC_Dendroctonus_murrayanae,30,1
POCUSC_Dendroctonus_ponderosae,24,1
POCUSC_Dendroctonus_pseudotsugae,30,1
POCUSC_Dendroctonus_punctatus,32,1
POCUSC_Dendroctonus_rufipennis,30,1
POCUSC_Dendroctonus_simplex,30,1
POCUSC_Dendroctonus_terebrans,26,1
POCUSC_Dendroctonus_valens,28,1
POCUSC_Ips_acuminatus,16,2
POCUSC_Ips_avulsus,32,2
POCUSC_Ips_bonanseai,32,2
POCUSC_Ips_borealis,32,2
POCUSC_Ips_calligraphus,32,2
POCUSC_Ips_confusus,32,2
POCUSC_Ips_cribricollis,32,2
POCUSC_Ips_emarginatus,32,2
POCUSC_Ips_hoppingi,32,2
POCUSC_Ips_hunteri,32,2
POCUSC_Ips_integer,32,2
POCUSC_Ips_knausi,32,2
POCUSC_Ips_latidens,20,2
POCUSC_Ips_lecontei,32,2
POCUSC_Ips_montanus,32,2
POCUSC_Ips_paraconfusus,32,2
POCUSC_Ips_perroti,32,2
POCUSC_Ips_perturbatus,32,2
POCUSC_Ips_pilifrons,32,2
POCUSC_Ips_pini,31,2
POCUSC_Ips_plastographus,32,2
POCUSC_Ips_sexdentatus,26,2
POCUSC_Ips_spinifer,20,2
POCUSC_Ips_tridens,32,2
POCUSC_Ips_typographus,28,2
POCUSC_Ips_woodi,32,2
POTEPI_Pimelia_ascendens,18,2
POTEPI_Pimelia_atlantis_atlantis,18,2
POTEPI_Pimelia_atlantis_frigioides,18,2
POTEPI_Pimelia_baetica,18,2
POTEPI_Pimelia_boyeri,18,2
POTEPI_Pimelia_canariensis,18,2
POTEPI_Pimelia_costata,18,2
POTEPI_Pimelia_criba,20,2
POTEPI_Pimelia_echidna,18,2
POTEPI_Pimelia_elevata,20,2
POTEPI_Pimelia_estevezi,18,2
POTEPI_Pimelia_fernandezlopezi,18,2
POTEPI_Pimelia_granulicollis,18,2
POTEPI_Pimelia_integra,18,2
POTEPI_Pimelia_interjecta,20,2
POTEPI_Pimelia_laevigata_costipennis,18,2
POTEPI_Pimelia_laevigata_laevigata,18,2
POTEPI_Pimelia_laevigata_validipes,18,2
POTEPI_Pimelia_lutaria,18,2
POTEPI_Pimelia_maura,18,2
POTEPI_Pimelia_mauritanica,18,2
POTEPI_Pimelia_monticola,18,2
POTEPI_Pimelia_radula,18,2
POTEPI_Pimelia_rugosa,18,2
POTEPI_Pimelia_scabrosa,18,2
POTEPI_Pimelia_sparsa_albohumeralis,18,2
POTEPI_Pimelia_sparsa_serrimargo,18,2
POTEPI_Pimelia_sparsa_sparsa,18,2
POTEPI_Pimelia_variolosa,18,2
