tip,chrom.num,Ne
ADCACI_Amblycheila_baroni,44,3
ADCACI_Cicindela_aurulenta,22,3
ADCACI_Cicindela_dorsalis,22,3
ADCACI_Cicindela_hybrida,22,3
ADCACI_Cicindela_marutha,23,3
ADCACI_Cicindela_punctulata,22,3
ADCACI_Cicindela_repanda,21.5,3
ADCACI_Cicindela_sedecimpunctata,21,3
ADCACI_Cicindela_sexguttata,21.3,3
ADCACI_Cicindela_splendida,22,3
ADCACI_Cicindela_tranquebarica,21.3,3
ADCACI_Ctenostoma_sp,17,3
ADCACI_Cylindera_cognata,21,3
ADCACI_Ellipsoptera_marginata,23,3
ADCACI_Lophyra_sp,22.5,3
ADCACI_Lophyridia_lunulata,22,3
ADCACI_Mantichora_amygdaloides,38,3
ADCACI_Megacephala_brasiliensis,12,3
ADCACI_Megacephala_sobrina,29,3
ADCACI_Megacephala_whelani,26,3
ADCACI_Myriochile_undulata,25,3
ADCACI_Omus_californicus,36,3
ADCACI_Oxycheila_sp,29,3
ADCACI_Pentacomia_sp,21,3
ADCACI_Prothyma_sp,25,3
ADCACI_Taenidia_circumdata,22,3
ADCACI_Therates_sp,23,3
ADCAHA_Calathus_abaxoides,55,1
ADCAHA_Calathus_ambiguus,37,1
ADCAHA_Calathus_ascendens,23.5,1
ADCAHA_Calathus_asturiensis,39,1
ADCAHA_Calathus_auctus,37,1
ADCAHA_Calathus_brevis,37,1
ADCAHA_Calathus_circumseptus,43,1
ADCAHA_Calathus_erratus,37,1
ADCAHA_Calathus_freyi,36,1
ADCAHA_Calathus_fuscipes,37,1
ADCAHA_Calathus_granatensis,37,1
ADCAHA_Calathus_melanocephalus,37.5,1
ADCAHA_Calathus_micropterus,37,1
ADCAHA_Calathus_mollis,39,1
ADCAHA_Calathus_rectus,37,1
ADCAHA_Calathus_rotundatus,39,1
ADCAHA_Harpalus_aesculanus,37,3
ADCAHA_Harpalus_affinis,37,3
ADCAHA_Harpalus_anxius,37,3
ADCAHA_Harpalus_attenuatus,37,3
ADCAHA_Harpalus_contemptus,37,3
ADCAHA_Harpalus_decipiens,37,3
ADCAHA_Harpalus_dimidiatus,35,3
ADCAHA_Harpalus_distinguendus,37,3
ADCAHA_Harpalus_ebeninus,37,3
ADCAHA_Harpalus_honestus,37,3
ADCAHA_Harpalus_pennsylvanicus,37,3
ADCAHA_Harpalus_rubripes,37,3
ADCAHA_Harpalus_serripes,38,3
ADCAHA_Harpalus_wagneri,30,3
ADCAHA_Pterostichus_alacer,37,2
ADCAHA_Pterostichus_angustus,37,2
ADCAHA_Pterostichus_anthracinus,37,2
ADCAHA_Pterostichus_aterrimus,37,2
ADCAHA_Pterostichus_flavofemoratus,37,2
ADCAHA_Pterostichus_globosus,37,2
ADCAHA_Pterostichus_herculeanus,37,2
ADCAHA_Pterostichus_interruptus,37,2
ADCAHA_Pterostichus_melanarius,37,2
ADCAHA_Pterostichus_nemoralis,37,2
ADCAHA_Pterostichus_niger,37,2
ADCAHA_Pterostichus_nigrita,37,2
ADCAHA_Pterostichus_oblongopunctatus,28,2
ADCAHA_Pterostichus_spinolae,37,2
ADCAHA_Pterostichus_ziegleri,34,2
ADCATR_Bembidion_aenulum,24,3
ADCATR_Bembidion_americanum,24,3
ADCATR_Bembidion_antiquum,24,3
ADCATR_Bembidion_arenobilis,24,3
ADCATR_Bembidion_articulatum,26,3
ADCATR_Bembidion_balli,24,3
ADCATR_Bembidion_bellorum,24,3
ADCATR_Bembidion_bifossulatum,24,3
ADCATR_Bembidion_californicum,24,3
ADCATR_Bembidion_chalceum,26,3
ADCATR_Bembidion_concolor,24,3
ADCATR_Bembidion_confusum,24,3
ADCATR_Bembidion_coxendix,23,3
ADCATR_Bembidion_decorum,24,3
ADCATR_Bembidion_honestum,24,3
ADCATR_Bembidion_inaequale,22,3
ADCATR_Bembidion_insulatum,24,3
ADCATR_Bembidion_integrum,24,3
ADCATR_Bembidion_lampros,23,3
ADCATR_Bembidion_lapponicum,24,3
ADCATR_Bembidion_levettei,22,3
ADCATR_Bembidion_levettei_carrianum,22,3
ADCATR_Bembidion_levigatum,24,3
ADCATR_Bembidion_louisella,24,3
ADCATR_Bembidion_mexicanum,24,3
ADCATR_Bembidion_obtusum,24,3
ADCATR_Bembidion_planatum,24,3
ADCATR_Bembidion_properans,24,3
ADCATR_Bembidion_punctulatum,24,3
ADCATR_Bembidion_quadrimaculatum,23.3,3
ADCATR_Bembidion_rapidum,24,3
ADCATR_Bembidion_rothfelsi,34,3
ADCATR_Bembidion_ruficorne,26,3
ADCATR_Bembidion_rufotinctum,24,3
ADCATR_Bembidion_sejunctum,24,3
ADCATR_Bembidion_tairuense,24,3
ADCATR_Bembidion_tetracolum,24.3,3
ADCATR_Bembidion_tibiale,24,3
ADCATR_Bembidion_transversale,24,3
ADCATR_Bembidion_umbratum,24,3
