species,chrom.num
POTEPI_Pimelia_ascendens,8
POTEPI_Pimelia_atlantis_atlantis,8
POTEPI_Pimelia_atlantis_frigioides,8
POTEPI_Pimelia_baetica,8
POTEPI_Pimelia_boyeri,8
POTEPI_Pimelia_canariensis,8
POTEPI_Pimelia_costata,8
POTEPI_Pimelia_criba,9
POTEPI_Pimelia_echidna,8
POTEPI_Pimelia_elevata,9
POTEPI_Pimelia_estevezi,8
POTEPI_Pimelia_fernandezlopezi,8
POTEPI_Pimelia_granulicollis,8
POTEPI_Pimelia_integra,8
POTEPI_Pimelia_interjecta,9
POTEPI_Pimelia_laevigata_costipennis,8
POTEPI_Pimelia_laevigata_laevigata,8
POTEPI_Pimelia_laevigata_validipes,8
POTEPI_Pimelia_lutaria,8
POTEPI_Pimelia_maura,8
POTEPI_Pimelia_mauritanica,8
POTEPI_Pimelia_monticola,8
POTEPI_Pimelia_radula,8
POTEPI_Pimelia_rugosa,8
POTEPI_Pimelia_scabrosa,8
POTEPI_Pimelia_sparsa_albohumeralis,8
POTEPI_Pimelia_sparsa_serrimargo,8
POTEPI_Pimelia_sparsa_sparsa,8
POTEPI_Pimelia_variolosa,8
