NODE	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	
N10	0.13204	0.124879	0.116949	0.108143	0.0983733	0.087663	0.0762008	0.0643496	0.0526005	0.0414868	0.0314874	0.0229451	0.0160238	0.0107077	0.00683818	0.0041693	0.00242498	0.00134461	0.000710408	0.0003575	0.000171309	7.81532e-05	3.39416e-05	1.40325e-05	5.52314e-06	2.06994e-06	7.3886e-07	2.51287e-07	8.14769e-08	2.52098e-08	7.45623e-09	2.11552e-09	5.80458e-10	1.57109e-10	4.40961e-11	1.44707e-11	7.04312e-12	
ADDYDY_Dytiscus_marginalis_M	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Dytiscus_circumcinctus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	2.11143e-07	2.96279e-07	5.46277e-07	1.16752e-06	2.669e-06	6.24186e-06	1.45633e-05	3.33934e-05	7.45311e-05	0.000160874	0.000334309	0.00066671	0.00127305	0.00232355	0.00404888	0.00673019	0.0106656	0.0161088	0.0231844	0.0317981	0.0415688	0.0518151	0.061619	0.0699652	0.0759288	0.0788626	0.0785275	0.0751303	0.0692593	0.0617441	0.0534851	0.0453013	0.0378299	0.0314882	0.0264903	0.0228946	0.0206618	
N12	1.32169e-07	1.85532e-07	3.4461e-07	7.47546e-07	1.74148e-06	4.15566e-06	9.89421e-06	2.31433e-05	5.26689e-05	0.000115868	0.000245312	0.000498263	0.000968755	0.0018001	0.00319317	0.00540329	0.00871757	0.0134066	0.0196514	0.0274577	0.0365797	0.0464847	0.0563819	0.0653261	0.072379	0.0767906	0.078148	0.0764509	0.072093	0.0657608	0.0582858	0.0504932	0.0430862	0.0365824	0.0313034	0.0274013	0.0249018	
N13	6.31855e-08	8.81037e-08	1.64516e-07	3.6515e-07	8.78907e-07	2.16981e-06	5.3267e-06	1.2785e-05	2.97215e-05	6.65625e-05	0.000143153	0.000295077	0.00058225	0.00109898	0.00198325	0.00342097	0.00563974	0.0088861	0.0133832	0.0192707	0.0265383	0.0349685	0.0441125	0.0533142	0.0617899	0.0687518	0.0735475	0.075781	0.0753827	0.0726109	0.067989	0.0621983	0.0559582	0.0499218	0.0446052	0.0403562	0.0373524	
N14	9.67127e-08	1.29075e-07	2.2358e-07	4.53335e-07	9.92405e-07	2.23049e-06	5.00236e-06	1.1021e-05	2.36502e-05	4.9201e-05	9.89729e-05	0.000192236	0.000360239	0.000651034	0.00113447	0.00190611	0.00308814	0.00482512	0.00727255	0.0105771	0.01485	0.0201361	0.0263864	0.0334395	0.0410201	0.0487585	0.0562299	0.0630077	0.0687205	0.0731011	0.0760164	0.0774738	0.0776025	0.0766163	0.0747659	0.0722918	0.0693848	
N15	3.38881e-10	6.26315e-10	1.72844e-09	5.63177e-09	1.91975e-08	6.48695e-08	2.12189e-07	6.64712e-07	1.98417e-06	5.62961e-06	1.5162e-05	3.87333e-05	9.38112e-05	0.000215341	0.000468381	0.000965163	0.001884	0.00348349	0.0061009	0.0101214	0.0159072	0.0236882	0.033432	0.0447329	0.0567701	0.0683729	0.0782049	0.08503	0.0879886	0.0867991	0.0818221	0.0739729	0.0645177	0.0548218	0.0461194	0.0393506	0.0350746	
ADDYAG_Ilybius_erichsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_albarracinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ADDYAG_Ilybius_chalconatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N16	1.08833e-07	1.54107e-07	2.89841e-07	6.33323e-07	1.4705e-06	3.46085e-06	8.06316e-06	1.83679e-05	4.06248e-05	8.68587e-05	0.000179013	0.000354938	0.000676119	0.00123618	0.00216789	0.00364506	0.00587451	0.00907388	0.0134332	0.0190632	0.0259394	0.033857	0.0424131	0.0510304	0.0590257	0.0657131	0.070522	0.0730975	0.0733614	0.071515	0.0679886	0.0633518	0.0582113	0.0531195	0.0485134	0.0446866	0.0417902	
N17	3.27798e-06	4.52781e-06	7.72996e-06	1.43197e-05	2.71743e-05	5.16178e-05	9.70503e-05	0.000179394	0.00032449	0.000572391	0.000982188	0.00163642	0.00264356	0.00413649	0.00626453	0.00917746	0.0130008	0.0178044	0.0235697	0.0301621	0.0373177	0.0446513	0.0516894	0.0579253	0.0628879	0.0662108	0.0676869	0.0672974	0.0652088	0.0617407	0.0573129	0.0523835	0.0473918	0.042714	0.0386369	0.0353478	0.0329373	
ADDYAG_Ilybius_vittiger	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_wasastjernae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N18	4.50296e-08	6.22664e-08	1.15059e-07	2.52905e-07	6.02152e-07	1.46572e-06	3.53485e-06	8.31233e-06	1.89086e-05	4.14454e-05	8.73654e-05	0.000176945	0.000344175	0.000642814	0.00115278	0.00198514	0.00328314	0.00521607	0.00796309	0.0116862	0.016494	0.0224026	0.0293023	0.0369415	0.0449363	0.0528082	0.0600469	0.0661849	0.0708679	0.0739044	0.0752847	0.0751649	0.0738247	0.0716078	0.0688605	0.0658797	0.0628762	
N19	2.47181e-11	5.03124e-11	1.54988e-10	5.55856e-10	2.06634e-09	7.58809e-09	2.69508e-08	9.1664e-08	2.97074e-07	9.15066e-07	2.67522e-06	7.41737e-06	1.94952e-05	4.85601e-05	0.000114617	0.000256334	0.000543206	0.00109083	0.0020761	0.00374571	0.00640838	0.0104006	0.016021	0.0234375	0.0325886	0.0431099	0.0543212	0.0652984	0.0750252	0.082594	0.0873981	0.0892599	0.0884552	0.0856282	0.0816228	0.0772794	0.0732451	
N20	6.67211e-12	1.427e-11	4.93514e-11	2.04185e-10	8.71847e-10	3.62848e-09	1.4418e-08	5.42892e-08	1.93147e-07	6.48463e-07	2.05319e-06	6.12845e-06	1.724e-05	4.56985e-05	0.000114125	0.000268493	0.000595017	0.00124212	0.00244261	0.0045252	0.00789919	0.0129954	0.0201556	0.0294846	0.0407039	0.0530709	0.0654199	0.0763493	0.0845239	0.0890008	0.0894693	0.0863196	0.0805205	0.0733586	0.0661371	0.0599249	0.0554069	
N21	1.72798e-23	3.22936e-22	9.03479e-21	2.52704e-19	6.6388e-18	1.59786e-16	3.47952e-15	6.80414e-14	1.1881e-12	1.84311e-11	2.52737e-10	3.04727e-09	3.21254e-08	2.94378e-07	2.33e-06	1.58246e-05	9.1594e-05	0.000448662	0.00184697	0.00634692	0.0180933	0.0425553	0.0822159	0.130058	0.168146	0.17757	0.153299	0.108425	0.0630418	0.0302733	0.0120748	0.00402621	0.00113035	0.000269526	5.54931e-05	1.05277e-05	2.61038e-06	
ADDYAG_Ilybius_quadriguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_guttiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_subaeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N22	1.67626e-07	2.2502e-07	3.95887e-07	8.22382e-07	1.85002e-06	4.26454e-06	9.76492e-06	2.18495e-05	4.73727e-05	9.90977e-05	0.000199572	0.000386505	0.000719433	0.00128673	0.0022111	0.00365044	0.00579066	0.00882695	0.0129321	0.0182138	0.0246683	0.0321401	0.0403019	0.0486664	0.0566337	0.0635712	0.0689107	0.0722425	0.0733836	0.072405	0.0696127	0.0654885	0.0606073	0.0555496	0.0508257	0.0468213	0.0437683	
ADDYAG_Ilybius_aenescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_fuliginosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	8.98044e-05	0.000100174	0.000128601	0.00018397	0.000282775	0.000452283	0.000734587	0.00119101	0.00190583	0.00298783	0.00456776	0.00678976	0.00979526	0.0136994	0.0185616	0.0243551	0.0309415	0.0380578	0.0453222	0.0522634	0.0583702	0.0631566	0.0662292	0.0673455	0.0664501	0.0636807	0.0593444	0.053868	0.0477353	0.0414222	0.0353433	0.0298164	0.0250491	0.0211449	0.0181238	0.0159499	0.0145596	
N24	1.35322e-06	2.02716e-06	4.07249e-06	9.37085e-06	2.25496e-05	5.41951e-05	0.000127044	0.000286763	0.000618685	0.00127022	0.00247494	0.00456848	0.00798005	0.0131806	0.0205749	0.0303432	0.0422679	0.0556074	0.0690888	0.0810683	0.0898481	0.0940717	0.093071	0.0870414	0.076982	0.064425	0.0510559	0.038352	0.0273438	0.018539	0.0119875	0.00742723	0.0044455	0.00260945	0.00154648	0.000978418	0.000724602	
ADDYAG_Agabus_confinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_sturmii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
