NODE	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	
N1	0.0459504	0.0460079	0.0461164	0.0462592	0.0464101	0.0465336	0.0465866	0.0465209	0.0462861	0.0458336	0.0451208	0.0441149	0.0427968	0.0411636	0.0392297	0.0370267	0.0346018	0.0320141	0.0293306	0.0266213	0.0239546	0.0213928	0.0189892	0.0167856	0.0148119	0.0130862	0.0116169	0.0104042	0.00944346	0.00872781	0.0082512	0.00801114	
N2	0.0344164	0.0335244	0.033294	0.0336285	0.0344206	0.0355546	0.0369102	0.038365	0.0397995	0.0411006	0.0421664	0.0429105	0.0432656	0.0431867	0.0426524	0.0416658	0.0402532	0.0384611	0.0363529	0.0340037	0.031495	0.0289097	0.026327	0.0238183	0.0214446	0.0192544	0.0172831	0.0155537	0.0140779	0.012858	0.0118884	0.011158	
N3	0.000692388	0.000762428	0.000949005	0.00128814	0.00183801	0.00267818	0.00390715	0.00563683	0.00798273	0.0110493	0.0149111	0.019591	0.0250395	0.0311188	0.037597	0.0441553	0.0504108	0.0559541	0.060396	0.0634168	0.0648097	0.0645095	0.0626019	0.0593111	0.0549689	0.0499714	0.0447314	0.0396347	0.0350069	0.0310924	0.0280472	0.0259405	
ADCAHA_Calathus_abaxoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
N4	2.42808e-05	3.4502e-05	6.36298e-05	0.000132343	0.000285558	0.000611971	0.00127275	0.00253539	0.00480007	0.00859488	0.0145101	0.0230493	0.0344047	0.0482138	0.0633983	0.0781981	0.0904615	0.0981483	0.0998887	0.0953863	0.0855033	0.0719916	0.0569862	0.0424607	0.0298335	0.0198165	0.0124909	0.00751613	0.00436309	0.00249802	0.00148779	0.00103788	
ADCAHA_Calathus_fuscipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N5	4.18306e-06	7.22268e-06	1.72649e-05	4.64744e-05	0.000127683	0.000341376	0.000866003	0.00205489	0.00452272	0.0091863	0.0171638	0.029438	0.0462825	0.0666393	0.087817	0.105876	0.116763	0.117791	0.108713	0.0918291	0.0710311	0.0503549	0.0327529	0.0195772	0.0107766	0.00548016	0.00258672	0.00114233	0.000479112	0.000197184	8.62554e-05	4.84974e-05	
N6	0.000239303	0.000368964	0.000753382	0.00169064	0.00377236	0.00798632	0.0156844	0.0282436	0.0463352	0.0689951	0.0930431	0.113489	0.125119	0.124643	0.112201	0.0912868	0.067156	0.0446973	0.0269351	0.0147089	0.00728657	0.00327859	0.0013419	0.000500523	0.000170539	5.32491e-05	1.53067e-05	4.07986e-06	1.02166e-06	2.48017e-07	6.43775e-08	2.43468e-08	
ADCAHA_Calathus_granatensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	6.36559e-13	2.00366e-11	7.39388e-10	2.34725e-08	6.08871e-07	1.237e-05	0.000188867	0.00207286	0.0155209	0.0743248	0.210061	0.319884	0.246387	0.102206	0.0249946	0.00390087	0.000413713	3.13125e-05	1.75764e-06	7.54529e-08	2.53974e-09	6.84249e-11	1.50123e-12	2.72195e-14	4.13116e-16	5.30903e-18	5.84106e-20	5.56752e-22	4.66919e-24	3.5296e-26	2.50695e-28	2.0768e-30	
ADCAHA_Calathus_melanocephalus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_ambiguus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	9.72075e-11	3.92922e-10	2.49927e-09	1.67448e-08	1.06727e-07	6.25471e-07	3.3182e-06	1.57983e-05	6.71376e-05	0.000253686	0.000849765	0.00251703	0.00657849	0.0151422	0.030645	0.0544531	0.0848537	0.115854	0.138507	0.144947	0.132776	0.1065	0.0748565	0.0461649	0.0250313	0.0119721	0.00507897	0.00193033	0.00066999	0.000221071	7.62789e-05	3.5272e-05	
