ADCAHA_Calathus_micropterus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_mollis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.226246	0.20454	0.173716	0.137739	0.101247	0.0685243	0.0424433	0.0239395	0.0122484	0.00566831	0.00236786	0.000891646	0.00030242	9.23514e-05	2.53907e-05	6.28656e-06	1.40239e-06	2.82057e-07	5.11898e-08	8.39134e-09	1.24381e-09	1.66906e-10	2.03016e-11	2.24136e-12	2.24918e-13	2.05471e-14	1.71252e-15	1.30883e-16	9.35601e-18	6.88723e-19	8.51138e-20	
ADCAHA_Calathus_rotundatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_granatensis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.0403726	0.0490102	0.0658902	0.0873407	0.108198	0.122702	0.126286	0.117424	0.0983525	0.0740519	0.0500442	0.0303239	0.0164646	0.0080079	0.00348881	0.00136184	0.00047649	0.00014953	4.21196e-05	1.0659e-05	2.42587e-06	4.97095e-07	9.18294e-08	1.53153e-08	2.31024e-09	3.16e-10	3.93709e-11	4.51152e-12	4.87922e-13	5.46559e-14	9.76497e-15	
ADCAHA_Calathus_asturiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.101237	0.123995	0.162761	0.190888	0.179886	0.129851	0.0706656	0.0290046	0.00905635	0.00217793	0.000408996	6.08124e-05	7.25478e-06	7.03062e-07	5.59817e-08	3.70081e-09	2.05047e-10	9.60398e-12	3.83255e-13	1.31238e-14	3.88144e-16	9.97431e-18	2.2393e-19	4.41456e-21	7.67844e-23	1.18381e-24	1.6261e-26	2.00544e-28	2.25952e-30	2.45065e-32	3.58304e-34	
ADCAHA_Calathus_erratus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.0738804	0.144727	0.265086	0.288305	0.165407	0.051889	0.0095279	0.00109131	8.22e-05	4.25031e-06	1.56265e-07	4.20597e-09	8.49394e-11	1.31436e-12	1.58701e-14	1.51915e-16	1.16916e-18	7.32495e-21	3.77785e-23	1.62015e-25	5.83016e-28	1.77505e-30	4.60703e-33	1.02639e-35	1.97534e-38	3.30336e-41	4.82625e-44	6.19143e-47	7.00851e-50	7.07652e-53	8.38069e-56	
ADCAHA_Calathus_brevis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_abaxoides	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_rectus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_ascendens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_circumseptus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
