N8	0.000175059	0.000274055	0.000547097	0.00121223	0.00271367	0.00582576	0.0116798	0.021579	0.0364925	0.0562872	0.0790324	0.100905	0.117071	0.123388	0.118114	0.102689	0.0810915	0.0581739	0.0379221	0.0224703	0.0121074	0.005935	0.00264817	0.00107616	0.000398559	0.000134614	4.14941e-05	1.1682e-05	3.00637e-06	7.07845e-07	1.52624e-07	3.0171e-08	5.4769e-09	9.15572e-10	1.41843e-10	2.06953e-11	2.96994e-12	4.736e-13	1.23596e-13	
N9	0.000249107	0.000398623	0.000810742	0.00180453	0.00400836	0.00846239	0.0165644	0.0296855	0.0483915	0.0715082	0.0956074	0.115539	0.126131	0.12435	0.110705	0.0890024	0.0646284	0.0423981	0.0251376	0.0134755	0.00653487	0.00286848	0.00114045	0.000410983	0.000134348	3.98713e-05	1.07521e-05	2.63713e-06	5.88835e-07	1.19817e-07	2.22411e-08	3.77045e-09	5.84476e-10	8.29794e-11	1.08212e-11	1.30729e-12	1.51303e-13	1.93763e-14	4.60646e-15	
POCUBR_Echinocnemus_sp	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUER_Tanysphyrus_lemnae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUER_Procas_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	8.57774e-13	1.03806e-11	1.98207e-10	3.45231e-09	5.01829e-08	5.97047e-07	5.76906e-06	4.50403e-05	0.000282894	0.00142398	0.00572477	0.0183261	0.0465923	0.0938766	0.149649	0.188519	0.187548	0.147328	0.0914208	0.0448514	0.0174213	0.00536747	0.00131473	0.000256719	4.00827e-05	5.02114e-06	5.06502e-07	4.13028e-08	2.73382e-09	1.47499e-10	6.51522e-12	2.36656e-13	7.10091e-15	1.76808e-16	3.67032e-18	6.38392e-20	9.37345e-22	1.20768e-23	2.33603e-25	
N11	2.94052e-12	3.05646e-11	4.75102e-10	6.95016e-09	8.69792e-08	9.08008e-07	7.82957e-06	5.54286e-05	0.00032061	0.00150877	0.00575476	0.0177311	0.044005	0.0877624	0.140405	0.179976	0.184741	0.151869	0.100056	0.0529002	0.0224874	0.00770435	0.00213352	0.000479121	8.75686e-05	1.30765e-05	1.60195e-06	1.61685e-07	1.35033e-08	9.37323e-10	5.43203e-11	2.64013e-12	1.08112e-13	3.7478e-15	1.10578e-16	2.79855e-18	6.1935e-20	1.29855e-21	4.12671e-23	
N12	7.59736e-10	2.9704e-09	1.86252e-08	1.2542e-07	7.96541e-07	4.56344e-06	2.31724e-05	0.000103434	0.000403995	0.00137652	0.00408228	0.0105183	0.0235116	0.0455419	0.0763777	0.110846	0.139181	0.151214	0.142211	0.115854	0.0818362	0.0501838	0.0267538	0.0124196	0.00502918	0.00177985	0.000551638	0.000150056	3.59095e-05	7.57986e-06	1.41561e-06	2.3482e-07	3.47833e-08	4.63978e-09	5.65541e-10	6.47717e-11	7.37343e-12	9.38579e-13	1.88983e-13	
N13	3.79406e-08	9.56474e-08	3.50624e-07	1.39304e-06	5.39223e-06	1.96002e-05	6.59398e-05	0.000203952	0.000577915	0.00149706	0.00354034	0.0076356	0.0150072	0.0268631	0.0437728	0.0649077	0.0875639	0.107457	0.119954	0.121814	0.112555	0.0946552	0.0724773	0.0505537	0.032141	0.0186393	0.00986809	0.00477426	0.00211341	0.000857318	0.000319358	0.000109562	3.4769e-05	1.02778e-05	2.86332e-06	7.67481e-07	2.05856e-07	6.04312e-08	2.54834e-08	
N14	1.05324e-12	4.07587e-12	2.40319e-11	1.5126e-10	9.22776e-10	5.29173e-09	2.8187e-08	1.38705e-07	6.28747e-07	2.6208e-06	1.00324e-05	3.52322e-05	0.000113405	0.000334286	0.000901667	0.00222379	0.00501136	0.0103121	0.0193646	0.0331666	0.0517865	0.0736845	0.0955073	0.112744	0.121197	0.11864	0.105776	0.0859282	0.0636485	0.0430376	0.0266142	0.0150949	0.00788833	0.00382692	0.00174649	0.000768906	0.000343837	0.000173488	0.000117867	
