NODE	17	18	19	20	21	
N1	0.00039366	0.999606	3.78591e-31	3.51527e-52	1.5706e-73	
POLALA_Cryptolestes_sp	0	1	0	0	0	
N2	1.48063e-06	0.999999	1.38972e-22	4.66216e-42	1.24626e-38	
N3	4.42008e-08	1	2.05577e-11	1.33512e-34	2.18169e-58	
POLALU_Luciola_lateralis	0	1	0	0	0	
POLALU_Luciola_cruciata	0	0	1	0	0	
N4	9.10684e-08	1	5.05822e-25	3.21935e-50	3.61364e-52	
N5	9.63346e-09	1	2.33539e-23	6.81442e-47	6.26874e-71	
POLAPH_Bicellonycha_sp	0	1	0	0	0	
POLAPH_Photuris_sp	0	1	0	0	0	
N6	9.33644e-09	1	2.79743e-24	9.7812e-49	2.43298e-58	
POLALA_Lucidota_sp	0	1	0	0	0	
N7	3.04289e-10	1	1.32717e-24	2.20025e-49	2.64397e-44	
N8	4.09513e-12	1	1.88306e-24	4.4281e-49	1.04049e-44	
N9	2.55961e-13	1	1.66013e-24	3.44209e-49	2.2645e-74	
POLALA_Photinus_pyralis	0	1	0	0	0	
POLALA_Photinus_australis	0	1	0	0	0	
N10	1.02696e-14	1	4.07247e-25	2.10746e-50	2.52102e-37	
POLALA_Ellychnia_corrusca	0	1	0	0	0	
POLALA_Ellychnia_californica	0	1	0	0	0	
N11	3.52478e-11	1	6.48646e-24	5.24643e-48	2.75938e-59	
POLALA_Aspisoma_sp	0	1	0	0	0	
N12	7.46721e-14	1	6.7793e-25	5.84844e-50	6.31501e-37	
POLALA_Pyractomena_borealis	0	1	0	0	0	
POLALA_Pyractomena_angulata	0	1	0	0	0	
