species,chrom.num
ADCATR_Bembidion_aenulum,11
ADCATR_Bembidion_americanum,11
ADCATR_Bembidion_antiquum,11
ADCATR_Bembidion_arenobilis,11
ADCATR_Bembidion_articulatum,12
ADCATR_Bembidion_balli,11
ADCATR_Bembidion_bellorum,11
ADCATR_Bembidion_bifossulatum,11
ADCATR_Bembidion_californicum,11
ADCATR_Bembidion_chalceum,12
ADCATR_Bembidion_concolor,11
ADCATR_Bembidion_confusum,11
ADCATR_Bembidion_coxendix,11
ADCATR_Bembidion_decorum,11
ADCATR_Bembidion_honestum,11
ADCATR_Bembidion_inaequale,10
ADCATR_Bembidion_insulatum,11
ADCATR_Bembidion_integrum,11
ADCATR_Bembidion_lampros,11
ADCATR_Bembidion_lapponicum,11
ADCATR_Bembidion_levettei,10
ADCATR_Bembidion_levettei_carrianum,10
ADCATR_Bembidion_levigatum,11
ADCATR_Bembidion_louisella,11
ADCATR_Bembidion_mexicanum,11
ADCATR_Bembidion_obtusum,11
ADCATR_Bembidion_planatum,11
ADCATR_Bembidion_properans,11
ADCATR_Bembidion_punctulatum,11
ADCATR_Bembidion_quadrimaculatum,"10,11"
ADCATR_Bembidion_rapidum,11
ADCATR_Bembidion_rothfelsi,16
ADCATR_Bembidion_ruficorne,12
ADCATR_Bembidion_rufotinctum,11
ADCATR_Bembidion_sejunctum,11
ADCATR_Bembidion_tairuense,11
ADCATR_Bembidion_tetracolum,"11,12"
ADCATR_Bembidion_tibiale,11
ADCATR_Bembidion_transversale,11
ADCATR_Bembidion_umbratum,11
