N13	0.0133422	0.0226895	0.0459572	0.0882626	0.143433	0.187239	0.1915	0.151528	0.0922022	0.0430557	0.0154411	0.00426461	0.000910937	0.000151304	1.96637e-05	2.01316e-06	1.63527e-07	1.06163e-08	5.54927e-10	2.35263e-11	8.14802e-13	2.32159e-14	5.48008e-16	1.08134e-17	1.86143e-19	4.83907e-21	
N14	0.00481867	0.00963512	0.0241299	0.0568455	0.111159	0.171497	0.204113	0.185413	0.127974	0.067091	0.0267909	0.00819145	0.00193124	0.000353999	5.09069e-05	5.79754e-06	5.27866e-07	3.87872e-08	2.3211e-09	1.14116e-10	4.64815e-12	1.58105e-13	4.52577e-15	1.10117e-16	2.39203e-18	8.21607e-20	
POCHBR_Callosobruchus_chinensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHSA_Sagra_femorata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.00150497	0.00435221	0.0154394	0.046974	0.1097	0.188058	0.231295	0.201785	0.124508	0.0545602	0.017148	0.00391973	0.000662223	8.40917e-05	8.15958e-06	6.14538e-07	3.64525e-08	1.72597e-09	6.60409e-11	2.06515e-12	5.33235e-14	1.14766e-15	2.07711e-17	3.1936e-19	4.34113e-21	8.80841e-23	
POCHBR_Callosobruchus_subinnotatus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Callosobruchus_maculatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	0.129744	0.139359	0.146176	0.1453	0.133287	0.110689	0.0821757	0.0541158	0.0314678	0.0161178	0.00726403	0.00288023	0.00100526	0.000309137	8.38731e-05	2.01082e-05	4.26749e-06	8.03261e-07	1.34379e-07	2.00269e-08	2.66668e-09	3.1876e-10	3.45797e-11	3.51849e-12	3.78097e-13	6.9079e-14	
POCHBR_Pachymerus_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHBR_Zabrotes_subfasciatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	0.222813	0.219174	0.194751	0.153	0.103985	0.0600705	0.0291265	0.0117567	0.00393162	0.00108688	0.000248301	4.69305e-05	7.35448e-06	9.58399e-07	1.04221e-07	9.4942e-09	7.27519e-10	4.70938e-11	2.5864e-12	1.21039e-13	4.84764e-15	1.66895e-16	4.96692e-18	1.296e-19	3.19457e-21	1.24567e-22	
N18	0.203917	0.202107	0.183694	0.151382	0.11158	0.0726121	0.0412767	0.0203325	0.00863109	0.00314652	0.000983356	0.000263321	6.04451e-05	1.19088e-05	2.01731e-06	2.94461e-07	3.71294e-08	4.05532e-09	3.84769e-10	3.18102e-11	2.29916e-12	1.45896e-13	8.1912e-15	4.16184e-16	2.09958e-17	1.74165e-18	
POCHDO_Donacia_hirticollis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	0.208371	0.207046	0.188235	0.153801	0.11076	0.0691174	0.0368903	0.0166874	0.00636026	0.00203583	0.000546494	0.000123032	2.32537e-05	3.69652e-06	4.95381e-07	5.61206e-08	5.39086e-09	4.40503e-10	3.07226e-11	1.83524e-12	9.42396e-14	4.177e-15	1.60812e-16	5.46894e-18	1.77191e-19	9.18076e-21	
POCHDO_Donacia_vulgaris	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	0.226898	0.221566	0.194649	0.15117	0.101845	0.0585759	0.0284239	0.0115464	0.00390865	0.00110024	0.000257433	5.01138e-05	8.13134e-06	1.10249e-06	1.25287e-07	1.19735e-08	9.65803e-10	6.60023e-11	3.8364e-12	1.90416e-13	8.10281e-15	2.96842e-16	9.41053e-18	2.61243e-19	6.76197e-21	2.80659e-22	
N21	0.294447	0.265015	0.200468	0.1273	0.0675954	0.0298751	0.0109469	0.00331679	0.000830055	0.000171633	2.93691e-05	4.16967e-06	4.92827e-07	4.8683e-08	4.03669e-09	2.82243e-10	1.67191e-11	8.43064e-13	3.63603e-14	1.34756e-15	4.3114e-17	1.19614e-18	2.89065e-20	6.12659e-22	1.19028e-23	3.73095e-25	
N22	0.329593	0.304569	0.215766	0.106028	0.0349256	0.00777567	0.00119952	0.000131931	1.06305e-05	6.42959e-07	2.98173e-08	1.08004e-09	3.10523e-11	7.18742e-13	1.35611e-14	2.10902e-16	2.73052e-18	2.96946e-20	2.73467e-22	2.14855e-24	1.44993e-26	8.45708e-29	4.28877e-31	1.90421e-33	7.60147e-36	4.08579e-38	
POCHDO_Donacia_clavipes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHDO_Donacia_biimpressa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHDO_Donacia_subtilis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHDO_Donacia_bicolor	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	0.21971	0.213479	0.187319	0.14767	0.103836	0.0646574	0.0354369	0.0170162	0.00713628	0.00260889	0.000830679	0.000230341	5.56556e-05	1.173e-05	2.1595e-06	3.47869e-07	4.91272e-08	6.09511e-09	6.65827e-10	6.41919e-11	5.47576e-12	4.14613e-13	2.80332e-14	1.7261e-15	1.06599e-16	1.15021e-17	
