name,chrom.num,wings.present,wings.absent,
ADCAHA_Abacetus_sp,41,,,
ADCAHA_Abax_ovalis,35,,,
ADCAHA_Abax_parallelepipedus,35,0,1,
ADCAHA_Acinopus_picipes,37,,,
ADDYAG_Agabus_biguttatus,43,,,
ADCAHA_Agonum_marginatum,37,,,
ADCAHA_Agonum_muelleri,37,1,0,
ADCAHA_Amara_sp,33.7,0.85,0.15,G
ADCACI_Amblycheila_baroni,44,,,
ADCAHA_Amblystomus_sp,24,,,
ADCAPS_Amblytelus_curtus,30,,,
ADCAHA_Amphasia_sericea,29,1,0,
ADCAHA_Anisodactylus_hispanus,37,0.97,0.03,G
ADCAHA_Anthia_sp,35,,,
ADCAHA_Apenes_sp,36,0.83,0.17,G
ADCABR_Aptinus_displosor,32,,,
ADCAPA_Arthropterus_sp,46,,,
ADCATR_Bembidion_aenulum,24,1,0,
ADCATR_Bembidion_americanum,24,1,0,
ADCATR_Bembidion_antiquum,24,0.89,0.11,G
ADCATR_Bembidion_arenobilis,24,0.89,0.11,G
ADCATR_Bembidion_articulatum,26,0.89,0.11,G
ADCATR_Bembidion_balli,24,1,0,
ADCATR_Bembidion_bellorum,24,0.89,0.11,G
ADCATR_Bembidion_bifossulatum,24,1,0,
ADCATR_Bembidion_californicum,24,1,0,
ADCATR_Bembidion_chalceum,26,1,0,
ADCATR_Bembidion_concolor,24,1,0,
ADCATR_Bembidion_confusum,24,1,0,
ADCATR_Bembidion_coxendix,23,1,0,
ADCATR_Bembidion_decorum,24,0.89,0.11,G
ADCATR_Bembidion_honestum,24,1,0,
ADCATR_Bembidion_inaequale,22,1,0,
ADCATR_Bembidion_insulatum,24,1,0,
ADCATR_Bembidion_integrum,24,0.89,0.11,G
ADCATR_Bembidion_lampros,23,0.5,0.5,
ADCATR_Bembidion_lapponicum,24,1,0,
ADCATR_Bembidion_levettei,22,1,0,
ADCATR_Bembidion_levettei_carrianum,22,0.89,0.11,G
ADCATR_Bembidion_levigatum,24,1,0,
ADCATR_Bembidion_louisella,24,0.89,0.11,G
ADCATR_Bembidion_mexicanum,24,1,0,
ADCATR_Bembidion_obtusum,24,0.5,0.5,
ADCATR_Bembidion_planatum,24,1,0,
ADCATR_Bembidion_properans,24,1,0,
ADCATR_Bembidion_punctulatum,24,0.89,0.11,G
ADCATR_Bembidion_quadrimaculatum,23.3,0.5,0.5,
ADCATR_Bembidion_rapidum,24,1,0,
ADCATR_Bembidion_rothfelsi,34,0.89,0.11,G
ADCATR_Bembidion_ruficorne,26,0.89,0.11,G
ADCATR_Bembidion_rufotinctum,24,1,0,
ADCATR_Bembidion_sejunctum,24,0.5,0.5,
ADCATR_Bembidion_tairuense,24,0.89,0.11,G
ADCATR_Bembidion_tetracolum,24.3,0.5,0.5,
ADCATR_Bembidion_tibiale,24,0.89,0.11,G
ADCATR_Bembidion_transversale,24,1,0,
ADCATR_Bembidion_umbratum,24,1,0,
ADCABR_Brachinus_sp,27.9,0.84,0.16,G
ADCAHA_Bradybaenus_sp,36.5,,,
ADCAHA_Calathus_abaxoides,55,0.36,0.64,G
ADCAHA_Calathus_ambiguus,37,0.36,0.64,G
ADCAHA_Calathus_ascendens,23.5,0.36,0.64,G
ADCAHA_Calathus_asturiensis,39,0.36,0.64,G
ADCAHA_Calathus_auctus,37,0.36,0.64,G
ADCAHA_Calathus_brevis,37,0.36,0.64,G
ADCAHA_Calathus_circumseptus,43,0.36,0.64,G
ADCAHA_Calathus_erratus,37,0.36,0.64,G
