N16	3.5081e-36	5.97707e-33	1.47082e-29	2.86806e-26	4.31222e-23	4.88281e-20	4.04874e-17	2.37617e-14	9.46453e-12	2.42664e-09	3.7412e-07	3.1713e-05	0.00131262	0.0228228	0.144741	0.349348	0.333706	0.126245	0.0217924	
POSCAP_Aphodius_constans	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N17	1.65158e-50	4.72456e-46	1.37071e-41	3.04908e-37	5.08463e-33	6.19434e-29	5.34387e-25	3.14281e-21	1.20177e-17	2.81354e-14	3.72964e-11	2.52217e-08	7.54811e-06	0.000824292	0.0261137	0.215681	0.463665	0.252332	0.0413766	
N18	6.39282e-37	1.53787e-33	4.92789e-30	1.24236e-26	2.40333e-23	3.48061e-20	3.66376e-17	2.7035e-14	1.33676e-11	4.18055e-09	7.6628e-07	7.41874e-05	0.00327389	0.0533483	0.251259	0.39684	0.234286	0.0547437	0.0061731	
POSCAP_Aphodius_vittatus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_distinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N19	1.09279e-43	1.06594e-39	1.19204e-35	1.02834e-31	6.66927e-28	3.16623e-24	1.06552e-20	2.44337e-17	3.63366e-14	3.28919e-11	1.66682e-08	4.21904e-06	0.000454212	0.0165549	0.156005	0.406868	0.326097	0.0850205	0.00899621	
N20	3.12095e-40	1.70591e-36	1.13281e-32	5.82196e-29	2.25776e-25	6.43391e-22	1.30475e-18	1.80993e-15	1.63405e-12	9.00424e-10	2.78029e-07	4.27486e-05	0.0027609	0.0582139	0.290493	0.41657	0.196166	0.0331305	0.00262297	
POSCAP_Aphodius_sphacelatus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N21	1.2454e-37	2.15928e-66	4.79891e-59	2.95584e-52	7.96071e-46	1.10196e-39	8.47624e-34	3.72197e-28	9.31799e-23	1.29348e-17	9.34194e-13	3.13891e-08	0.000391529	0.991279	0.00831654	1.3368e-05	7.19219e-09	1.59208e-12	1.64717e-16	
POSCAP_Aphodius_sticticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_prodromus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_consputus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N22	1.3178e-54	5.58323e-50	2.39269e-45	7.90326e-41	1.96963e-36	3.61515e-32	4.74782e-28	4.30822e-24	2.58745e-20	9.74763e-17	2.15143e-13	2.54668e-10	1.43994e-07	3.34404e-05	0.0026492	0.0595196	0.340487	0.448434	0.148877	
N23	1.54596e-49	4.2745e-45	1.17239e-40	2.44943e-36	3.80644e-32	4.27989e-28	3.36827e-24	1.78197e-20	6.02797e-17	1.22387e-13	1.37427e-10	7.66051e-08	1.8341e-05	0.00155996	0.0381118	0.244037	0.438371	0.234296	0.0436059	
N24	3.27921e-48	1.01068e-43	3.05101e-39	7.0084e-35	1.19635e-30	1.47572e-26	1.27122e-22	7.32883e-19	2.67885e-15	5.78306e-12	6.69447e-09	3.6183e-06	0.000738117	0.0397424	0.30591	0.453354	0.177085	0.0220552	0.0011113	
N25	1.26221e-42	1.29575e-38	1.48498e-34	1.31235e-30	8.72834e-27	4.2508e-23	1.466e-19	3.43406e-16	5.18049e-13	4.69261e-10	2.31951e-07	5.45304e-05	0.00493715	0.120929	0.436783	0.351101	0.0798001	0.00616986	0.000225494	
POSCAP_Aphodius_foetidus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_fossor	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N26	1.43398e-42	1.46279e-38	1.66266e-34	1.45749e-30	9.61718e-27	4.64785e-23	1.59113e-19	3.70095e-16	5.546e-13	4.99257e-10	2.45366e-07	5.73773e-05	0.00516639	0.125468	0.441311	0.345373	0.0766151	0.00580061	0.000208311	
POSCAP_Aphodius_coniugatus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_foetens	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N27	1.94245e-40	7.16166e-37	3.77951e-33	1.56396e-29	4.91803e-26	1.14642e-22	1.92328e-19	2.2403e-16	1.73346e-13	8.42887e-11	2.39971e-08	3.65112e-06	0.000263949	0.00785724	0.0840379	0.311661	0.394811	0.17108	0.0302854	
POSCAP_Aphodius_fimetarius	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_pedellus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N28	3.63781e-35	4.67287e-32	9.11579e-29	1.41575e-25	1.7005e-22	1.54355e-19	1.03027e-16	4.89282e-14	1.58784e-11	3.34824e-09	4.30344e-07	3.10476e-05	0.0011311	0.0183202	0.118174	0.311609	0.347815	0.165801	0.0371188	
POSCAP_Aphodius_elevatus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_paykulli	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N29	2.09182e-33	2.0094e-30	2.98052e-27	3.52766e-24	3.24246e-21	2.26255e-18	1.16669e-15	4.30303e-13	1.09044e-10	1.80501e-08	1.82881e-06	0.00010413	0.00297509	0.0369579	0.175304	0.341699	0.297123	0.120787	0.0250489	
POSCAP_Aphodius_contaminatus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCAP_Aphodius_obliteratus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N30	2.71277e-43	3.86609e-41	7.7987e-39	1.36564e-36	1.77703e-34	1.22358e-32	5.07403e-34	1.03395e-29	1.42077e-25	1.27621e-21	7.19007e-18	2.40516e-14	4.43669e-11	4.07399e-08	1.60614e-05	0.00216112	0.070065	0.423821	0.503937	
N31	2.02931e-64	1.90032e-60	1.6066e-56	1.17948e-52	3.48363e-48	5.92035e-43	8.01412e-38	7.21547e-33	4.14008e-28	1.43766e-23	2.82862e-19	2.89594e-15	1.38006e-11	2.64033e-08	1.66401e-05	0.00267136	0.0829793	0.445799	0.468534	
N32	2.87706e-53	5.46669e-49	1.35539e-44	2.6267e-40	3.84398e-36	4.17039e-32	3.28259e-28	1.82581e-24	6.9477e-21	1.73789e-17	2.71882e-14	2.49892e-11	1.24649e-08	3.04855e-06	0.000320649	0.0122804	0.144515	0.462858	0.380023	
POSCSE_Serica_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N33	2.40851e-51	6.70498e-47	1.85544e-42	3.95324e-38	6.34489e-34	7.47984e-30	6.2851e-26	3.6304e-22	1.37903e-18	3.25991e-15	4.47187e-12	3.25286e-09	1.11557e-06	0.000155017	0.00727719	0.097572	0.361502	0.393097	0.140396	
N34	5.00913e-49	1.15543e-44	2.71492e-40	4.89919e-36	6.6337e-32	6.56266e-28	4.59453e-24	2.18975e-20	6.77165e-17	1.27887e-13	1.36394e-10	7.40609e-08	1.77953e-05	0.00156425	0.0396614	0.252682	0.436549	0.227142	0.0423833	
N35	6.02953e-46	9.25246e-42	1.49395e-37	1.85658e-33	1.73483e-29	1.18669e-25	5.75346e-22	1.90041e-18	4.06981e-15	5.30296e-12	3.86533e-09	1.40441e-06	0.000215639	0.0109626	0.133374	0.401608	0.347045	0.0961604	0.0106319	
N36	1.69952e-43	2.03561e-39	2.64496e-35	2.65783e-31	2.01701e-27	1.1252e-23	4.46528e-20	1.21039e-16	2.12856e-13	2.27005e-10	1.33904e-07	3.82446e-05	0.00428956	0.129567	0.448061	0.335898	0.075748	0.00616423	0.000234515	
POSCME_Phyllophaga_delata_M	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N37	1.67956e-45	3.62842e-41	7.94033e-37	1.33612e-32	1.68759e-28	1.55498e-24	1.00937e-20	4.41836e-17	1.23297e-13	2.03553e-10	1.79186e-07	7.20951e-05	0.0103063	0.320775	0.505469	0.150334	0.0126564	0.000381529	5.67842e-06	
POSCME_Phyllophaga_drakii	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCME_Phyllophaga_fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N38	3.71659e-39	1.75824e-35	9.91775e-32	4.35994e-28	1.45868e-24	3.61843e-21	6.44822e-18	7.93939e-15	6.42926e-12	3.21145e-09	9.07214e-07	0.000128085	0.00748274	0.131882	0.407653	0.343011	0.0982273	0.010994	0.000620754	
POSCME_Amphimallon_solstitiale	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCME_Melolontha_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N39	8.71579e-37	2.14928e-33	7.00964e-30	1.79347e-26	3.50928e-23	5.11944e-20	5.40001e-17	3.96612e-14	1.93442e-11	5.89301e-09	1.03316e-06	9.30588e-05	0.00366603	0.0515292	0.252039	0.400873	0.231987	0.0536954	0.00611597	
POSCME_Schizonycha_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
POSCME_Haplidia_sp	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
N40	7.02134e-37	1.1081e-33	2.73215e-30	5.36574e-27	8.12004e-24	9.251e-21	7.72122e-18	4.5694e-15	1.84275e-12	4.82253e-10	7.70594e-08	6.96633e-06	0.000324378	0.00699352	0.0637864	0.242073	0.378863	0.240407	0.0675448	
POSCME_Apogonia_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCME_Hoplia_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N41	7.90414e-55	2.45768e-50	7.99682e-46	2.03993e-41	4.00142e-37	5.90892e-33	6.4056e-29	4.94561e-25	2.62095e-21	9.10824e-18	1.95952e-14	2.42409e-11	1.56629e-08	4.6603e-06	0.000543352	0.0204677	0.202658	0.481525	0.294802	
