POSCSC_Oniticellus_fulvus	0	0	0	1	0	0	0	0	0	0	0	0	0	
N21	0.000292328	0.0439264	0.854951	0.100279	0.000551474	1.24852e-07	7.34139e-12	1.67849e-16	1.78213e-21	9.69477e-27	2.81411e-32	4.34757e-38	6.30311e-44	
POSCSC_Tiniocellus_spinipes	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCSC_Oruscatus_davus	0	0	0	0	1	0	0	0	0	0	0	0	0	
N22	0.000280017	0.0776468	0.916108	0.00596365	1.73439e-06	7.41345e-11	9.09131e-16	4.30068e-21	9.14899e-27	9.58813e-33	5.16643e-39	1.32755e-45	6.53805e-52	
N23	8.58833e-05	0.0376698	0.92709	0.0350308	0.000123158	3.04629e-08	9.95142e-13	1.04712e-17	4.84493e-23	1.16258e-28	1.60133e-34	1.35373e-40	8.29784e-47	
N24	3.41967e-05	0.0216099	0.939119	0.0390591	0.00017751	1.20678e-07	3.60174e-12	2.65608e-17	7.22488e-23	5.3376e-27	3.06571e-30	1.229e-33	3.98877e-37	
N25	7.72705e-05	0.0282471	0.953548	0.0181089	1.85571e-05	2.40479e-09	6.27179e-14	5.87203e-19	2.55903e-24	5.57496e-30	6.35522e-36	3.77258e-42	1.01342e-48	
N26	0.00029076	0.0375892	0.886277	0.0757176	0.000125603	4.77759e-08	6.84745e-12	4.7062e-16	1.79215e-20	4.16489e-25	6.33012e-30	6.62926e-35	6.57151e-40	
POSCSC_Gromphas_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCSC_Canthon_indigaceus	0	0	0	1	0	0	0	0	0	0	0	0	0	
N27	7.20926e-05	0.0274304	0.965763	0.00673396	9.2856e-07	2.32686e-11	1.92327e-16	6.99789e-22	1.32389e-27	1.44464e-33	9.72869e-40	4.2312e-46	1.3482e-52	
N28	6.96889e-05	0.023287	0.961927	0.0147113	5.31861e-06	4.18617e-10	1.1986e-14	1.60483e-19	1.1646e-24	5.03551e-30	1.38343e-35	2.52706e-41	3.82219e-47	
POSCSC_Canthidium_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
N29	9.48502e-06	0.0100967	0.986053	0.00384031	1.34062e-07	9.40753e-13	2.31022e-18	2.09813e-24	2.05964e-30	9.06637e-34	4.55307e-37	1.7791e-40	6.1844e-44	
N30	7.84624e-06	0.00923001	0.984797	0.0059647	2.23095e-07	1.66403e-12	4.10648e-18	3.50633e-24	1.10743e-30	1.51741e-37	1.56171e-43	5.69139e-48	1.97015e-52	
POSCSC_Eucranium_arachnoides	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCSC_Glyphoderus_sterquilinus	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCSC_Sulcophanaeus_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	
N31	9.86735e-05	0.0267693	0.944128	0.0289921	1.15308e-05	1.0253e-09	3.39262e-14	5.33437e-19	4.59814e-24	2.38205e-29	7.89645e-35	1.75118e-40	3.27201e-46	
N32	1.08397e-06	0.00103435	0.197414	0.801186	0.000364328	2.8086e-08	7.25832e-13	8.44959e-18	5.22839e-23	1.91008e-28	4.4262e-34	6.84854e-40	8.50348e-46	
N33	2.24927e-11	7.44215e-07	0.00540176	0.994573	2.49352e-05	8.3847e-11	8.76176e-17	3.00099e-23	3.54543e-30	1.26268e-37	1.04249e-38	4.74609e-40	1.95882e-41	
POSCSC_Bolbites_onitoides	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCSC_Oxysternon_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCSC_Coprophanaeus_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCSC_Scarabaeus_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	
