POCUDR_Sitophilus_oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUMO_Pachylobius_picivorus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	6.61883e-27	2.40553e-25	1.54578e-23	9.49794e-22	5.11566e-20	2.36912e-18	9.36922e-17	3.15011e-15	8.9692e-14	2.15448e-12	4.34988e-11	7.35486e-10	1.03775e-08	1.2177e-07	1.18439e-06	9.51924e-06	6.30388e-05	0.000343046	0.00153036	0.00558491	0.0166433	0.0404414	0.0800387	0.128926	0.168965	0.180172	0.156386	0.110585	0.0637835	0.0300567	0.0115949	0.00367052	0.000956246	0.00020574	3.67344e-05	5.48898e-06	7.01031e-07	8.25108e-08	1.26428e-08	
N11	1.39001e-16	1.30831e-15	2.68942e-14	5.51084e-13	9.95932e-12	1.55764e-10	2.09497e-09	2.41128e-08	2.36396e-07	1.96497e-06	1.37861e-05	8.12911e-05	0.000401259	0.00165207	0.00565599	0.0160609	0.0377578	0.073404	0.117959	0.156739	0.172384	0.157183	0.119085	0.075165	0.0396467	0.0175343	0.00652547	0.00205117	0.000546669	0.000124015	2.40411e-05	3.99838e-06	5.72801e-07	7.09813e-08	7.64602e-09	7.21053e-10	6.042e-11	4.74017e-12	4.84121e-13	
N12	1.73933e-19	6.91043e-18	4.75943e-16	2.89272e-14	1.45393e-12	5.93972e-11	1.94363e-09	5.01301e-08	1.00086e-06	1.51598e-05	0.000170431	0.00139038	0.0080594	0.0326584	0.091669	0.177549	0.237142	0.218986	0.140927	0.0641626	0.021083	0.0051084	0.000931983	0.000130511	1.4272e-05	1.23755e-06	8.62501e-08	4.88985e-09	2.2794e-10	8.82077e-12	2.85833e-13	7.81718e-15	1.81736e-16	3.61558e-18	6.19503e-20	9.20728e-22	1.20103e-23	1.42365e-25	2.01835e-27	
POCUCE_Phytobius_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUCU_Gymnetron_tetrum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	7.29046e-32	1.84301e-29	6.57951e-27	2.12668e-24	5.83513e-22	1.333e-19	2.50155e-17	3.80232e-15	4.60527e-13	4.35924e-11	3.15024e-09	1.68849e-07	6.47153e-06	0.000169128	0.00282733	0.0276701	0.140125	0.317715	0.323768	0.147656	0.0348138	0.00479895	0.000422409	2.5298e-05	1.08067e-06	3.41403e-08	8.20779e-10	1.53678e-11	2.28414e-13	2.73866e-15	2.68546e-17	2.17933e-19	1.47903e-21	8.47261e-24	4.13221e-26	1.73146e-28	6.31847e-31	2.07675e-33	7.47125e-36	
POCUCU_Gymnetron_antirhini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUEN_Naupactus_xanthographus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.65651e-26	8.0762e-25	4.76353e-23	2.75616e-21	1.40336e-19	6.15179e-18	2.3038e-16	7.33524e-15	1.97778e-13	4.49915e-12	8.60445e-11	1.37863e-09	1.84436e-08	2.05349e-07	1.89687e-06	1.44939e-05	9.13546e-05	0.000473758	0.00201675	0.0070327	0.0200539	0.0466932	0.0886755	0.137253	0.173079	0.177818	0.148897	0.1017	0.0567276	0.0258814	0.00967716	0.0029723	0.000752035	0.000157287	2.73266e-05	3.97875e-06	4.96224e-07	5.72054e-08	8.65896e-09	
