Genus ,Species ,Size,Ne Class 
Cicindela,Cicindela punctulata punctulata,0.68,High
,Cicindela repanda,0.76,High
Chrysolina,Chrysolina affinis,0.84,Low
,Chrysolina americana,0.56,Low
,Chrysolina aurichalcea,0.80,Low
,Chrysolina banksi,1.17,Low
,Chrysolina carnifex,3.69,Low
,Chrysolina herbacea,0.91,Low
,Chrysolina peregrina,1.07,Low
,Chrysolina polita,1.01,Low
,Chrysolina pyrenaica,0.63,Low
,Chrysolina viridana,0.62,Low
,Chrysomela populi,0.35,Low
Cyrtonus,Cyrtonus arcasi,0.75,Low
,Cyrtonus arcasi,1.22,Low
,Cyrtonus cupreovirens,1.17,Low
,Cyrtonus fairmairei,0.91,Low
,Cyrtonus majoricensis,0.60,Low
,Cyrtonus pardoi,1.21,Low
,Cyrtonus plumbeus,1.18,Low
,Cyrtonus ruficornis,0.90,Low
Pimelia,Pimelia canariensis,0.49,Medium
,Pimelia criba,0.35,Medium
,Pimelia estevezi,0.35,Medium
,Pimelia fernandez-lopezi,0.41,Medium
,Pimelia granulicollis,0.32,Medium
,Pimelia granulicollis,0.39,Medium
,Pimelia laevigata costipennis,0.47,Medium
,Pimelia laevigata costipennis,0.75,Medium
,Pimelia laevigata laevigata,0.65,Medium
,Pimelia laevigata validipes,0.64,Medium
,Pimelia lutaria,0.59,Medium
,Pimelia radula ascendens,0.49,Medium
,Pimelia radula granulata,0.52,Medium
,Pimelia sparsa albohumeralis,0.25,Medium
,Pimelia sparsa serrimargo,0.28,Medium
,Pimelia sparsa sparsa,0.23,Medium
