N10	0.129756	0.12225	0.113574	0.103956	0.0936571	0.0829622	0.07217	0.0615792	0.0514712	0.042092	0.0336364	0.0262353	0.0199506	0.0147769	0.0106506	0.00746419	0.00508288	0.00336129	0.00215761	0.0013439	0.000812101	0.000476088	0.000270818	0.000149545	8.02279e-05	4.18733e-05	2.13112e-05	1.06174e-05	5.21278e-06	2.55222e-06	1.27306e-06	6.71922e-07	3.99192e-07	2.89996e-07	
N11	0.0298159	0.944937	0.0250773	0.000168906	5.06043e-07	8.50678e-10	9.11257e-13	6.73881e-16	3.63387e-19	1.48658e-22	4.75306e-26	1.21545e-29	2.53169e-33	4.35903e-37	6.27902e-41	7.64223e-45	7.92407e-49	7.04789e-53	5.40813e-57	3.5975e-61	2.08289e-65	1.05319e-69	4.66376e-74	1.81294e-78	6.19909e-83	1.86789e-87	4.96825e-92	1.16864e-96	2.43612e-101	4.51211e-106	7.4489e-111	1.10001e-115	1.45826e-120	1.7509e-125	
ADCAHA_Calathus_rectus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_brevis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.118368	0.115024	0.112932	0.11056	0.106283	0.0988774	0.0879498	0.0740963	0.0587181	0.0435523	0.0301309	0.019398	0.0116032	0.00644263	0.00331886	0.0015859	0.000702986	0.000289142	0.000110394	3.91449e-05	1.28997e-05	3.95352e-06	1.12786e-06	2.998e-07	7.43408e-08	1.72221e-08	3.73471e-09	7.60164e-10	1.45797e-10	2.65114e-11	4.6192e-12	7.90111e-13	1.44228e-13	3.9712e-14	
N13	0.0664785	0.0744554	0.0904896	0.109463	0.124747	0.13005	0.122069	0.102214	0.0759269	0.0498614	0.028891	0.0147571	0.00664404	0.00263809	0.000924721	0.000286552	7.86325e-05	1.91443e-05	4.14398e-06	7.99273e-07	1.37677e-07	2.12289e-08	2.93707e-09	3.6546e-10	4.09939e-11	4.15485e-12	3.81368e-13	3.17748e-14	2.40899e-15	1.66707e-16	1.05936e-17	6.2981e-19	3.81124e-20	3.80933e-21	
N14	0.0347038	0.0853011	0.206043	0.304554	0.237429	0.101515	0.0257766	0.00418073	0.00045933	3.58088e-05	2.05522e-06	8.94599e-08	3.02587e-09	8.1148e-11	1.755e-12	3.10544e-14	4.55216e-16	5.58809e-18	5.7995e-20	5.13167e-22	3.90062e-24	2.56419e-26	1.46678e-28	7.34169e-31	3.23186e-33	1.25709e-35	4.33927e-38	1.33458e-40	3.671e-43	9.0648e-46	2.0187e-48	4.09681e-51	7.89672e-54	1.90436e-56	
ADCAHA_Calathus_ambiguus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_erratus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_fuscipes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	1.03563e-53	1.1661e-47	3.89237e-42	6.13665e-37	5.41065e-32	2.9066e-27	9.86296e-23	2.13362e-18	2.89752e-14	2.3528e-10	1.03975e-06	0.002039	0.996125	0.00183428	8.41378e-07	1.71232e-10	1.89608e-14	1.255e-18	5.21288e-23	1.37986e-27	2.30639e-32	2.34819e-37	1.33691e-42	3.59599e-48	2.86946e-54	1.09198e-32	9.3744e-33	8.05575e-33	6.94608e-33	6.02826e-33	5.28608e-33	4.70438e-33	4.26913e-33	3.96757e-33	
ADCAHA_Calathus_granatensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_rotundatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_micropterus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
