"species","chrom.num"
"ADCAHA_Calathus_abaxoides",55
"ADCAHA_Calathus_ambiguus",37
"ADCAHA_Calathus_ascendens",23.5
"ADCAHA_Calathus_asturiensis",39
"ADCAHA_Calathus_auctus",37
"ADCAHA_Calathus_brevis",37
"ADCAHA_Calathus_circumseptus",43
"ADCAHA_Calathus_erratus",37
"ADCAHA_Calathus_freyi",36
"ADCAHA_Calathus_fuscipes",37
"ADCAHA_Calathus_granatensis",37
"ADCAHA_Calathus_melanocephalus",37.5
"ADCAHA_Calathus_micropterus",37
"ADCAHA_Calathus_mollis",39
"ADCAHA_Calathus_rectus",37
"ADCAHA_Calathus_rotundatus",39
