NODE	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
N1	0.00857135	0.00886326	0.00947104	0.0104289	0.0117793	0.0135685	0.0158396	0.0186228	0.0219238	0.0257118	0.0299095	0.0343874	0.0389653	0.0434226	0.0475181	0.0510162	0.0537167	0.0554822	0.0562581	0.0560806	0.0550717	0.0534226	0.051369	0.0491632	0.0470492	0.0452434	0.0439232	0.0432206	
N2	0.0184687	0.0183694	0.0189982	0.0202849	0.0221577	0.0245379	0.0273355	0.0304451	0.0337451	0.0370977	0.0403537	0.043359	0.0459646	0.0480373	0.0494709	0.0501952	0.0501829	0.0494518	0.048063	0.0461156	0.0437377	0.0410756	0.0382825	0.0355071	0.032883	0.0305204	0.0284985	0.0268609	
N3	0.0309152	0.0299658	0.0295232	0.0295394	0.0299662	0.0307536	0.0318464	0.0331828	0.0346921	0.0362954	0.0379062	0.0394342	0.0407905	0.0418928	0.0426721	0.0430785	0.0430851	0.0426903	0.0419174	0.0408114	0.0394343	0.0378585	0.0361602	0.0344126	0.0326804	0.0310159	0.0294564	0.028023	
N4	0.000104875	0.0001948	0.000491124	0.0012956	0.00323785	0.00742109	0.0154242	0.0289282	0.0488158	0.0739602	0.10044	0.1221	0.132745	0.128994	0.112021	0.0869548	0.0603686	0.0375194	0.0209011	0.0104524	0.00470071	0.00190494	0.000697238	0.000231223	6.99261e-05	1.96911e-05	5.61128e-06	2.18691e-06	
POCHCH_Chrysolina_cerealis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCH_Chrysolina_fastuosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0130771	0.0134347	0.0147173	0.0168744	0.0198608	0.02362	0.0280648	0.0330614	0.0384169	0.0438763	0.0491309	0.0538389	0.0576581	0.0602843	0.0614909	0.0611616	0.0593079	0.0560703	0.0517003	0.0465279	0.0409216	0.0352469	0.0298326	0.0249464	0.0207844	0.0174699	0.0150612	0.0135621	
POCHCH_Chrysolina_femoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
POCHCH_Chrysolina_affinis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0399462	0.0390086	0.0389525	0.0396241	0.0408478	0.0424328	0.044181	0.0458966	0.0473962	0.0485182	0.0491327	0.0491483	0.0485172	0.0472367	0.0453472	0.0429267	0.040083	0.0369431	0.0336425	0.0303143	0.0270802	0.0240434	0.0212844	0.0188594	0.0168017	0.0151243	0.0138242	0.0128866	
POCHCH_Chrysolina_bicolor	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0782295	0.074795	0.0716791	0.0688004	0.0660619	0.0633606	0.0605973	0.0576865	0.0545645	0.0511961	0.0475769	0.0437344	0.0397234	0.0356208	0.0315173	0.0275081	0.0236843	0.0201253	0.0168931	0.0140292	0.0115535	0.00946663	0.00775232	0.00638244	0.00532167	0.00453232	0.00397845	0.00362914	
N8	0.0860294	0.0826563	0.0799321	0.0776135	0.0754116	0.073027	0.0701868	0.0666801	0.0623877	0.0572997	0.0515173	0.045238	0.0387256	0.0322713	0.0261523	0.0205969	0.0157619	0.0117234	0.00848279	0.00598159	0.00412249	0.00278989	0.00186742	0.00125006	0.000850726	0.000602451	0.00045739	0.000384431	
N9	0.0492985	0.049861	0.0528488	0.0575173	0.0629802	0.0682958	0.0725692	0.0750576	0.0752623	0.0729883	0.0683573	0.0617711	0.0538297	0.0452246	0.0366281	0.0286024	0.0215429	0.0156607	0.0109999	0.00747729	0.00493114	0.00316687	0.00199226	0.00123945	0.000774764	0.000499763	0.000347246	0.000275437	
POCHCH_Chrysolina_colasi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
POCHCH_Chrysolina_diluta	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
