N33	0.000245949	0.999754	2.37484e-23	7.05653e-47	6.15021e-71	6.12617e-65	6.06877e-76	
POTEPI_Pimelia_echidna	0	1	0	0	0	0	0	
N34	6.33572e-05	0.999937	1.75753e-24	3.86381e-49	8.88499e-70	2.23024e-54	7.96964e-63	
N35	1.4302e-05	0.999986	2.51546e-23	4.9161e-48	1.04904e-54	1.1755e-36	5.06896e-37	
N36	6.69681e-06	0.999993	6.87522e-24	5.91358e-48	1.47775e-72	1.07268e-66	8.66014e-88	
POTEPI_Pimelia_integra	0	1	0	0	0	0	0	
N37	3.04521e-06	0.999997	7.01849e-24	6.16015e-48	1.5869e-72	1.99321e-97	1.5718e-131	
POTEPI_Pimelia_costata	0	1	0	0	0	0	0	
N38	4.93766e-07	1	3.22918e-24	1.30405e-48	1.54755e-73	5.14739e-68	7.84284e-80	
POTEPI_Pimelia_elevata	0	1	0	0	0	0	0	
N39	1.43477e-07	1	2.34787e-24	6.8926e-49	5.95446e-74	2.44983e-99	2.26067e-133	
POTEPI_Pimelia_criba	0	1	0	0	0	0	0	
POTEPI_Pimelia_interjecta	0	1	0	0	0	0	0	
N40	1.25354e-05	0.999987	8.85181e-13	2.45939e-36	1.57043e-60	1.76074e-93	3.81061e-116	
POTEPI_Pimelia_baetica	0	1	0	0	0	0	0	
POTEPI_Pimelia_variolosa	0	0	1	0	0	0	0	
N41	1.94848e-05	0.999981	2.74908e-21	1.46565e-45	2.77779e-54	1.62045e-38	1.77953e-47	
N42	7.55421e-06	0.999992	3.46581e-12	1.5023e-24	6.93271e-48	6.72974e-60	2.02326e-80	
POTEPI_Pimelia_monticola	0	0	0	1	0	0	0	
N43	2.02815e-07	1	3.6713e-24	1.45598e-48	1.09924e-54	2.19368e-65	7.44986e-37	
N44	2.53406e-08	1	2.70056e-24	9.12038e-49	3.57472e-69	7.7512e-55	1.78487e-53	
N45	3.25593e-10	1	1.06538e-25	1.41947e-51	1.25539e-57	5.13476e-69	1.44617e-47	
N46	1.09605e-10	1	5.62374e-26	3.95372e-52	8.28126e-79	2.02838e-112	1.29758e-47	
POTEPI_Pimelia_fernandezlopezi	0	1	0	0	0	0	0	
POTEPI_Pimelia_granulicollis	0	1	0	0	0	0	0	
POTEPI_Pimelia_estevezi	0	1	0	0	0	0	0	
N47	3.00936e-10	1	2.70412e-25	9.1205e-51	1.00223e-76	2.11181e-36	7.21654e-38	
POTEPI_Pimelia_sparsa_serrimargo	0	1	0	0	0	0	0	
POTEPI_Pimelia_sparsa_albohumeralis	0	1	0	0	0	0	0	
N48	3.26007e-08	1	1.2114e-25	1.831e-51	2.29296e-58	3.51574e-49	1.37393e-47	
N49	6.50114e-09	1	1.75703e-23	4.99009e-48	3.19943e-73	9.78152e-70	7.31646e-90	
N50	1.19247e-09	1	1.94701e-12	8.28999e-37	7.81357e-62	3.01477e-87	7.44104e-121	
POTEPI_Pimelia_lutaria	0	0	1	0	0	0	0	
POTEPI_Pimelia_sparsa_sparsa	0	1	0	0	0	0	0	
