NODE	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	
N1	4.78374e-21	8.07385e-21	1.81283e-20	4.50549e-20	1.16326e-19	3.05298e-19	8.04932e-19	2.11333e-18	5.48753e-18	1.40203e-17	3.51161e-17	8.6e-17	3.10828e-13	1.68783e-12	8.69534e-12	4.24501e-11	1.96217e-10	8.58197e-10	3.54997e-09	1.38831e-08	5.13147e-08	1.79217e-07	5.91305e-07	1.84273e-06	5.42334e-06	1.50724e-05	3.95526e-05	9.80005e-05	0.000229269	0.000506467	0.00105657	0.00208196	0.00387615	0.00682123	0.0113528	0.0178837	0.026691	0.0377921	0.0508538	0.0651783	0.0797947	0.0936422	0.105791	0.115622	0.122895	0.127672	0.130099	
N2	4.15103e-24	2.00834e-23	1.88635e-22	2.0495e-21	2.23192e-20	2.33433e-19	2.31241e-18	2.15882e-17	1.89539e-16	1.56322e-15	1.21018e-14	8.78836e-14	5.98341e-13	3.81713e-12	2.28061e-11	1.27548e-10	6.67409e-10	3.26595e-09	1.49393e-08	6.38516e-08	2.54891e-07	9.49981e-07	3.30443e-06	1.07239e-05	3.24603e-05	9.16153e-05	0.000241038	0.000591014	0.00135022	0.00287348	0.00569528	0.0105106	0.0180573	0.0288725	0.0429567	0.059457	0.0765491	0.0916724	0.102142	0.105958	0.102487	0.0926944	0.0787957	0.0635081	0.0492254	0.0374686	0.028755	
N3	7.0801e-29	6.78977e-28	1.28234e-26	2.60144e-25	5.04472e-24	9.13148e-23	1.53409e-21	2.38741e-20	3.43797e-19	4.57716e-18	5.62931e-17	6.39053e-16	6.69118e-15	6.45682e-14	5.73792e-13	4.69228e-12	3.52846e-11	2.43805e-10	1.54683e-09	9.0049e-09	4.8068e-08	2.35116e-07	1.05311e-06	4.31677e-06	1.61835e-05	5.54576e-05	0.000173615	0.000496276	0.00129467	0.00308109	0.00668632	0.0132271	0.0238468	0.0391753	0.058641	0.0799946	0.0994844	0.112875	0.11698	0.110954	0.0966127	0.0776139	0.0579911	0.0408426	0.0277264	0.0188072	0.0134195	
N4	2.83564e-30	3.40799e-29	7.81251e-28	1.88316e-26	4.31803e-25	9.21415e-24	1.81874e-22	3.31327e-21	5.56351e-20	8.6018e-19	1.22334e-17	1.59883e-16	1.91837e-15	2.11113e-14	2.12879e-13	1.96503e-12	1.65886e-11	1.2795e-10	9.0087e-10	5.78455e-09	3.38432e-08	1.80253e-07	8.73225e-07	3.84451e-06	1.53702e-05	5.57576e-05	0.000183401	0.000546613	0.00147526	0.00360353	0.00796249	0.0159098	0.0287375	0.0469177	0.0692347	0.0923621	0.111439	0.121704	0.120463	0.108289	0.0887073	0.0665831	0.0462217	0.0301564	0.0190077	0.0121074	0.00831225	
N5	4.42415e-41	2.07071e-39	1.6565e-37	1.29165e-35	9.18813e-34	5.90913e-32	3.4273e-30	1.78963e-28	8.39934e-27	3.53745e-25	1.33471e-23	4.50421e-22	1.35727e-20	3.64595e-19	8.71613e-18	1.85133e-16	3.48792e-15	5.81908e-14	8.58284e-13	1.11735e-11	1.28184e-10	1.29383e-09	1.14723e-08	8.92279e-08	6.07852e-07	3.6219e-06	1.88513e-05	8.55994e-05	0.000338706	0.00116665	0.00349475	0.00909714	0.020565	0.0403548	0.0687239	0.101578	0.130367	0.145423	0.14123	0.119749	0.08905	0.0585105	0.034395	0.0184884	0.00945393	0.00493966	0.00296479	
N6	5.55638e-29	6.14675e-28	1.1953e-26	2.56632e-25	5.38893e-24	1.06587e-22	1.96141e-21	3.34264e-20	5.26373e-19	7.64758e-18	1.02382e-16	1.26142e-15	1.4286e-14	1.48542e-13	1.41624e-12	1.23663e-11	9.8768e-11	7.20644e-10	4.79739e-09	2.91019e-08	1.60664e-07	8.06215e-07	3.67263e-06	1.51691e-05	5.6738e-05	0.000191958	0.000586759	0.00161868	0.00402584	0.00901847	0.0181807	0.0329578	0.0536908	0.0785645	0.103231	0.121795	0.129059	0.122903	0.105313	0.0813641	0.0568743	0.0361799	0.0211609	0.0115923	0.00615448	0.00336672	0.00209297	
N7	6.62317e-19	4.01151e-18	4.93724e-17	6.60094e-16	8.34011e-15	9.68466e-14	1.02673e-12	9.91131e-12	8.69535e-11	6.92097e-10	4.98922e-09	3.25206e-08	1.91353e-07	1.01477e-06	4.8428e-06	2.07675e-05	7.99168e-05	0.000275617	0.000850922	0.00234935	0.00579565	0.0127656	0.0250919	0.0439963	0.0688031	0.0959642	0.119399	0.132567	0.131418	0.116403	0.0922034	0.0653802	0.0415503	0.0236974	0.0121465	0.00560418	0.00233137	0.000876066	0.000297933	9.18819e-05	2.57505e-05	6.57269e-06	1.53172e-06	3.27173e-07	6.47852e-08	1.25459e-08	3.14676e-09	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.72267e-20	1.77587e-19	3.66192e-18	7.61002e-17	1.44034e-15	2.44727e-14	3.7176e-13	5.03419e-12	6.05952e-11	6.46448e-10	6.09459e-09	5.0628e-08	3.69484e-07	2.36207e-06	1.319e-05	6.41584e-05	0.000271135	0.000993083	0.00314557	0.00859991	0.020262	0.0410899	0.071664	0.107451	0.138509	0.153573	0.146589	0.120609	0.085673	0.0526402	0.0280369	0.0129747	0.00523007	0.0018412	0.00056761	0.000153659	3.66298e-05	7.71087e-06	1.43743e-06	2.37968e-07	3.50899e-08	4.6239e-09	5.46888e-10	5.85041e-11	5.77024e-12	5.64043e-13	8.02158e-14	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
