N7	0.0682885	0.0836627	0.0979862	0.109198	0.115048	0.113895	0.105414	0.0908682	0.0727531	0.054	0.0371099	0.0235935	0.0138709	0.00753952	0.00378883	0.00176058	0.000756677	0.000300907	0.000110769	3.77654e-05	1.1932e-05	3.49581e-06	9.50368e-07	2.39914e-07	5.62806e-08	1.22782e-08	2.49304e-09	4.71506e-10	8.31317e-11	1.36749e-11	2.10051e-12	3.01528e-13	4.04856e-14	5.08872e-15	5.99264e-16	6.61765e-17	6.85898e-18	6.67946e-19	6.12031e-20	5.28996e-21	4.33707e-22	3.42135e-23	2.70375e-24	2.4392e-25	4.23407e-26	
ADDYDY_Cybister_tripunctatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.056893	0.073901	0.094288	0.114296	0.128362	0.131386	0.121337	0.100494	0.0743764	0.0490917	0.0288689	0.0151208	0.00705573	0.00293489	0.00108923	0.000361091	0.000107067	2.84367e-05	6.77595e-06	1.45095e-06	2.79693e-07	4.86213e-08	7.63608e-09	1.08543e-09	1.39899e-10	1.63791e-11	1.74506e-12	1.69491e-13	1.50334e-14	1.2198e-15	9.06928e-17	6.18902e-18	3.88273e-19	2.24285e-20	1.19474e-21	5.87776e-23	2.67449e-24	1.12714e-25	4.40577e-27	1.59942e-28	5.40059e-30	1.70033e-31	5.0454e-33	1.53111e-34	9.23659e-36	
ADDYDY_Cybister_japonicus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Cybister_lateralimarginalis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.0182271	0.0251496	0.0355236	0.0492258	0.0652129	0.0814744	0.0953411	0.104144	0.106018	0.100507	0.0887143	0.0729097	0.0558026	0.0397851	0.0264312	0.0163677	0.009451	0.0050902	0.00255801	0.00119985	0.000525469	0.000214935	8.21392e-05	2.93371e-05	9.79603e-06	3.05911e-06	8.93719e-07	2.44352e-07	6.25456e-08	1.49934e-08	3.36738e-09	7.08832e-10	1.39906e-10	2.59044e-11	4.50175e-12	7.34758e-13	1.12735e-13	1.62833e-14	2.21966e-15	2.86908e-16	3.54938e-17	4.28247e-18	5.25545e-19	7.44127e-20	1.97259e-20	
N10	0.00540088	0.00796792	0.0125816	0.0200015	0.030814	0.0450574	0.0618633	0.0793074	0.0946466	0.104975	0.108104	0.103308	0.0915859	0.075312	0.057441	0.0406366	0.026668	0.0162368	0.00917315	0.00480982	0.00234112	0.00105804	0.000444096	0.000173163	6.27427e-05	2.11312e-05	6.61719e-06	1.92731e-06	5.22286e-07	1.31735e-07	3.09389e-08	6.7686e-09	1.38002e-09	2.62356e-10	4.65334e-11	7.70545e-12	1.19218e-12	1.72522e-13	2.3387e-14	2.978e-15	3.58457e-16	4.15044e-17	4.87702e-18	6.88327e-19	1.92157e-19	
N11	0.0018327	0.00279701	0.00464808	0.00785721	0.0130068	0.0206757	0.0312308	0.0445582	0.0598289	0.0754268	0.08915	0.0986891	0.102256	0.0991301	0.0898885	0.07623	0.0604568	0.0448401	0.0311039	0.0201806	0.0122486	0.00695577	0.00369657	0.00183887	0.000856477	0.000373615	0.000152694	5.84898e-05	2.10082e-05	7.07904e-06	2.23929e-06	6.65484e-07	1.85988e-07	4.89465e-08	1.21507e-08	2.85197e-09	6.34945e-10	1.34657e-10	2.7356e-11	5.36215e-12	1.0237e-12	1.93091e-13	3.71204e-14	8.01999e-15	2.81407e-15	
N12	8.5193e-06	1.87192e-05	4.93596e-05	0.000132029	0.000339483	0.000823445	0.00186915	0.00395446	0.00777919	0.014207	0.0240597	0.0377494	0.0548343	0.073699	0.0916072	0.105266	0.11179	0.109689	0.0994255	0.0832432	0.0643705	0.045973	0.0303256	0.0184772	0.0104001	0.00540851	0.00259923	0.00115463	0.000474235	0.000180149	6.3316e-05	2.05971e-05	6.20438e-06	1.7314e-06	4.47851e-07	1.07445e-07	2.39284e-08	4.95269e-09	9.54757e-10	1.72153e-10	2.93126e-11	4.82429e-12	8.1641e-13	1.69238e-13	6.69369e-14	
N13	1.91315e-07	4.43062e-07	1.32528e-06	4.1939e-06	1.29931e-05	3.83267e-05	0.000106478	0.000277228	0.000674649	0.00153208	0.00324313	0.00639408	0.0117339	0.0200322	0.0318012	0.046926	0.0643418	0.0819507	0.096935	0.106459	0.10854	0.102715	0.0902161	0.0735385	0.0556319	0.0390594	0.0254537	0.0153976	0.00864769	0.00451	0.00218468	0.000983229	0.000411266	0.000159941	5.78592e-05	1.94818e-05	6.11115e-06	1.78851e-06	4.89702e-07	1.26151e-07	3.09574e-08	7.44899e-09	1.88395e-09	5.91338e-10	3.20979e-10	
N14	5.19133e-10	1.81057e-09	8.90513e-09	4.57105e-08	2.24059e-07	1.02115e-06	4.28623e-06	1.64996e-05	5.81057e-05	0.000186874	0.000548059	0.0014638	0.00355612	0.00784902	0.0157228	0.0285552	0.0469767	0.0699462	0.0941924	0.114649	0.126069	0.12519	0.112238	0.0908391	0.0663694	0.0437812	0.0260826	0.0140388	0.0068305	0.00300602	0.00119749	0.000432173	0.000141434	4.20143e-05	1.13413e-05	2.78516e-06	6.23005e-07	1.27106e-07	2.36897e-08	4.04292e-09	6.34999e-10	9.31809e-11	1.34592e-11	2.29626e-12	7.73692e-13	
ADDYAG_Ilybius_albarracinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_erichsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_chalconatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	1.09122e-06	2.58581e-06	7.60936e-06	2.31597e-05	6.85172e-05	0.000192104	0.000504162	0.00123042	0.00278228	0.00581664	0.0112275	0.0199913	0.0328138	0.0496265	0.0691265	0.0886575	0.104671	0.113735	0.11373	0.104648	0.0886061	0.0690374	0.0495028	0.0326707	0.0198495	0.0111046	0.00572195	0.00271653	0.00118872	0.000479653	0.000178553	6.13524e-05	1.94703e-05	5.71049e-06	1.54897e-06	3.88896e-07	9.04671e-08	1.95271e-08	3.92054e-09	7.35853e-10	1.30595e-10	2.25205e-11	4.02667e-12	8.70285e-13	3.33788e-13	
N16	7.5138e-08	1.83889e-07	5.93702e-07	2.04628e-06	6.9234e-06	2.22624e-05	6.71212e-05	0.000188567	0.000492025	0.00119019	0.00266596	0.00552527	0.0105895	0.0187601	0.0307118	0.0464503	0.0648963	0.0837455	0.099817	0.109892	0.111759	0.10501	0.0911816	0.073187	0.0543211	0.0372991	0.0237051	0.0139525	0.00761063	0.00385008	0.00180786	0.000788689	0.000319987	0.000120871	4.25584e-05	1.39853e-05	4.29501e-06	1.23452e-06	3.32664e-07	8.42372e-08	2.01301e-08	4.58678e-09	1.02623e-09	2.47609e-10	9.13668e-11	
N17	1.48022e-10	6.00962e-10	3.2762e-09	1.83279e-08	9.77524e-08	4.83848e-07	2.19764e-06	9.11201e-06	3.4395e-05	0.000117993	0.000367405	0.00103729	0.00265285	0.00614045	0.0128532	0.0243119	0.0415263	0.0640106	0.0889941	0.111542	0.125979	0.128174	0.117443	0.0968946	0.0719748	0.0481354	0.0289858	0.0157186	0.00767823	0.00337964	0.00134098	0.000479886	0.000154976	4.51949e-05	1.19105e-05	2.83885e-06	6.12543e-07	1.19791e-07	2.12697e-08	3.44018e-09	5.10861e-10	7.11582e-11	9.88417e-12	1.63083e-12	5.14029e-13	
ADDYAG_Ilybius_subaeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	2.65461e-11	1.11523e-10	6.73456e-10	4.24728e-09	2.55194e-08	1.4172e-07	7.19044e-07	3.31606e-06	1.38635e-05	5.24526e-05	0.000179371	0.000553812	0.00154231	0.00387075	0.00874714	0.0177847	0.0325107	0.0533969	0.0787512	0.104237	0.123767	0.131778	0.125776	0.10759	0.0824704	0.0566426	0.0348589	0.0192243	0.00950245	0.00421096	0.00167355	0.000596758	0.000191021	5.49215e-05	1.41931e-05	3.29929e-06	6.90474e-07	1.30234e-07	2.21725e-08	3.41668e-09	4.79614e-10	6.24633e-11	7.9944e-12	1.21104e-12	3.68403e-13	
N19	2.8357e-19	2.77752e-18	3.95157e-17	5.58639e-16	7.37527e-15	8.94724e-14	9.91211e-13	9.99507e-12	9.15252e-11	7.59547e-10	5.70153e-09	3.86383e-08	2.35938e-07	1.29564e-06	6.38589e-06	2.81936e-05	0.000111277	0.00039185	0.00122866	0.00342363	0.00846149	0.0185138	0.0357971	0.06106	0.0917327	0.121202	0.140652	0.143198	0.127785	0.0998779	0.0683437	0.0409327	0.0214587	0.00984984	0.00396092	0.00139661	0.000432292	0.000117647	2.82145e-05	5.98492e-06	1.13129e-06	1.94045e-07	3.181e-08	5.87626e-09	1.99787e-09	
ADDYAG_Ilybius_quadriguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_guttiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	1.05257e-18	5.98059e-18	4.72979e-17	3.78672e-16	2.92015e-15	2.14479e-14	1.49268e-13	9.81108e-13	6.07601e-12	3.53937e-11	1.93668e-10	9.94356e-10	4.78595e-09	2.15758e-08	9.10319e-08	3.5919e-07	1.32447e-06	4.56079e-06	1.46562e-05	4.39237e-05	0.000122684	0.000319169	0.000772922	0.00174137	0.00364801	0.00710279	0.0128478	0.0215829	0.0336638	0.0487457	0.0655298	0.0818028	0.0948706	0.102302	0.102702	0.096168	0.0842151	0.069224	0.0536786	0.0395322	0.0279141	0.0191897	0.01325	0.00987993	0.00912838	
ADDYAG_Ilybius_aenescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ADDYAG_Ilybius_fuliginosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N21	2.09332e-06	4.30379e-06	1.09417e-05	2.94164e-05	7.81668e-05	0.000199401	0.000481775	0.00109516	0.00233413	0.00465537	0.008679	0.015113	0.0245681	0.0372695	0.0527419	0.0696081	0.0856579	0.0982641	0.105069	0.104703	0.0972329	0.0841422	0.0678512	0.0509866	0.0357055	0.0233044	0.0141781	0.00804178	0.00425328	0.00209815	0.000965613	0.000414723	0.000166283	6.22648e-05	2.17842e-05	7.12519e-06	2.18055e-06	6.25224e-07	1.6839e-07	4.28303e-08	1.0416e-08	2.49451e-09	6.32151e-10	2.00801e-10	1.10719e-10	
ADDYAG_Ilybius_vittiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_wasastjernae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_ramblae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	0.00242042	0.00350656	0.00545329	0.00869545	0.0137549	0.0211315	0.0311199	0.0435855	0.0577767	0.0722759	0.0851679	0.0944303	0.0984458	0.0964598	0.088807	0.0768138	0.0624159	0.0476445	0.0341671	0.0230203	0.0145735	0.00867005	0.00484778	0.002548	0.00125912	0.000585112	0.000255744	0.000105165	4.06958e-05	1.48242e-05	5.08482e-06	1.64297e-06	5.00303e-07	1.43661e-07	3.89302e-08	9.96727e-09	2.41542e-09	5.55732e-10	1.22057e-10	2.58512e-11	5.3814e-12	1.14071e-12	2.62423e-13	7.39015e-14	3.43338e-14	
N23	0.00114815	0.0016659	0.00260711	0.00421508	0.00682063	0.0108183	0.0166022	0.0244572	0.034418	0.0461334	0.0587879	0.0711359	0.0816737	0.0889296	0.0917977	0.0898132	0.0832736	0.0731636	0.0609096	0.048048	0.0359148	0.0254392	0.0170763	0.0108638	0.00655123	0.00374516	0.00202998	0.00104345	0.000508742	0.000235338	0.000103324	4.30744e-05	1.70614e-05	6.42647e-06	2.305e-06	7.88851e-07	2.58426e-07	8.14514e-08	2.4898e-08	7.47441e-09	2.24608e-09	6.94884e-10	2.30802e-10	8.93045e-11	5.1219e-11	
N24	9.92635e-15	8.1055e-14	9.7324e-13	1.13668e-11	1.2041e-10	1.14229e-09	9.66674e-09	7.27801e-08	4.86239e-07	2.87505e-06	1.50051e-05	6.894e-05	0.000278093	0.000982363	0.0030313	0.00815114	0.0190572	0.0386581	0.0679093	0.103131	0.1352	0.152817	0.148784	0.124694	0.0899243	0.0557969	0.0297943	0.013698	0.00542639	0.00185412	0.000547124	0.000139637	3.08764e-05	5.92638e-06	9.89481e-07	1.44047e-07	1.83333e-08	2.04665e-09	2.01292e-10	1.75624e-11	1.37634e-12	9.94157e-14	7.04237e-15	5.88911e-16	1.09153e-16	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N25	9.0377e-15	7.15855e-14	8.60704e-13	1.01412e-11	1.08461e-10	1.0386e-09	8.86825e-09	6.73401e-08	4.53556e-07	2.70249e-06	1.42075e-05	6.57253e-05	0.000266847	0.000948391	0.00294321	0.00795654	0.0186948	0.0380976	0.0672091	0.102465	0.134803	0.152855	0.149245	0.125392	0.0906209	0.056329	0.0301208	0.0138624	0.0054951	0.00187807	0.000554103	0.000141337	3.12205e-05	5.98367e-06	9.97122e-07	1.44809e-07	1.83765e-08	2.0443e-09	2.00223e-10	1.7381e-11	1.35356e-12	9.69984e-14	6.81259e-15	5.68558e-16	1.06987e-16	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N26	4.91948e-46	1.39233e-43	3.93531e-41	1.01325e-38	2.37216e-36	5.03758e-34	9.67405e-32	1.67378e-29	2.59794e-27	3.59976e-25	4.42824e-23	4.80607e-21	4.56975e-19	3.7764e-17	2.68784e-15	1.63063e-13	8.33119e-12	3.53472e-10	1.22484e-08	3.39797e-07	7.36565e-06	0.000121036	0.00145087	0.0120654	0.0650746	0.207546	0.345382	0.260971	0.0895349	0.0160278	0.00169665	0.000116487	5.54878e-06	1.9284e-07	5.08244e-09	1.04746e-10	1.73101e-12	2.34367e-14	2.65114e-16	2.55514e-18	2.14474e-20	1.61062e-22	1.11837e-24	7.44463e-27	5.79935e-29	
ADDYAG_Agabus_sturmii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_confinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N27	7.39565e-05	0.00012393	0.000236529	0.000467747	0.000915535	0.00173791	0.00316953	0.00552768	0.00919495	0.0145657	0.0219498	0.0314425	0.0427902	0.0552983	0.0678364	0.0789708	0.08722	0.0913744	0.0907863	0.0855357	0.0764119	0.0647186	0.0519674	0.0395598	0.0285494	0.019533	0.0126702	0.0077925	0.00454447	0.0025134	0.00131851	0.000656228	0.000309969	0.000139023	5.92484e-05	2.4021e-05	9.28202e-06	3.42915e-06	1.21772e-06	4.19609e-07	1.42794e-07	4.96674e-08	1.89457e-08	9.09664e-09	6.72585e-09	
ADDYAG_Platambus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N28	2.60081e-41	3.52428e-38	4.44012e-35	4.91432e-32	4.71821e-29	3.87765e-26	2.68944e-23	1.54969e-20	7.2873e-18	2.73855e-15	8.01816e-13	1.7719e-10	2.83637e-08	3.1112e-06	0.000216013	0.00839725	0.147407	0.726327	0.11263	0.00492046	9.7351e-05	1.0808e-06	7.60795e-09	3.67403e-11	1.28613e-13	3.3988e-16	6.99514e-19	1.14921e-21	1.53749e-24	1.70294e-27	1.58337e-30	1.25051e-33	8.47499e-37	4.97292e-40	2.54651e-43	1.14623e-46	4.56625e-50	1.62109e-53	5.16853e-57	1.49445e-60	3.97289e-64	9.90681e-68	2.38185e-71	5.69567e-75	1.43748e-78	
N29	1.32029e-65	1.08577e-60	7.89393e-56	4.69947e-51	2.26069e-46	8.65615e-42	2.59245e-37	5.94977e-33	1.02117e-28	1.27262e-24	1.11041e-20	6.47844e-17	2.38025e-13	5.07732e-10	5.59752e-07	0.000266415	0.0399371	0.932819	0.0268564	0.000120553	1.70563e-07	1.0426e-10	3.29621e-14	6.05453e-18	7.00812e-22	5.42747e-26	2.94461e-30	1.16057e-34	3.42222e-39	7.73531e-44	1.36781e-48	1.92515e-53	2.18904e-58	2.03703e-63	1.56892e-68	1.01015e-73	5.48519e-79	2.53186e-84	1.00047e-89	3.40602e-95	1.00479e-100	2.58206e-106	5.80758e-112	1.14834e-117	2.10347e-123	
ADDYCO_Colymbetes_striatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYCO_Colymbetes_paykulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYCO_Rhantus_exsoletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N30	0.00500021	0.006969	0.0100916	0.014635	0.0207986	0.0286428	0.0380072	0.0484459	0.0592094	0.0692997	0.0776049	0.0830928	0.0850203	0.0830977	0.0775587	0.0691119	0.0587892	0.0477348	0.036997	0.0273725	0.0193344	0.0130404	0.00840033	0.00516979	0.00304074	0.00171003	0.000919967	0.000473749	0.000233689	0.000110509	5.01453e-05	2.18569e-05	9.16179e-06	3.69785e-06	1.43906e-06	5.40719e-07	1.96441e-07	6.90974e-08	2.35669e-08	7.80968e-09	2.52545e-09	8.07315e-10	2.66172e-10	1.03074e-10	6.2975e-11	
ADDYDY_Eretes_sticticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N31	0.00564241	0.00797264	0.0118874	0.0179657	0.0267142	0.038324	0.0523976	0.0677622	0.0825023	0.0942897	0.100961	0.101158	0.0947635	0.0829554	0.0678364	0.0518093	0.036952	0.0246121	0.0153096	0.00889465	0.00482742	0.00244798	0.00116014	0.00051397	0.000212924	8.25118e-05	2.99203e-05	1.01565e-05	3.22868e-06	9.61609e-07	2.68449e-07	7.02784e-08	1.72622e-08	3.98031e-09	8.62053e-10	1.75485e-10	3.36056e-11	6.062e-12	1.03246e-12	1.66839e-13	2.58605e-14	3.94433e-15	6.28491e-16	1.20763e-16	4.13893e-17	
ADDYDY_Dytiscus_dauricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N32	0.00543697	0.00785513	0.0121151	0.0189826	0.0291502	0.042868	0.0595209	0.0773633	0.0936463	0.105237	0.10958	0.105597	0.0941017	0.0775134	0.0590033	0.0414999	0.0269704	0.0161969	0.00898983	0.00461251	0.00218831	0.0009603	0.000389934	0.000146569	5.10213e-05	1.64563e-05	4.92051e-06	1.36465e-06	3.5125e-07	8.39567e-08	1.86469e-08	3.85081e-09	7.39903e-10	1.32364e-10	2.20615e-11	3.42829e-12	4.97062e-13	6.72916e-14	8.51319e-15	1.00764e-15	1.1187e-16	1.1755e-17	1.21596e-18	1.47186e-19	3.7731e-20	
ADDYDY_Dytiscus_circumcinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Dytiscus_marginalis_M	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
