N22	2.17154e-05	0.0608396	0.886125	0.052836	0.000177879	1.35367e-07	3.62687e-11	4.30527e-15	2.59688e-19	8.68945e-24	1.70779e-28	2.04095e-33	1.55051e-38	
POCUSC_Ips_tridens	0	0	1	0	0	0	0	0	0	0	0	0	0	
POCUSC_Ips_borealis	0	1	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Ips_woodi	0	1	0	0	0	0	0	0	0	0	0	0	0	
N23	3.09876e-06	0.000224206	0.00585952	0.0609598	0.246806	0.38703	0.236765	0.0564403	0.00563494	0.000269737	6.96554e-06	1.06885e-07	1.26038e-09	
N24	1.7747e-05	0.000976758	0.0184351	0.131126	0.347192	0.344602	0.134297	0.0217046	0.00158853	5.86898e-05	1.20655e-06	1.50062e-08	1.44869e-10	
POCUSC_Ips_sexdentatus	0	0	1	0	0	0	0	0	0	0	0	0	0	
N25	0.000127781	0.00604826	0.0734145	0.304629	0.424514	0.165888	0.0238295	0.00150003	4.70417e-05	8.13637e-07	8.4187e-09	5.57999e-11	2.93401e-13	
POCUSC_Ips_emarginatus	0	0	0	0	1	0	0	0	0	0	0	0	0	
POCUSC_Ips_knausi	0	1	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Ips_acuminatus	0	0	1	0	0	0	0	0	0	0	0	0	0	
