NODE	17	18	19	20	21	22	23	24	25	26	27	
N1	1.02663e-08	1.17117e-06	3.91137e-05	0.000647496	0.005989	0.0322975	0.104078	0.205486	0.258462	0.22515	0.16785	
POCHCH_Timarcha_intricata	0	1	0	0	0	0	0	0	0	0	0	
N2	7.41449e-07	3.00871e-05	0.000591218	0.00677369	0.0438776	0.152483	0.279941	0.281518	0.163127	0.0574515	0.0142063	
POCHCH_Timarcha_metallica	0	0	0	0	0	1	0	0	0	0	0	
N3	3.27368e-08	5.52772e-06	0.000408375	0.012467	0.130579	0.383337	0.342682	0.113206	0.0161482	0.00111957	4.72437e-05	
N4	3.25197e-09	1.94562e-06	0.000427903	0.0265447	0.29757	0.49765	0.163054	0.0143183	0.0004271	5.23006e-06	3.6626e-08	
N5	8.06335e-08	2.02786e-05	0.0019173	0.055895	0.354449	0.450478	0.126686	0.0102441	0.000305275	4.10175e-06	3.5157e-08	
N6	8.15169e-07	0.000366635	0.0352841	0.383098	0.488324	0.0894568	0.00343284	3.71649e-05	1.46828e-07	2.57576e-10	2.66212e-13	
N7	6.64686e-05	0.0110199	0.254616	0.561906	0.163924	0.0083628	0.000104742	4.56616e-07	8.79859e-10	8.77203e-13	5.63533e-16	
N8	0.00248594	0.163587	0.621893	0.200158	0.0117048	0.000170316	8.82748e-07	2.07525e-09	2.58581e-12	1.89909e-15	9.88066e-19	
POCHCH_Timarcha_hispanica	0	1	0	0	0	0	0	0	0	0	0	
N9	0.00126728	0.231234	0.728553	0.0385982	0.00034631	8.9888e-07	9.31107e-10	4.69361e-13	1.31127e-16	2.22207e-20	2.61855e-24	
POCHCH_Timarcha_aurichalcea	0	0	1	0	0	0	0	0	0	0	0	
POCHCH_Timarcha_fallax	0	1	0	0	0	0	0	0	0	0	0	
N10	0.000130997	0.0233029	0.38818	0.525893	0.0612065	0.00127854	7.8265e-06	1.91271e-08	2.26258e-11	1.47253e-14	6.4132e-18	
N11	0.000832887	0.116573	0.659455	0.215441	0.00764302	5.4261e-05	1.26427e-07	1.2803e-10	6.68547e-14	2.016e-17	4.12014e-21	
N12	0.000759317	0.188018	0.768003	0.042914	0.000305507	5.77756e-07	4.25554e-10	1.51519e-13	2.98746e-17	3.57716e-21	2.95621e-25	
