NODE	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	
N1	0.000227644	0.000398541	0.000949464	0.00247736	0.00629306	0.0146991	0.0306752	0.0563049	0.0900597	0.124788	0.149193	0.153481	0.135595	0.102735	0.0666942	0.0370785	0.0176494	0.00719359	0.00251136	0.00075138	0.000192809	4.2474e-05	8.04131e-06	1.31004e-06	1.83909e-07	2.22811e-08	2.33336e-09	2.11582e-10	1.66418e-11	1.1375e-12	9.41806e-17	2.14594e-17	4.57159e-18	9.11502e-19	1.70275e-19	2.98349e-20	4.90873e-21	7.59286e-22	1.10566e-22	1.5191e-23	1.98648e-24	2.62515e-25	5.24033e-26	
N2	0.00124553	0.00197607	0.00378336	0.00752645	0.0144947	0.0261592	0.0435112	0.0660642	0.0910092	0.11329	0.127077	0.12819	0.116137	0.0944161	0.0688462	0.0450211	0.0264074	0.0138989	0.00656833	0.00278932	0.00106545	0.000366471	0.000113647	3.18171e-05	8.05319e-06	1.84557e-06	3.83553e-07	7.24037e-08	1.24358e-08	1.94687e-09	2.78335e-10	3.6412e-11	4.36855e-12	4.81879e-13	4.90134e-14	4.61295e-15	4.03421e-16	3.29516e-17	2.52924e-18	1.8375e-19	1.27641e-20	8.80877e-22	8.74362e-23	
POCHCA_Agroiconota_propinqua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0140368	0.0181852	0.0262047	0.0387848	0.0559625	0.0763825	0.0969032	0.113053	0.120463	0.116707	0.102492	0.0814237	0.0584378	0.0378575	0.0221267	0.0116656	0.00554795	0.00238063	0.000922026	0.000322481	0.000101916	2.9125e-05	7.53214e-06	1.76433e-06	3.74675e-07	7.22063e-08	1.26413e-08	2.01271e-09	2.91758e-10	3.85495e-11	4.64815e-12	5.12064e-13	5.16031e-14	4.76282e-15	4.03109e-16	3.13245e-17	2.23762e-18	1.47119e-19	8.91558e-21	4.99326e-22	2.61758e-23	1.40736e-24	1.4159e-25	
N4	0.013469	0.0180242	0.0272076	0.0421326	0.0629989	0.0878279	0.111817	0.128344	0.131728	0.120259	0.0973253	0.0696799	0.0440816	0.0246296	0.0121537	0.00529876	0.00204245	0.000696695	0.000210541	5.64412e-05	1.34412e-05	2.84791e-06	5.37731e-07	9.0633e-08	1.36598e-08	1.84419e-09	2.23435e-10	2.4337e-11	2.38748e-12	2.11327e-13	1.69081e-14	1.22498e-15	8.05052e-17	4.80768e-18	2.61341e-19	1.2953e-20	5.86339e-22	2.42824e-23	9.21975e-25	3.22368e-26	1.05594e-27	3.53684e-29	2.00701e-30	
N5	0.00776643	0.0114351	0.0196131	0.0342978	0.0568994	0.0862222	0.116773	0.13945	0.145566	0.132059	0.103728	0.0703703	0.0411728	0.0207607	0.00902011	0.00337793	0.00109106	0.000304253	7.33418e-05	1.53052e-05	2.76959e-06	4.35385e-07	5.95739e-08	7.10972e-09	7.41631e-10	6.77661e-11	5.43622e-12	3.83729e-13	2.38882e-14	1.31452e-15	6.40859e-17	2.7743e-18	1.06884e-19	3.67289e-21	1.12819e-22	3.10434e-24	7.66813e-26	1.70389e-27	3.41281e-29	6.17508e-31	1.01381e-32	1.57073e-34	3.96141e-36	
N6	0.00216874	0.00409821	0.00902701	0.0192102	0.0373654	0.0648954	0.0992006	0.132113	0.152151	0.150704	0.127876	0.0926983	0.0573057	0.0301814	0.0135382	0.0051734	0.00168545	0.000468696	0.000111424	2.26876e-05	3.96498e-06	5.96147e-07	7.73067e-08	8.66933e-09	8.43051e-10	7.12935e-11	5.25802e-12	3.39178e-13	1.91923e-14	9.55371e-16	4.19574e-17	1.63027e-18	5.61999e-20	1.72352e-21	4.71476e-23	1.15344e-24	2.53005e-26	4.98819e-28	8.86266e-30	1.42398e-31	2.08861e-33	2.94472e-35	6.49077e-37	
POCHCR_Pachybrachis_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000252361	0.000560646	0.00163615	0.00476095	0.0125221	0.0287529	0.0567401	0.0953482	0.135596	0.162465	0.163477	0.137835	0.0972386	0.0573521	0.0282749	0.0116554	0.00402024	0.00116167	0.000281628	5.73888e-05	9.85038e-06	1.42747e-06	1.75096e-07	1.82287e-08	1.61523e-09	1.22178e-10	7.91305e-12	4.40169e-13	2.10945e-14	8.7367e-16	3.13693e-17	9.79463e-19	2.66764e-20	6.35681e-22	1.32928e-23	2.44642e-25	3.974e-27	5.71376e-29	7.29131e-31	8.28072e-33	8.40209e-35	7.82431e-37	1.09711e-38	
N8	8.53964e-05	0.00019033	0.000594723	0.00194012	0.00580368	0.0151667	0.0339891	0.0647883	0.104583	0.142571	0.163834	0.15851	0.129032	0.0883596	0.0509153	0.0247055	0.0101058	0.00348995	0.00101934	0.000252338	5.30668e-05	9.50495e-06	1.45396e-06	1.90492e-07	2.14399e-08	2.07934e-09	1.74318e-10	1.26719e-11	8.01306e-13	4.42168e-14	2.13583e-15	9.05911e-17	3.38428e-18	1.11689e-19	3.26583e-21	8.48514e-23	1.96436e-24	4.06312e-26	7.52892e-28	1.25329e-29	1.88433e-31	2.66696e-33	6.03888e-35	
N9	2.66929e-06	8.36235e-06	3.82779e-05	0.00017683	0.000733743	0.00263453	0.00806415	0.0208785	0.0454843	0.0830472	0.126686	0.16107	0.17039	0.149832	0.109501	0.0665516	0.0336843	0.0142278	0.0050288	0.00149217	0.000373069	7.89047e-05	1.41769e-05	2.17322e-06	2.85481e-07	3.22787e-08	3.15509e-09	2.67748e-10	1.98098e-11	1.28304e-12	7.3033e-14	3.66747e-15	1.6307e-16	6.44275e-18	2.26947e-19	7.15053e-21	2.02145e-22	5.14269e-24	1.18075e-25	2.45368e-27	4.63809e-29	8.31197e-31	2.4842e-32	
POCHCL_Coptocephala_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCL_Lachnaia_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	6.36357e-06	1.90734e-05	8.28412e-05	0.000362513	0.00141846	0.0047733	0.0136033	0.0325716	0.0651873	0.108633	0.150306	0.172314	0.163482	0.128315	0.0833644	0.0448928	0.0200818	0.00748336	0.00233099	0.000609273	0.000134196	2.50177e-05	3.96569e-06	5.36985e-07	6.24001e-08	6.25134e-09	5.4234e-10	4.09239e-11	2.69729e-12	1.55919e-13	7.93608e-15	3.57017e-16	1.42471e-17	5.06093e-19	1.60564e-20	4.56421e-22	1.16603e-23	2.68499e-25	5.5884e-27	1.0543e-28	1.81156e-30	2.94822e-32	7.91633e-34	
POCHCL_Smaragdina_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCL_Macrolenes_dentipes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.87137e-05	0.000113001	0.000364933	0.00122493	0.00378778	0.0103065	0.0242275	0.0487972	0.0838533	0.122633	0.152403	0.160805	0.143998	0.109444	0.0706313	0.0387366	0.0180742	0.00718504	0.00243766	0.000707182	0.000175809	3.75417e-05	6.90292e-06	1.0958e-06	1.5059e-07	1.79655e-08	1.86596e-09	1.69219e-10	1.34382e-11	9.37248e-13	5.75771e-14	3.12453e-15	1.5021e-16	6.41524e-18	2.44079e-19	8.29517e-21	2.52493e-22	6.90142e-24	1.6985e-25	3.77743e-27	7.66624e-29	1.50221e-30	4.78894e-32	
POCHCR_Cryptocephalus_venustus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
