N18	0.0315352	0.968465	5.05708e-11	6.28908e-23	3.66957e-47	3.89747e-72	1.42925e-97	1.23449e-129	3.2231e-153	5.99869e-177	8.24882e-201	8.59549e-225	6.89629e-249	4.2947e-273	2.21267e-297	
N19	0.009207	0.990793	2.67072e-11	5.82634e-33	8.36611e-56	3.23036e-79	5.03621e-103	3.89801e-127	1.69836e-151	4.52978e-176	7.84721e-201	9.22125e-226	7.59284e-251	4.48956e-276	2.21679e-301	
N20	0.00359489	0.996405	1.8048e-22	8.0119e-46	8.30286e-70	2.86221e-94	3.89656e-119	6.64756e-88	8.61504e-100	1.1135e-112	1.10081e-125	8.51924e-139	5.25138e-152	2.61159e-165	1.15375e-178	
ADCATR_Bembidion_inaequale	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	0.00210065	0.997899	3.10712e-22	3.71821e-45	2.77121e-69	5.36491e-94	3.69088e-119	6.78736e-138	1.88388e-166	2.31963e-189	1.47191e-212	6.29074e-236	2.02673e-259	4.73678e-171	1.73584e-181	
ADCATR_Bembidion_levettei	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	0.000416274	0.999584	2.49699e-11	4.28512e-23	7.12512e-47	2.33211e-71	2.6934e-96	3.74718e-69	2.59082e-81	9.46007e-95	2.316e-108	3.71587e-122	3.6481e-136	3.06423e-148	3.86738e-158	
ADCATR_Bembidion_obtusum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N23	0.000186149	0.999814	2.85656e-11	6.69156e-23	2.4173e-46	1.94275e-70	5.78276e-95	7.26412e-120	4.15139e-145	1.01484e-170	1.73096e-199	2.85945e-223	3.77709e-247	4.05871e-271	3.88263e-295	
ADCATR_Bembidion_levettei_carrianum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_properans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N24	0.000137838	0.150277	0.849585	1.95989e-11	5.23335e-34	2.85347e-55	7.44617e-67	7.10662e-79	1.77252e-91	3.21593e-104	4.42811e-117	4.77365e-130	4.12527e-143	2.91044e-156	1.8699e-169	
N25	5.80621e-10	0.000369125	0.999631	2.33519e-11	5.34125e-36	2.4969e-61	1.44686e-53	1.65343e-33	1.55521e-34	1.22577e-35	8.30224e-37	4.92141e-38	2.5883e-39	1.22031e-40	5.40767e-42	
ADCATR_Bembidion_concolor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_lampros	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_californicum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N26	0.0103749	0.595426	0.369112	0.025088	9.71286e-25	7.06259e-48	1.82291e-71	2.18668e-95	1.41418e-119	5.40975e-144	1.30081e-168	2.04614e-193	2.15791e-218	1.54292e-243	8.85432e-269	
N27	3.9394e-05	0.0329517	0.478782	0.488227	4.06581e-24	1.74682e-40	1.59873e-51	3.00314e-63	1.55191e-75	5.74912e-88	1.59703e-100	3.43986e-113	5.89498e-126	8.203e-139	1.07691e-151	
N28	1.98228e-05	0.0237949	0.447142	0.529043	8.64715e-24	1.81278e-47	1.1739e-71	7.06509e-105	6.8681e-128	5.88685e-151	3.69711e-174	1.77047e-197	6.66163e-221	2.01573e-244	5.68732e-268	
ADCATR_Bembidion_lapponicum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_confusum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_balli	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N29	1.17319e-05	0.0109715	0.256454	0.732563	4.61587e-23	5.32299e-46	2.13869e-69	3.96077e-93	3.96652e-117	2.38227e-141	9.22294e-166	2.4264e-190	4.51408e-215	6.1243e-240	7.39838e-265	
ADCATR_Bembidion_rapidum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_levigatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N30	0.161378	0.610157	0.221755	0.00671068	1.19141e-24	3.26727e-47	2.67824e-70	9.14323e-94	1.57116e-117	1.53178e-141	9.18926e-166	3.59397e-190	9.56165e-215	1.78638e-239	2.98329e-264	
N31	0.0288799	0.350926	0.53238	0.0878139	1.94072e-23	7.76944e-46	2.44796e-67	1.61564e-79	6.34208e-92	1.7785e-104	3.72922e-117	6.04896e-130	7.79131e-143	8.13533e-156	7.85566e-169	
N32	8.93357e-14	1.48812e-08	0.000344524	0.999655	2.30592e-25	9.49255e-51	1.39796e-76	5.97184e-33	2.00057e-33	5.74461e-34	1.44139e-34	3.20835e-35	6.41273e-36	1.16252e-36	2.26959e-37	
ADCATR_Bembidion_tibiale	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_tetracolum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N33	0.0011141	0.0716637	0.529587	0.397635	4.0281e-23	6.86823e-46	3.86339e-69	9.65157e-93	1.26982e-116	9.82635e-141	4.83086e-165	1.59647e-189	3.70155e-214	6.2251e-239	9.39134e-264	
N34	3.43739e-09	2.61176e-05	0.0177544	0.98222	1.05405e-23	1.75249e-47	9.30458e-72	2.09556e-96	2.31124e-121	1.35626e-146	4.40698e-172	8.00362e-198	7.95485e-224	4.01837e-250	9.71365e-277	
ADCATR_Bembidion_planatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_decorum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N35	2.06203e-05	0.00812821	0.280288	0.711563	3.67605e-23	2.77605e-46	6.51401e-70	6.57454e-94	3.41954e-118	1.02708e-142	1.92453e-167	2.37692e-192	2.01461e-217	1.20764e-242	5.95346e-268	
ADCATR_Bembidion_sejunctum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N36	9.39894e-08	0.000358197	0.0847219	0.91492	2.30022e-23	7.79734e-47	8.01025e-71	3.49195e-95	7.74203e-120	9.75092e-145	7.50294e-170	3.70754e-195	1.21833e-220	2.72787e-246	4.59873e-272	
ADCATR_Bembidion_transversale	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_mexicanum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N37	0.00261631	0.0762994	0.42224	0.498844	1.10915e-11	4.62956e-23	4.24026e-45	1.20544e-67	1.5556e-90	1.09037e-113	4.62815e-137	1.28114e-160	2.44151e-184	3.33883e-208	4.86889e-232	
ADCATR_Bembidion_articulatum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_punctulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N38	0.000161991	0.0138359	0.251365	0.734637	1.03735e-22	2.88622e-45	2.94248e-68	1.43182e-91	3.8568e-115	6.32271e-139	6.73535e-163	4.88927e-187	2.50628e-211	9.32289e-236	3.53371e-260	
ADCATR_Bembidion_aenulum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N39	7.37644e-08	0.000138232	0.0382122	0.96165	1.46145e-23	3.01307e-47	1.88272e-71	5.01439e-96	6.81736e-121	5.24957e-146	2.43878e-171	7.11032e-197	1.32957e-222	1.60549e-248	1.33031e-274	
ADCATR_Bembidion_insulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_umbratum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_ruficorne	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
