NODE	16	17	18	19	
N1	0.0870966	0.9125	0.000402895	4.84726e-10	
N2	0.0046718	0.994629	0.000699174	6.05438e-09	
N3	0.0017515	0.989434	0.00881442	1.64034e-07	
POLALU_Luciola_lateralis	0	1	0	0	
POLALU_Luciola_cruciata	0	0	1	0	
N4	0.00103869	0.99646	0.00250104	1.84521e-09	
N5	0.000849154	0.9991	5.05399e-05	3.25064e-10	
POLAPH_Bicellonycha_sp	0	1	0	0	
POLAPH_Photuris_sp	0	1	0	0	
N6	0.000122019	0.84948	0.150398	1.2009e-07	
POLALA_Lucidota_sp	0	0	1	0	
N7	3.64219e-05	0.821482	0.178481	5.65128e-08	
N8	3.48709e-05	0.805626	0.194339	2.0559e-07	
N9	1.02188e-05	0.447679	0.55231	6.13619e-07	
POLALA_Photinus_pyralis	0	0	1	0	
N10	1.77724e-07	0.0189134	0.981085	1.27042e-06	
POLALA_Ellychnia_corrusca	0	0	1	0	
POLALA_Ellychnia_californica	0	0	1	0	
POLALA_Photinus_australis	0	1	0	0	
N11	3.41922e-05	0.597402	0.402561	2.12158e-06	
POLALA_Aspisoma_sp	0	0	1	0	
N12	2.63721e-06	0.0501049	0.949885	7.02997e-06	
POLALA_Pyractomena_borealis	0	0	1	0	
POLALA_Pyractomena_angulata	0	0	1	0	
POLALA_Cryptolestes_sp	0	0	1	0	
