NODE	13	14	15	16	17	18	19	20	21	22	23	24	
N1	5.84642e-07	1.4783e-05	0.000132556	0.000754984	0.00318456	0.0105816	0.0286074	0.0641936	0.121182	0.194233	0.265825	0.31129	
N2	6.34983e-06	7.99369e-05	0.000474677	0.00199551	0.00659443	0.0178914	0.0408204	0.0795418	0.13376	0.195375	0.24851	0.27495	
N3	0.00383053	0.0273572	0.0751267	0.131568	0.171671	0.178527	0.153346	0.111424	0.0701687	0.0398862	0.0223546	0.0147399	
POCUSC_Dendroctonus_jeffreyi	0	1	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_ponderosae	0	0	0	0	1	0	0	0	0	0	0	0	
N4	3.92283e-05	0.000388399	0.00173167	0.00550115	0.0141034	0.0306502	0.0578647	0.0962578	0.14238	0.188388	0.223771	0.238924	
POCUSC_Dendroctonus_frontalis	0	0	0	1	0	0	0	0	0	0	0	0	
N5	0.000165387	0.0014074	0.00512683	0.0131176	0.0272606	0.048815	0.0775437	0.111134	0.145326	0.174799	0.194489	0.200816	
POCUSC_Dendroctonus_adjunctus	0	0	0	0	0	0	1	0	0	0	0	0	
N6	0.000259998	0.00216376	0.00760671	0.0185694	0.0364692	0.0612353	0.0906755	0.120744	0.146817	0.165332	0.174762	0.175366	
POCUSC_Dendroctonus_approximatus	0	0	0	0	0	1	0	0	0	0	0	0	
POCUSC_Dendroctonus_brevicomis	0	0	0	0	0	0	0	0	1	0	0	0	
N7	5.09678e-05	0.000473054	0.00195835	0.00583996	0.0143203	0.0303327	0.0566866	0.0943899	0.140682	0.188023	0.225355	0.241888	
N8	0.000196708	0.00163716	0.00578132	0.014302	0.0288123	0.050306	0.0784654	0.111155	0.144441	0.173277	0.192674	0.198952	
POCUSC_Dendroctonus_simplex	0	0	0	0	0	0	0	1	0	0	0	0	
POCUSC_Dendroctonus_pseudotsugae	0	0	0	0	0	0	0	0	1	0	0	0	
N9	0.00011446	0.00102541	0.00400903	0.0110618	0.0246257	0.0465913	0.0768823	0.112528	0.148113	0.177557	0.196116	0.201376	
N10	6.70814e-05	0.000647081	0.00280999	0.00871785	0.0217205	0.0451685	0.0796539	0.120346	0.157628	0.18229	0.191497	0.189455	
POCUSC_Dendroctonus_punctatus	0	0	0	0	0	0	0	0	0	0	1	0	
N11	9.48296e-05	0.00107301	0.00554335	0.0195746	0.0515063	0.103472	0.160204	0.192588	0.181742	0.137586	0.0884982	0.0581163	
POCUSC_Dendroctonus_rufipennis	0	0	0	1	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_murrayanae	0	0	0	0	0	0	0	0	0	1	0	0	
N12	0.000236747	0.00205458	0.00759896	0.0193927	0.0392098	0.0665271	0.0977372	0.127132	0.1494	0.161993	0.165677	0.163041	
POCUSC_Dendroctonus_valens	0	0	0	0	0	0	1	0	0	0	0	0	
POCUSC_Dendroctonus_terebrans	0	0	0	0	0	1	0	0	0	0	0	0	
