"species","chrom.num"
"ADCATR_Bembidion_aenulum",24
"ADCATR_Bembidion_americanum",24
"ADCATR_Bembidion_antiquum",24
"ADCATR_Bembidion_arenobilis",24
"ADCATR_Bembidion_articulatum",26
"ADCATR_Bembidion_balli",24
"ADCATR_Bembidion_bellorum",24
"ADCATR_Bembidion_bifossulatum",24
"ADCATR_Bembidion_californicum",24
"ADCATR_Bembidion_chalceum",26
"ADCATR_Bembidion_concolor",24
"ADCATR_Bembidion_confusum",24
"ADCATR_Bembidion_coxendix",23
"ADCATR_Bembidion_decorum",24
"ADCATR_Bembidion_honestum",24
"ADCATR_Bembidion_inaequale",22
"ADCATR_Bembidion_insulatum",24
"ADCATR_Bembidion_integrum",24
"ADCATR_Bembidion_lampros",23
"ADCATR_Bembidion_lapponicum",24
"ADCATR_Bembidion_levettei",22
"ADCATR_Bembidion_levettei_carrianum",22
"ADCATR_Bembidion_levigatum",24
"ADCATR_Bembidion_louisella",24
"ADCATR_Bembidion_mexicanum",24
"ADCATR_Bembidion_obtusum",24
"ADCATR_Bembidion_planatum",24
"ADCATR_Bembidion_properans",24
"ADCATR_Bembidion_punctulatum",24
"ADCATR_Bembidion_quadrimaculatum",23.3
"ADCATR_Bembidion_rapidum",24
"ADCATR_Bembidion_rothfelsi",34
"ADCATR_Bembidion_ruficorne",26
"ADCATR_Bembidion_rufotinctum",24
"ADCATR_Bembidion_sejunctum",24
"ADCATR_Bembidion_tairuense",24
"ADCATR_Bembidion_tetracolum",24.3
"ADCATR_Bembidion_tibiale",24
"ADCATR_Bembidion_transversale",24
"ADCATR_Bembidion_umbratum",24
