NODE	17	18	19	20	
N1	6.64394e-43	1.97511e-21	0.967791	0.0322094	
POLALA_Cryptolestes_sp	0	1	0	0	
N2	2.00426e-36	1.43477e-12	0.998087	0.00191272	
N3	1.9071e-23	0.5046	0.495133	0.00026701	
POLALU_Luciola_lateralis	0	1	0	0	
POLALU_Luciola_cruciata	0	1	0	0	
N4	7.55663e-46	6.10622e-22	0.998923	0.00107667	
N5	4.39698e-46	5.92998e-23	0.999602	0.00039824	
POLAPH_Bicellonycha_sp	0	0	1	0	
POLAPH_Photuris_sp	0	0	1	0	
N6	2.81845e-35	9.71597e-12	0.999888	0.000111806	
POLALA_Lucidota_sp	0	1	0	0	
N7	2.30334e-36	1.09382e-11	0.999985	1.54251e-05	
N8	7.53341e-45	2.0297e-21	0.999996	4.49418e-06	
POLALA_Photinus_australis	0	0	1	0	
N9	1.02851e-35	7.51136e-12	1	4.23667e-07	
N10	4.31225e-25	0.969231	0.0307687	2.00573e-10	
POLALA_Ellychnia_corrusca	0	1	0	0	
POLALA_Ellychnia_californica	0	1	0	0	
POLALA_Photinus_pyralis	0	0	1	0	
N11	8.88712e-25	0.327566	0.672429	4.44748e-06	
POLALA_Aspisoma_sp	0	1	0	0	
N12	7.98401e-24	0.871019	0.128981	8.33346e-08	
POLALA_Pyractomena_borealis	0	1	0	0	
POLALA_Pyractomena_angulata	0	1	0	0	
