"species","chrom.num"
"POCHCH_Timarcha_aurichalcea",18
"POCHCH_Timarcha_balearica",22
"POCHCH_Timarcha_calceata",30
"POCHCH_Timarcha_cornuta",18
"POCHCH_Timarcha_cyanescens",20
"POCHCH_Timarcha_espanoli",26
"POCHCH_Timarcha_fallax",20
"POCHCH_Timarcha_geniculata",20
"POCHCH_Timarcha_goettingensis",20
"POCHCH_Timarcha_gougeleti",20
"POCHCH_Timarcha_granadensis",22
"POCHCH_Timarcha_hispanica",20
"POCHCH_Timarcha_insparsa",20
"POCHCH_Timarcha_intermedia",20
"POCHCH_Timarcha_interstitialis",20
"POCHCH_Timarcha_intricata",44
"POCHCH_Timarcha_lugens",20
"POCHCH_Timarcha_marginicollis",20
"POCHCH_Timarcha_maritima",20
"POCHCH_Timarcha_metallica",20
"POCHCH_Timarcha_montserratensis",20
"POCHCH_Timarcha_perezi",20
"POCHCH_Timarcha_pimelioides",28
"POCHCH_Timarcha_recticollis",20
"POCHCH_Timarcha_rugosa",26
"POCHCH_Timarcha_scabripennis",26
"POCHCH_Timarcha_sinuaticollis",20
"POCHCH_Timarcha_strangulata",28
"POCHCH_Timarcha_tenebricosa",22
"POCHCH_Timarcha_ventricosa",26
