POCUDR_Sitophilus_granarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUDR_Sitophilus_zeamais	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUDR_Sitophilus_oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUMO_Pachylobius_picivorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N10	3.49822e-49	6.62922e-47	1.88116e-44	4.83716e-42	1.09729e-39	2.18616e-37	3.81334e-35	5.80559e-33	7.69004e-31	8.83391e-29	8.77194e-27	7.50433e-25	5.51238e-23	3.46498e-21	1.85742e-19	8.46204e-18	3.26518e-16	1.06347e-14	2.91377e-13	6.69347e-12	1.28497e-10	2.05492e-09	2.72908e-08	3.00101e-07	2.72469e-06	2.03708e-05	0.000125098	0.000629575	0.00259117	0.0087058	0.0238417	0.0531638	0.0964834	0.142582	0.171937	0.170016	0.139257	0.0964508	0.0590376	0.0351545	
N11	2.26158e-34	5.60953e-33	2.788e-31	1.37625e-29	6.25666e-28	2.59344e-26	9.77162e-25	3.33898e-23	1.03238e-21	2.88171e-20	7.24475e-19	1.63652e-17	3.3135e-16	5.99854e-15	9.68525e-14	1.39119e-12	1.77326e-11	2.00064e-10	1.99288e-09	1.74836e-08	1.34759e-07	9.10393e-07	5.3784e-06	2.77257e-05	0.000124459	0.000485581	0.00164379	0.00482093	0.012234	0.0268366	0.0508534	0.083216	0.117605	0.143621	0.15174	0.138994	0.110834	0.0776749	0.0491337	0.0301489	
N12	6.08038e-58	1.06286e-55	2.93691e-53	7.8373e-51	1.93095e-48	4.36088e-46	9.00182e-44	1.69424e-41	2.90011e-39	4.50304e-37	6.32469e-35	8.01189e-33	9.12511e-31	9.31343e-29	8.48824e-27	6.88222e-25	4.9442e-23	3.13362e-21	1.74408e-19	8.48175e-18	3.58469e-16	1.30892e-14	4.10297e-13	1.0964e-11	2.47862e-10	4.70079e-09	7.4105e-08	9.61254e-07	1.01466e-05	8.61099e-05	0.00057997	0.00305835	0.0124563	0.0386899	0.0907063	0.159523	0.210432	0.210217	0.16423	0.11001	
POCUCE_Phytobius_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
POCUCU_Gymnetron_tetrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N13	3.61073e-38	3.81673e-36	6.57401e-34	1.05632e-31	1.52025e-29	1.94503e-27	2.20114e-25	2.19198e-23	1.91013e-21	1.44767e-19	9.47853e-18	5.32185e-16	2.54142e-14	1.02289e-12	3.43494e-11	9.51507e-10	2.14674e-08	3.8888e-07	5.56647e-06	6.18527e-05	0.000523275	0.00330211	0.0152295	0.050413	0.118243	0.195561	0.22899	0.192136	0.117533	0.0534492	0.018426	0.00490437	0.00102463	0.000170484	2.28737e-05	2.50051e-06	2.24545e-07	1.66646e-08	1.03593e-09	6.88308e-11	
POCUCU_Gymnetron_antirhini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUEN_Naupactus_xanthographus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
