Bembidion,Calathus,Carabidae,Carabus,Cerambycidae,Chrysolina,Chrysomelidae,Cicindela,Timarcha,Tenebrionidae,Scarabaeidae,Pterostichus,Pimelia,Lampyridae,Ips,Harpalus,Elateridae,Dytiscidae,Diabrotica,Dendroctonus,Cytronus,Curculionidae,Coccinellidae
ADCATR_Bembidion_aenulum,ADCAHA_Calathus_abaxoides,ADCABR_Aptinus_displosor,ADCACA_Carabus_auronitens,POCECE_Callidium_violaceum,POCHCH_Chrysolina_affinis,POCHAL_Altica_lythri,ADCACI_Amblycheila_baroni,POCHCH_Timarcha_aurichalcea,POTEAL_Alleculinae_sp,POSCAP_Aphodius_ater,ADCAHA_Pterostichus_alacer,POTEPI_Pimelia_ascendens,POLALA_Aspisoma_sp,POCUSC_Ips_acuminatus,ADCAHA_Harpalus_aesculanus,POELAG_Adelocera_sp_M,ADDYAG_Agabus_biguttatus,POCHGA_Diabrotica_adelpha,POCUSC_Dendroctonus_adjunctus,POCHCH_Cyrtonus_arcasi,POCUBA_Limnobaris_sp,POCOCH_Chilocorus_bipustulatus
ADCATR_Bembidion_americanum,ADCAHA_Calathus_ambiguus,ADCABR_Brachinus_sp,ADCACA_Carabus_blaptoides,POCECE_Chlorophorus_sp,POCHCH_Chrysolina_americana,POCHBR_Acanthoscelides_obtectus,ADCACI_Cicindela_aurulenta,POCHCH_Timarcha_balearica,POTEDI_Diaperis_boleti,POSCAP_Aphodius_borealis,ADCAHA_Pterostichus_angustus,POTEPI_Pimelia_atlantis_atlantis,POLALA_Cryptolestes_sp,POCUSC_Ips_avulsus,ADCAHA_Harpalus_affinis,POELAG_Agrypnus_sp,ADDYAG_Agabus_bipustulatus,POCHGA_Diabrotica_balteata,POCUSC_Dendroctonus_approximatus,POCHCH_Cyrtonus_contractus,POCUBA_Metialma_sp,POCOCH_Chilocorus_renipustulatus
ADCATR_Bembidion_antiquum,ADCAHA_Calathus_ascendens,ADCABR_Pheropsophus_sp,ADCACA_Carabus_caelatus,POCECE_Clytus_arietis,POCHCH_Chrysolina_aurichalcea,POCHBR_Bruchidius_aureus,ADCACI_Cicindela_dorsalis,POCHCH_Timarcha_calceata,POTEDI_Gnathocerus_cornutus,POSCAP_Aphodius_coniugatus,ADCAHA_Pterostichus_anthracinus,POTEPI_Pimelia_atlantis_frigioides,POLALA_Ellychnia_californica,POCUSC_Ips_bonanseai,ADCAHA_Harpalus_anxius,POELAG_Chalcolepidius_sp,ADDYAG_Agabus_confinis,POCHGA_Diabrotica_cristata,POCUSC_Dendroctonus_brevicomis,POCHCH_Cyrtonus_cupreovirens,POCUBR_Echinocnemus_sp,POCOCH_Chilocorus_stigma
ADCATR_Bembidion_arenobilis,ADCAHA_Calathus_asturiensis,ADCABR_Promecoderus_sp,ADCACA_Carabus_cancellatus,POCECE_Cyrtoclytus_sp,POCHCH_Chrysolina_bicolor,POCHBR_Bruchidius_saundersi,ADCACI_Cicindela_hybrida,POCHCH_Timarcha_cornuta,POTEPI_Erodius_orientalis,POSCAP_Aphodius_consputus,ADCAHA_Pterostichus_aterrimus,POTEPI_Pimelia_baetica,POLALA_Ellychnia_corrusca,POCUSC_Ips_borealis,ADCAHA_Harpalus_attenuatus,POELAG_Lacon_sp,ADDYAG_Agabus_conspersus,POCHGA_Diabrotica_limitata,POCUSC_Dendroctonus_frontalis,POCHCH_Cyrtonus_cylindricus,POCUBR_Notaris_sp,POCOCH_Curinus_coeruleus
ADCATR_Bembidion_articulatum,ADCAHA_Calathus_auctus,ADCACA_Calosoma_inquistor,ADCACA_Carabus_creutzeri,POCECE_Eburia_sp,POCHCH_Chrysolina_carnifex,POCHBR_Bruchidius_urbanus,ADCACI_Cicindela_marutha,POCHCH_Timarcha_cyanescens,POTEPI_Pimelia_ascendens,POSCAP_Aphodius_constans,ADCAHA_Pterostichus_flavofemoratus,POTEPI_Pimelia_boyeri,POLALA_Lucidota_sp,POCUSC_Ips_calligraphus,ADCAHA_Harpalus_contemptus,POELCA_Cardiophorus_sp,ADDYAG_Agabus_ramblae,POCHGA_Diabrotica_longicornis,POCUSC_Dendroctonus_jeffreyi,POCHCH_Cyrtonus_dufouri,POCUCE_Nedyus_quadrimaculatus,POCOCH_Exochomus_quadripustulatus
ADCATR_Bembidion_balli,ADCAHA_Calathus_brevis,ADCACA_Carabus_auronitens,ADCACA_Carabus_fruhstorferi,POCECE_Elaphidion_sp,POCHCH_Chrysolina_cerealis,POCHBR_Bruchus_pisorum,ADCACI_Cicindela_punctulata,POCHCH_Timarcha_espanoli,POTEPI_Pimelia_atlantis_atlantis,POSCAP_Aphodius_contaminatus,ADCAHA_Pterostichus_globosus,POTEPI_Pimelia_canariensis,POLALA_Photinus_australis,POCUSC_Ips_confusus,ADCAHA_Harpalus_decipiens,POELDE_Athous_sp,ADDYAG_Agabus_sturmii,POCHGA_Diabrotica_nummularis,POCUSC_Dendroctonus_murrayanae,POCHCH_Cyrtonus_elegans,POCUCE_Phytobius_sp,POCOCH_Orcus_sp
ADCATR_Bembidion_bellorum,ADCAHA_Calathus_circumseptus,ADCACA_Carabus_blaptoides,ADCACA_Carabus_granulatus,POCECE_Phymatodes_sp,POCHCH_Chrysolina_coerulans,POCHBR_Bruchus_rufimanus,ADCACI_Cicindela_repanda,POCHCH_Timarcha_fallax,POTEPI_Pimelia_atlantis_frigioides,POSCAP_Aphodius_depressus,ADCAHA_Pterostichus_herculeanus,POTEPI_Pimelia_costata,POLALA_Photinus_pyralis,POCUSC_Ips_cribricollis,ADCAHA_Harpalus_dimidiatus,POELDE_Limonius_sp,ADDYAG_Ilybius_aenescens,POCHGA_Diabrotica_porracea,POCUSC_Dendroctonus_ponderosae,POCHCH_Cyrtonus_fairmairei,POCUCE_Rhinoncus_sp,POCOCO_Anatis_sp
ADCATR_Bembidion_bifossulatum,ADCAHA_Calathus_erratus,ADCACA_Carabus_caelatus,ADCACA_Carabus_hispanus,POCECE_Plagionotus_sp,POCHCH_Chrysolina_colasi,POCHBR_Callosobruchus_analis,ADCACI_Cicindela_sedecimpunctata,POCHCH_Timarcha_geniculata,POTEPI_Pimelia_baetica,POSCAP_Aphodius_distinctus,ADCAHA_Pterostichus_interruptus,POTEPI_Pimelia_criba,POLALA_Pyractomena_angulata,POCUSC_Ips_emarginatus,ADCAHA_Harpalus_distinguendus,POELEL_Agriotes_lineatus,ADDYAG_Ilybius_albarracinensis,POCHGA_Diabrotica_scutellata,POCUSC_Dendroctonus_pseudotsugae,POCHCH_Cyrtonus_majoricensis,POCUCE_Zacladus_geranii,POCOCO_Azya_sp
ADCATR_Bembidion_californicum,ADCAHA_Calathus_freyi,ADCACA_Carabus_cancellatus,ADCACA_Carabus_hortensis,POCECE_Purpuricenus_sp,POCHCH_Chrysolina_curvilinea,POCHBR_Callosobruchus_chinensis,ADCACI_Cicindela_sexguttata,POCHCH_Timarcha_goettingensis,POTEPI_Pimelia_boyeri,POSCAP_Aphodius_elevatus,ADCAHA_Pterostichus_melanarius,POTEPI_Pimelia_echidna,POLALA_Pyractomena_borealis,POCUSC_Ips_hoppingi,ADCAHA_Harpalus_ebeninus,POELEL_Agriotes_obscurus,ADDYAG_Ilybius_ater,POCHGA_Diabrotica_sexmaculata,POCUSC_Dendroctonus_punctatus,POCHCH_Cyrtonus_pardoi,POCUCL_Cleonus_sp,POCOCO_Calvia_quatuordecimguttata
ADCATR_Bembidion_chalceum,ADCAHA_Calathus_fuscipes,ADCACA_Carabus_creutzeri,ADCACA_Carabus_lineatus,POCECE_Rosalia_sp,POCHCH_Chrysolina_diluta,POCHBR_Callosobruchus_maculatus,ADCACI_Cicindela_splendida,POCHCH_Timarcha_gougeleti,POTEPI_Pimelia_canariensis,POSCAP_Aphodius_erraticus,ADCAHA_Pterostichus_nemoralis,POTEPI_Pimelia_elevata,POLALU_Luciola_cruciata,POCUSC_Ips_hunteri,ADCAHA_Harpalus_honestus,POELEL_Agriotes_sputator,ADDYAG_Ilybius_chalconatus,POCHGA_Diabrotica_speciosa,POCUSC_Dendroctonus_rufipennis,POCHCH_Cyrtonus_plumbeus,POCUCO_Telephae_sp,POCOCO_Chnoodes_sp
