name,chrom.num
ADCAHA_Abacetus_sp,41.00
ADCAHA_Abax_ovalis,35.00
ADCAHA_Abax_parallelepipedus,35.00
POCUMO_Acalles_camelus,30.00
POCUMO_Acalles_echinatus,30.00
POCELA_Acalolepta_fraudatrix,22.00
POCELA_Acalolepta_luxuriosa,24.00
POCHGA_Acalymma_blandulum,19.00
POCHGA_Acalymma_fairmairei,27.00
POCHGA_Acalymma_trivittatum,21.00
POCHGA_Acalymma_vittatum,21.00
POCHBR_Acanthoscelides_obtectus,20.00
ADCAHA_Acinopus_picipes,37.00
POCELE_Acmaeops_sp,22.00
POELAG_Adelocera_sp_M,19.00
POCUMO_Adexius_scrobipennis,36.00
POSCRU_Adoretus_lasiopygus,22.00
POSCRU_Adoretus_versutus,23.00
POCHGA_Aedmon_sp,39.00
ADDYAG_Agabus_biguttatus,43.00
ADDYAG_Agabus_bipustulatus,42.50
ADDYAG_Agabus_confinis,42.50
ADDYAG_Agabus_conspersus,41.50
ADDYAG_Agabus_ramblae,43.00
ADDYAG_Agabus_sturmii,42.50
POCELA_Agapanthia_daurica,20.00
POCHGA_Agelastica_coerulea,24.00
ADCAHA_Agonum_marginatum,37.00
ADCAHA_Agonum_muelleri,37.00
POELEL_Agriotes_lineatus,19.00
POELEL_Agriotes_obscurus,19.00
POELEL_Agriotes_sputator,20.00
POCHCA_Agroiconota_propinqua,38.00
POELAG_Agrypnus_sp,15.00
POCHGA_Alagoasa_bicolor,22.00
POCHGA_Alagoasa_cf_arcifera,16.00
POCHGA_Alagoasa_cruxnigra,22.00
POCHGA_Alagoasa_decemgutatta,22.00
POCHGA_Alagoasa_extrema,22.00
POCHGA_Alagoasa_libentina,22.00
POSTAL_Aleochara_sp,18.00
POTEAL_Alleculinae_sp,17.00
POCHAL_Altica_lythri,24.00
ADCAHA_Amara_sp,33.70
ADCACI_Amblycheila_baroni,44.00
ADCAHA_Amblystomus_sp,24.00
ADCAPS_Amblytelus_curtus,30.00
ADCAHA_Amphasia_sericea,29.00
POSCME_Amphimallon_solstitiale,20.00
POCOCO_Anatis_sp,18.00
ADCAHA_Anisodactylus_hispanus,37.00
ADCAHA_Anisodactylus_virens,37.00
POSCRU_Anomala_bengalensis,18.00
POSCRU_Anomala_dorsalis,20.00
POSCRU_Anomala_polita,20.00
POSCRU_Anomala_varicolor,20.00
POCELA_Anoplophora_chinensis,30.00
POCELA_Anoplophora_malasiaca,30.00
POGEGE_Anoplotrupes_stercorosus,21.00
POBUBU_Anthaxia_hungarica,16.00
ADCAHA_Anthia_sp,35.00
POANAN_Anthicidae_sp,18.00
POCUCU_Anthonomus_sp,32.80
PODEME_Anthrenus_sp,18.00
ADCAHA_Apenes_sp,36.00
POSCAP_Aphodius_ater,20.00
POSCAP_Aphodius_borealis,20.00
POSCAP_Aphodius_coniugatus,20.00
POSCAP_Aphodius_consputus,20.00
POSCAP_Aphodius_constans,20.00
POSCAP_Aphodius_contaminatus,20.00
POSCAP_Aphodius_depressus,20.00
POSCAP_Aphodius_distinctus,20.00
POSCAP_Aphodius_elevatus,20.00
POSCAP_Aphodius_erraticus,20.00
POSCAP_Aphodius_fimetarius,20.00
POSCAP_Aphodius_foetens,20.00
POSCAP_Aphodius_foetidus,20.00
POSCAP_Aphodius_fossor,20.00
POSCAP_Aphodius_haemorrhoidalis,20.00
POSCAP_Aphodius_luridus,20.00
POSCAP_Aphodius_moestus,22.00
POSCAP_Aphodius_obliteratus,20.00
POSCAP_Aphodius_paykulli,20.00
POSCAP_Aphodius_pedellus,20.00
POSCAP_Aphodius_prodromus,20.00
POSCAP_Aphodius_rufus,20.00
POSCAP_Aphodius_sphacelatus,20.00
POSCAP_Aphodius_sticticus,20.00
POSCAP_Aphodius_vittatus,20.00
POCHGA_Aphthona_lutescens,24.00
POBRAP_Apion_sp,22.00
POATAP_Apoderus_coryli,28.00
POATAP_Apoderus_jekelii,37.00
