NODE	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	
N1	0.126301	0.130829	0.136095	0.1369	0.129057	0.111626	0.0874635	0.0616415	0.0389289	0.0219889	0.0110991	0.00500482	0.00201602	0.000725578	0.000233389	6.71198e-05	1.72663e-05	3.97521e-06	8.19599e-07	1.51433e-07	2.50929e-08	3.73206e-09	4.98665e-10	5.99192e-11	6.48189e-12	6.32088e-13	7.82757e-17	2.20932e-17	5.941e-18	1.52597e-18	3.76057e-19	8.96241e-20	2.09462e-20	4.91743e-21	1.22143e-21	4.07721e-22	
N2	0.0750874	0.091625	0.111438	0.127939	0.134738	0.128579	0.1106	0.0855236	0.0593508	0.0369206	0.0205721	0.0102629	0.00458328	0.00183248	0.000656117	0.000210471	6.05227e-05	1.56118e-05	3.61517e-06	7.52179e-07	1.40748e-07	2.37103e-08	3.59995e-09	4.93237e-10	6.10669e-11	6.84245e-12	6.95078e-13	6.41462e-14	5.39197e-15	4.14276e-16	2.92477e-17	1.91357e-18	1.17653e-19	6.95444e-21	4.17509e-22	3.87209e-23	
N3	0.137045	0.149517	0.153727	0.147099	0.129405	0.103665	0.0751153	0.0490081	0.028702	0.0150574	0.00706598	0.00296334	0.00111007	0.000371361	0.000110956	2.96175e-05	7.06665e-06	1.50815e-06	2.88137e-07	4.93288e-08	7.57543e-09	1.04477e-09	1.29562e-10	1.44654e-11	1.456e-12	1.32302e-13	1.08681e-14	8.0825e-16	5.44982e-17	3.33689e-18	1.85882e-19	9.44817e-21	4.41263e-22	1.93696e-23	8.77473e-25	6.95742e-26	
N4	0.168216	0.177077	0.171136	0.151365	0.121774	0.0885072	0.0577584	0.0336721	0.0174693	0.00804334	0.00328058	0.00118392	0.000377838	0.00010662	2.66083e-05	5.87567e-06	1.1489e-06	1.99108e-07	3.06162e-08	4.18217e-09	5.08179e-10	5.50065e-11	5.31182e-12	4.58333e-13	3.53935e-14	2.45009e-15	1.52292e-16	8.51414e-18	4.28851e-19	1.94948e-20	8.01251e-22	2.98432e-23	1.01185e-24	3.17263e-26	9.96314e-28	5.44124e-29	
N5	0.164486	0.176252	0.17451	0.157134	0.126685	0.090338	0.0564727	0.0307516	0.01452	0.00592508	0.00208455	0.000631257	0.000164369	3.67801e-05	7.07192e-06	1.16869e-06	1.66089e-07	2.03154e-08	2.14101e-09	1.94658e-10	1.529e-11	1.03924e-12	6.12261e-14	3.13225e-15	1.3941e-16	5.4088e-18	1.83295e-19	5.43664e-21	1.41431e-22	3.23373e-24	6.51219e-26	1.15759e-27	1.82088e-29	2.5501e-31	3.33283e-33	7.13877e-35	
N6	0.162925	0.171645	0.166453	0.148522	0.121529	0.090773	0.0615959	0.0378074	0.0209146	0.0103975	0.00463549	0.0018506	0.000660987	0.000211129	6.03059e-05	1.54082e-05	3.52333e-06	7.21595e-07	1.32487e-07	2.18299e-08	3.23179e-09	4.30422e-10	5.16403e-11	5.58894e-12	5.46437e-13	4.83343e-14	3.87367e-15	2.81702e-16	1.86171e-17	1.11981e-18	6.13999e-20	3.07466e-21	1.41162e-22	6.03963e-24	2.64924e-25	2.1393e-26	
N7	0.0782574	0.0924064	0.1085	0.122237	0.128679	0.124485	0.109588	0.0872857	0.0626869	0.0405132	0.023535	0.0122826	0.00575787	0.00242491	0.000917822	0.00031239	9.56811e-05	2.63946e-05	6.56419e-06	1.47328e-06	2.98759e-07	5.48042e-08	9.10567e-09	1.3721e-09	1.8777e-10	2.33684e-11	2.64855e-12	2.73768e-13	2.58449e-14	2.23164e-15	1.76529e-16	1.28195e-17	8.58896e-19	5.4194e-20	3.60143e-21	4.57995e-22	
N8	0.0671826	0.0868252	0.114393	0.140973	0.154614	0.147046	0.119599	0.0825721	0.0482137	0.0237806	0.0099135	0.00349919	0.00104862	0.000267686	5.84285e-05	1.09487e-05	1.76864e-06	2.47337e-07	3.00694e-08	3.19103e-09	2.96791e-10	2.42865e-11	1.7551e-12	1.12413e-13	6.40334e-15	3.25464e-16	1.48072e-17	6.04813e-19	2.22433e-20	7.3858e-22	2.22009e-23	6.05726e-25	1.50534e-26	3.4417e-28	7.7098e-30	3.00039e-31	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
