NODE	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	
N1	0.111414	0.109262	0.105004	0.0988285	0.0910589	0.0821206	0.0725005	0.062698	0.0531752	0.0443154	0.0363956	0.0295772	0.023913	0.0193684	0.0158498	0.0132343	0.0113964	0.0102292	0.00965938	
POCHCH_Timarcha_intricata	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	0.117279	0.110965	0.103942	0.0962781	0.0880638	0.0794269	0.0705444	0.061639	0.052962	0.0447648	0.0372687	0.0306389	0.0249698	0.0202836	0.0165411	0.0136604	0.0115385	0.0100703	0.00916422	
POCHCH_Timarcha_metallica	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0520258	0.0565652	0.0669347	0.0811996	0.0963599	0.108516	0.113794	0.109787	0.0967146	0.0774516	0.0562904	0.0371643	0.0223792	0.0123893	0.00639329	0.00314821	0.00154222	0.000813019	0.000531327	
N4	0.0237446	0.0284165	0.0395974	0.0581612	0.0832363	0.110416	0.131806	0.139107	0.128405	0.103	0.0715638	0.0430533	0.0224956	0.0102907	0.00419016	0.00156946	0.000577332	0.000236612	0.000132985	
N5	0.0240662	0.0287306	0.0397894	0.0578582	0.0818128	0.10737	0.127409	0.134709	0.125829	0.103323	0.0743955	0.0469454	0.0260051	0.0127054	0.00552998	0.00218926	0.000825489	0.000330063	0.00017588	
N6	0.0575744	0.064314	0.0781197	0.09515	0.110487	0.119225	0.118055	0.106554	0.0873326	0.0648592	0.0436046	0.0265446	0.014662	0.00738697	0.0034346	0.00151113	0.000662848	0.000320722	0.000201195	
POCHCH_Timarcha_strangulata	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCH_Timarcha_scabripennis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
