NODE	16	17	18	19	
N1	1.09055e-41	7.15092e-21	0.994612	0.00538792	
N2	1.37714e-46	8.21147e-23	0.999935	6.50337e-05	
N3	2.86202e-34	1.34898e-11	0.999988	1.22948e-05	
POLALU_Luciola_lateralis	0	0	1	0	
POLALU_Luciola_cruciata	0	1	0	0	
N4	1.33979e-48	3.27671e-24	0.999968	3.23886e-05	
N5	9.37198e-47	2.73805e-23	0.999999	9.43254e-07	
POLAPH_Bicellonycha_sp	0	0	1	0	
POLAPH_Photuris_sp	0	0	1	0	
N6	1.23676e-47	9.95917e-24	0.999995	4.99538e-06	
POLALA_Lucidota_sp	0	0	1	0	
N7	8.13528e-49	2.55304e-24	0.999999	5.4897e-07	
N8	1.91203e-48	3.91068e-24	1	2.08562e-08	
N9	1.21967e-48	3.12361e-24	1	5.65581e-09	
N10	3.29978e-50	5.13853e-25	1	2.28165e-11	
POLALA_Ellychnia_corrusca	0	0	1	0	
POLALA_Ellychnia_californica	0	0	1	0	
POLALA_Photinus_pyralis	0	0	1	0	
POLALA_Photinus_australis	0	0	1	0	
N11	4.34093e-46	1.44141e-22	1	1.50601e-07	
POLALA_Aspisoma_sp	0	0	1	0	
N12	2.50804e-35	1.38842e-11	1	2.77013e-09	
POLALA_Pyractomena_borealis	0	1	0	0	
POLALA_Pyractomena_angulata	0	0	1	0	
POLALA_Cryptolestes_sp	0	1	0	0	
