Cat,Polyphaga,Adephaga,
8,2,1,
9,1,0,
10,4,0,
11,2,0,
12,8,1,
13,7,0,
14,13,1,
15,7,0,
16,39,0,
17,21,2,
18,103,1,
19,40,4,
20,281,2,
21,28,2,
22,150,11,
23,21,7,
24,46,10,
25,9,6,
26,45,2,
27,11,6,
28,32,8,
29,7,3,
30,33,9,
31,11,2,
32,30,5,
33,15,11,
34,19,7,
35,3,10,
36,13,12,
37,3,30,
38,13,7,
39,3,7,
40,10,8,
41,1,3,
42,1,5,
43,1,5,
44,4,3,
45,1,3,
46,1,2,
47,1,0,
48,1,1,
49,0,2,
50,1,1,
51,0,1,
52,1,0,
53,1,0,
55,0,2,
56,1,3,
57,0,1,
58,0,2,
60,0,1,
62,0,1,
