Elateridae,Chalcolepidius,zonatus     ,4,4,gonochoristic,XY
Carabidae,Graphipterus,serrator ,8,8,gonochoristic,XY
Scolytidae,Xylosandrus,germanus     ,16,8,gonochoristic,
Chrysomelidae,Homoschema,nigriventre     ,8,8,gonochoristic,XY
Scarabaeidae,Eurysternus,caribaeus     ,8,8,gonochoristic,XY
Micromalthidae,Micromalthus,deblis ,20,10,parthenogenetic,
Scolytidae,Xylosandrus,compactus     ,20,10,gonochoristic,
Chrysomelidae,Apraea,portoricensis ,10,10,gonochoristic,XY
Coccinellidae,Epilachna,cacica     ,10,10,gonochoristic,XY
Elateridae,Hemirrhipus,lineatus     ,10,10,gonochoristic,XY
Lucanidae,Nipponodorcus,rubrofemoratus     ,10,10,gonochoristic,XY
Lucanidae,Nipponodorcus,rubrofemoratus     ,10,10,gonochoristic,XY
Cerambycidae,Plocaederus,obesus ,,10,gonochoristic,
Cantharidae,Malthodes,dispar ,12,11,gonochoristic,XO
Curculionidae,Sitophilus,oryzae     ,12,11,gonochoristic,XO
Elateridae,Agrypnus,sp.     ,12,11,gonochoristic,XO
Elateridae,Pyrophorus,radians     ,12,11,gonochoristic,XO
Chrysomelidae,Homoschema,obesum     ,,11,gonochoristic,complex XY
Carabidae,Megacephala,brasiliensis ,12,12,gonochoristic,XY
Scolytidae,Dendroctonus,mexicanus,12,12,gonochoristic,XY
Scolytidae,Scolytus,multistriatus     ,12,12,gonochoristic,XY
Brentidae,Brentus,anchorago ,12,12,gonochoristic,XY
Brentidae,Brentus,mexicanus ,12,12,gonochoristic,XY
Brentidae,Nemocephalus,femoratus ,12,12,gonochoristic,XY
Brentidae,Proepisphales,elegans ,12,12,gonochoristic,XY
Brentidae,Pseudorychoides,insignis ,12,12,gonochoristic,XY
Brentidae,Trachelizus,sp. 1 ,12,12,gonochoristic,XY
Buprestidae,Melanophila,acuminata ,12,12,gonochoristic,XY
Carabidae,Craspedophorus,angulatus ,12,12,gonochoristic,XY
Chrysomelidae,Alagoasa,equestris ,12,12,gonochoristic,XY
Chrysomelidae,Apraea,portoricensis ,12,12,gonochoristic,XY
Chrysomelidae,Chrysodina,sp. ,12,12,gonochoristic,XY
Chrysomelidae,Doryphora,quadrisignata     ,12,12,gonochoristic,XY
Chrysomelidae,Hispa,armigera     ,12,12,gonochoristic,XY
