"","Chrysolina","Chrysomelidae","Timarcha","Curculionidae","Scarabaeidae","Ips","Bembidion","Cicindela","Carabidae"
"gain",0.6046094528736,0.1824954352947,0.2695157018286,0.25675873732825,0.03706850943215,0.14514160595425,0.00115183402250176,0.1996234192043,0.34379199092235
"loss",0.5090537128762,0.1963173256308,0.3377664844663,0.2172336821323,0.007436240732835,0.22317339657725,0.045390580497445,0.31060572156275,0.3698302049154
"sd.gain",0.0517253104531502,0.00983391202018871,0.0722782987050245,0.0483393201412184,0.0090878561162055,0.0374562580842236,0.00264038959732763,0.0806089420306319,0.0330466779622872
"sd.loss",0.0441059871893769,0.0105787156000613,0.0718563232466821,0.0331753717977053,0.00562619962144435,0.0555089154018619,0.00606492926465366,0.0806173379713781,0.0355495765034455
