"","X","Cerambycidae","Chrysolina","Chrysomelidae","Timarcha","Tenebrionidae","Dendroctonus","Curculionidae","Scarabaeidae","Ips","Elateridae","Dytiscidae","Coccinellidae","Lampyridae","Pterostichus","Bembidion","Cicindela","Carabidae","Harpalus","Cytronus","Calathus","Pimelia"
"gain","gain","0.15496669757575","0.6046094528736","0.1824954352947","0.2695157018286","0.002702561296095","0.43285223709235","0.25675873732825","0.03706850943215","0.14514160595425","0.2549523752995","0.36874295357475","0.1301736829368","0.000864224852451405","0.1704524795854","0.00115183402250176","0.1996234192043","0.34379199092235","0.6507243413415","0.4672883952575","6.0854499600555","2.81144141561e-13"
"loss","loss","0.1656295219565","0.5090537128762","0.1963173256308","0.3377664844663","0.007399091066925","0.4148578374136","0.2172336821323","0.007436240732835","0.22317339657725","0.24848328406815","0.3220277271965","0.1431938781183","0.00138501229172642","0.23070020421005","0.045390580497445","0.31060572156275","0.3698302049154","0.844322443905","0.26095324454285","6.551659673382","0.001486129231275"
"sd.gain.p","sd.gain","0.010990639159574","0.0517253104531502","0.00983391202018871","0.0722782987050245","0.000384307623908669","0.0968871774734608","0.0483393201412184","0.0090878561162055","0.0374562580842236","0.0357082697078099","0.0477117659232321","0.0933934420254046","0.0010583277195465","0.0340930491123759","0.00264038959732763","0.0806089420306319","0.0330466779622872","0.280254507089671","0.0931061840917386","2.07021486816978","5.74193284394412e-14"
"sd.loss.p","sd.loss","0.0132913795019962","0.0441059871893769","0.0105787156000613","0.0718563232466821","0.000773240679134128","0.0928594136182599","0.0331753717977053","0.00562619962144435","0.0555089154018619","0.0468833000994794","0.0672723625314236","0.0808389732009696","0.00101727501118284","0.0529805157094535","0.00606492926465366","0.0806173379713781","0.0355495765034455","0.388912397177068","0.0724251794175392","2.22086257337413","0.000145370957011301"
"sd.gain.t","sd.gain","0.0761133017808426","0.218788621291291","0.0195239618182948","0.476019312231066","0.000711746080192376","0.53067691498181","0.0661348551308129","0.0108524432212357","0.0816219230084004","0.352416693430367","0.128058511607754","0.130180498122574","0.0106420470562996","0.236719565534825","2.02357217397254e-13","0.16363203717153","0.0398613833577908","0.263871799345709","0.385320438738087","5.106599861981","0.000660179612348854"
"sd.loss.t","sd.loss","0.0708885775601568","0.220597540950199","0.0181480733725507","0.439933460843008","0.0020166883199766","0.504325505778213","0.0688153613561567","0.0124511366879292","0.0575064067679886","0.33434913814088","0.13061253499628","0.140489501391135","0.00798509832962523","0.224112928389919","0.000984712986694437","0.133358231112672","0.040778281547201","0.243901525438142","0.521876433839742","4.76097262971104","0.000731052372583532"
