"","group","tree","sigma2.lb","sigma2.ub","z.lb","z.ub","lh","aicc","sigma2.lb","sigma2.ub","alpha.lb","alpha.ub","z.lb","z.ub","lh","aicc"
"1","Bembidion","1","0.335988822392377","0.807223317834843","17.3960905118191","31.4568819655695","-104.081593068115","212.496519469564","0.131439386975525","1.15673622287868","0.755350783797014","7.48214941334791","23.5827840845163","24.7071629187064","-78.848776305419","164.383266896552"
"2","Bembidion","2","0.21811302913559","0.524023144676343","19.3978184762925","29.4122024536323","-95.3896516076288","195.112636548591","0.0710246909590232","0.421685079101753","0.426403379982085","2.69663101926493","23.5245557953278","24.7434329324922","-78.1138007770273","162.913315839769"
"3","Bembidion","5","0.243542676336501","0.585118655412851","18.9643593489078","29.8986816212556","-96.2437374950322","196.820808323398","0.0791001651564323","0.514420210616436","0.480531262884481","3.27128317285497","23.5342040166977","24.7231957910998","-77.0997858145205","160.885285914755"
"4","Bembidion","7","0.14141667196686","0.339757828003413","19.6433079696922","29.4648280018101","-87.9333295741484","180.19999248163","1.29809378628349e-16","1.29810417924315e-16","0.140598931305276","0.337955082719812","19.5761694217353","29.5321658669404","-71.8395674974705","150.364849280655"
"5","Bembidion","8","0.0892756906186996","0.214487543331495","20.3867920265158","28.8410291837061","-81.6878542206536","167.70904177464","6.83497547778859e-17","6.8351594268197e-17","0.0890076262015841","0.213883565654578","20.377674488364","28.8681797413325","-65.3073422506715","137.300398787057"
"6","Bembidion","10","0.112410101845599","0.27006869046869","20.6965699969737","28.2199431670228","-82.3203511468026","168.974035626939","7.08234787587564e-17","7.08264253523348e-17","0.114269472192154","0.275014544783124","20.4409885645761","28.1068437272835","-66.0143034494772","138.714321184669"
"7","Bembidion","11","0.169174227252561","0.406446180530541","19.2998961099184","29.737340372886","-91.1879274174857","186.709188168305","0.0494826872240101","0.289484945898019","0.313735952223434","1.85946979942005","23.5006779655768","24.7654402536008","-77.6417686318312","161.969251549377"
"8","Bembidion","12","0.480263423329711","1.15384730795388","18.0202850517749","30.6590988420551","-110.465841064891","225.265015463114","0.195502473783917","1.52545836740705","1.13731788294912","9.80038870317691","23.5703649387228","24.703943909641","-78.6834850150017","164.052684315718"
"9","Bembidion","13","0.16312625365216","0.391915750769371","20.2023933291008","28.5073717022027","-91.9785253210553","188.290383975444","9.01108967709035e-20","1.03921433585613e-12","7.39954704491282e-05","860.081661563254","19.9288573325805","28.2358685828492","-76.9277260166653","160.541166319045"
"10","Bembidion","14","0.124773957494261","0.299773199597147","20.800036212644","27.9750489023483","-82.6134388932967","169.560211119927","3.29048294190589e-16","3.29087513540629e-16","0.124733902270119","0.299695258461275","20.8123597601036","27.9650166561126","-67.6132557698728","141.91222582546"
"11","Bembidion","15","0.132116342760393","0.317413493105707","20.7106502436763","27.9593011639546","-87.1239927902505","178.581318913834","2.17810015883986e-17","2.17814305776743e-17","0.130900811821648","0.314443438094414","20.7364742918338","27.9474631884072","-53.2193438728198","113.124402031354"
"12","Bembidion","16","0.230392097952192","0.553523997415098","18.6834831470357","30.0874590431865","-98.8855587418521","202.104450817038","0.0796794549173552","0.52054457960909","0.468773531134996","3.3444634844106","23.5446504318398","24.7189897470423","-78.3152237436997","163.316161773114"
"13","Bembidion","17","0.0883450080275269","0.212251557383214","20.4998108742827","28.6973984439032","-83.1320467524664","170.597426838266","0.0221300270677316","0.128243937691915","0.15168460477163","0.797735400267684","23.4560593499044","24.9316195995137","-77.173524440365","161.032763166444"
"14","Bembidion","18","0.168319323750538","0.404392270347417","19.7308464674415","29.1268569287839","-93.0051258998461","190.343585133025","1.69419240879108e-17","1.69419438823162e-17","0.251447151382831","0.648442308541051","12.3075436390571","24.9953612142682","-35.2374586291582","77.1606315440306"
"15","Bembidion","19","0.186644962085925","0.448420121454777","19.3002643816726","29.5087013706646","-94.073949980645","192.481233294623","9.78944463568523e-17","9.78996746789016e-17","0.185529330735478","0.446436542416981","18.8215702734753","28.7898472147284","-77.8798498341377","162.44541395399"
"16","Bembidion","22","0.157113798468761","0.377470708944396","19.7740056419791","29.2283681865525","-88.7134463506764","181.760226034686","0.0429419829642479","0.217205905062318","0.282296929049758","1.39609466246898","23.4790765355964","24.8282615709002","-77.39055414347","161.466822572654"
"17","Bembidion","23","0.115052538617817","0.276417207968199","19.9653175334714","29.22015530267","-86.7751872430334","177.8837078194","2.55662114115854e-17","2.55663571955333e-17","0.102606581063753","0.23740177523684","20.4684107915914","28.9592555506981","-69.5098209351789","145.705356156072"
"18","Bembidion","24","0.108917591958242","0.261677807812649","19.9487405899612","29.1464293619519","-85.3404234268566","175.014180187047","3.05202459721017e-17","3.05202819328391e-17","0.108027878062992","0.259637033644781","20.0399937729389","29.0583506747613","-51.5878780363857","109.861470358486"
"19","Bembidion","25","0.0857478646083065","0.206011827516353","20.6997336975785","28.5971643113188","-78.8685967912213","162.070526915776","3.1717248953938e-17","3.17175942922909e-17","0.089486936652124","0.214961197457179","20.6421539199253","28.6878190303026","-30.2278166147191","67.1413475151526"
"20","Bembidion","27","0.147801821929862","0.355098353341068","19.3477902238863","29.7821925151694","-89.6157148603205","183.564763053974","0.037853826818552","0.266171991662756","0.257492519113321","1.68751648410344","23.5817735721204","24.8915407489907","-77.7708585946802","162.227431475075"
"21","Bembidion","28","0.175649719796707","0.42200375641989","19.8326438968394","28.8014437634845","-92.8727942824004","190.078921898134","3.4732078890094e-20","4.75063273183497e-14","0.000234393887524146","320.654701184678","19.9624406778987","28.6787521453551","-75.569554797521","157.824823880756"
