"","group","sigma","alpha","z"
"1","Bembidion",2.3773326087741,0.389925662409929,24.1449725249355
"2","Bembidion",1.07231339017213,0.173061105384031,24.1339932430726
"3","Bembidion",0.513154007407904,0.075849124918664,24.1484734772368
"4","Bembidion",0.286090339207664,2.79662754133964e-17,25.0183229124085
"5","Bembidion",1.25375835848124,0.201717416535539,24.1286976628142
"6","Bembidion",0.376641327418268,5.58721810110396e-17,22.1860024912077
"7","Bembidion",0.218190296285233,1.25541467707931e-16,24.5784151871809
"8","Bembidion",0.137951981768314,6.83506765477234e-17,24.624838475068
"9","Bembidion",0.318148154428427,1.43333296262879e-17,24.4464194194406
"10","Bembidion",0.179193981846016,5.81784576111254e-17,24.8188356333398
"11","Bembidion",0.76379443989372,0.11968490094699,24.1330590038227
"12","Bembidion",3.33862567235033,0.546113192853605,24.1371548424189
"13","Carabidae",2.01082472117884,1.52786243850605e-17,29.15648722785
"14","Carabidae",35.6704533271221,0.193506093280193,31.3709868378382
"15","Carabidae",6.03672248447576,0.0301441550686108,31.0655378641145
"16","Carabidae",7.25087913007352,0.0365666759530433,31.0347122776566
"17","Carabidae",3.88795919135969,0.0213114428079582,30.4559287443205
"18","Carabidae",5.52774533991822,0.0287072963830367,31.0993444163658
"19","Carabidae",9.18977809144244,0.0470658891530545,31.3468837665112
"20","Carabidae",266.800889347094,1.49810332298662,31.5521274984709
"21","Carabidae",7.31777638004603,0.037880379360517,31.2146818225653
"22","Carabidae",3.62028479147531,0.020660762269159,30.2598716293467
"23","Carabidae",12.5350526304345,0.0658399253057807,31.4837081712436
"24","Carabidae",5.78968900348577,0.0282461397159487,31.4607925370575
"25","Chrysolina",0.43973753287047,1.206494879943e-17,32.1403529847969
"26","Chrysolina",0.47721428753346,1.45926180472871e-17,32.0565928589897
"27","Chrysolina",0.548495946932775,1.90594084051776e-16,31.5960020510154
"28","Chrysolina",0.520035706512463,8.6347639060146e-18,31.5996915142115
"29","Chrysolina",0.509281439221267,8.74469380742663e-18,32.6426661560125
"30","Chrysolina",0.616837019439041,1.46148996445823e-17,32.5034399349329
"31","Chrysolina",0.592464703700037,2.25393247185264e-17,32.1637963000954
"32","Chrysolina",0.505881555826981,4.82595611490128e-18,31.1663826482334
"33","Chrysolina",0.50759909566556,3.81868121798349e-18,31.5078543278631
"34","Chrysolina",0.5167977042272,1.05731485063676e-17,32.2808772409964
"35","Chrysolina",0.613211709703334,5.75631953989427e-17,31.6150140646875
"36","Chrysolina",0.513994814677,2.19458139436442e-17,31.5604854320335
"37","Chrysomelidae",0.691688445060588,2.72529231276394e-16,18.7588058516175
"38","Chrysomelidae",0.703338125187898,7.09806011622124e-16,26.1398233334639
"39","Chrysomelidae",1.17881775752429,0.00950792977650798,25.1828243610222
"40","Chrysomelidae",1.26970500510628,0.0102710814086927,25.4065212682419
"41","Chrysomelidae",0.704737775150178,1.10370706900588e-16,24.6749507739348
"42","Chrysomelidae",2.52926645425344,0.0194677248394074,26.0525188223004
"43","Chrysomelidae",2.49722733695427,0.0193062761263372,25.8868301966824
"44","Chrysomelidae",1.64181855806149,0.0128323538378042,25.6569225998561
"45","Chrysomelidae",1.70185765469627,0.0134878080781558,25.4600446564811
"46","Chrysomelidae",0.650196889640259,1.21315924322994e-16,20.9274293123894
"47","Chrysomelidae",0.727576458756476,2.03997820592075e-17,25.442847946131
"48","Chrysomelidae",40.7557238666677,0.354009440831496,26.2823101523664
"49","Cicindela",0.408567794932439,4.46860573417764e-17,26.5137270610803
"50","Cicindela",0.340003462428175,4.31070154465342e-18,26.5925577504265
"51","Cicindela",0.35428043267717,2.98444295373792e-18,26.830430667975
"52","Cicindela",0.306911383171548,2.48122996922791e-18,27.5513149202211
"53","Cicindela",0.3696526242765,1.54596698620237e-17,26.5863404678064
"54","Cicindela",0.45687288657473,4.056519154261e-18,25.457516072937
"55","Cicindela",0.324387149023799,3.01280796403945e-17,27.0370847318714
"56","Cicindela",0.412758364299522,4.9313970224063e-17,26.3521893556432
"57","Cicindela",0.419329764862147,2.21196650809904e-17,26.3481641167703
"58","Cicindela",0.358849926425109,1.42615128696589e-17,26.6175560570333
"59","Cicindela",0.282769301065952,2.99199203459021e-17,26.6041254903552
"60","Cicindela",0.369256376079983,4.02479745427045e-18,27.1807512404317
"61","Curculionidae",232.658555805879,2.71828166431536,26.1426543307309
"62","Curculionidae",86.1607163041997,1.00897770427094,26.1670831983275
"63","Curculionidae",0.669963097965805,2.08234360425822e-17,25.7887631680621
"64","Curculionidae",0.373049658428183,1.51565801559687e-18,25.2122723943027
"65","Curculionidae",0.975841391565886,2.1424897599853e-17,25.4410054661445
"66","Curculionidae",232.377872508165,2.71828176522543,26.1460145373
"67","Curculionidae",232.224209840576,2.71828080674457,26.1481287755383
"68","Curculionidae",35.0737752763251,0.409042540447157,26.1852303468662
"69","Curculionidae",57.8429051584217,0.676194136435631,26.1846208713249
"70","Curculionidae",232.237772156,2.7182817550809,26.1480704835957
"71","Curculionidae",235.07895341929,2.71828172095078,26.1292448844649
"72","Curculionidae",42.7643596047266,0.499951948855197,26.1766328145455
"73","Ips",0.119015153408772,9.82217833849479e-18,25.2337803421154
"74","Ips",0.135626883944339,8.47139886586309e-18,27.6949759807868
"75","Ips",0.127999487685391,8.347639438284e-18,27.6249656598763
"76","Ips",0.130716867393005,7.15298484898978e-18,23.5174895624689
"77","Ips",0.124917158584358,1.63582740580404e-17,27.2247788136697
"78","Ips",0.144948440754511,1.96580891365514e-17,28.4106309523189
"79","Ips",0.122881926246613,5.15999595824781e-18,27.0813305279183
"80","Ips",0.152014410752917,8.35739328072771e-18,27.5373835898316
"81","Ips",0.130280435218704,8.86846581898911e-18,27.0697697293314
"82","Ips",0.170346360120196,1.03619648636931e-17,26.0635559388391
"83","Ips",0.378333276663076,1.12431006851716e-17,20.2576067858799
"84","Ips",0.147211152410995,7.75808210140296e-18,27.0645405330784
"85","Scarabaeidae",0.187815489272506,0.0183461511524356,19.401960435506
"86","Scarabaeidae",0.253635565573983,0.0259918468943495,19.435424828754
"87","Scarabaeidae",0.15021879864377,0.0145969877853963,19.3650590890677
"88","Scarabaeidae",0.655435896875604,0.0668712188546339,19.3412321561678
"89","Scarabaeidae",0.0981640334410716,3.54892690353639e-17,19.3809984455384
"90","Scarabaeidae",0.267875788187459,0.0265191592013772,19.434298881469
"91","Scarabaeidae",0.0759916970476812,3.97258357234618e-17,19.2528842576297
"92","Scarabaeidae",25.9216370650206,2.71736663357727,19.343685849113
"93","Scarabaeidae",0.0717697778592187,4.1580958764458e-17,19.3444742066896
"94","Scarabaeidae",0.0767531332569949,4.63686341077372e-17,19.4550786263458
"95","Scarabaeidae",0.519155583922219,0.0538229855068481,19.4066902652877
"96","Scarabaeidae",0.483872408523034,0.0501973859089256,19.4097982772656
"97","Timarcha",1.07863901756327,3.2854592363196e-17,7.95983713825375
"98","Timarcha",0.451793739385833,1.75765304360579e-17,28.696113228179
"99","Timarcha",0.578007640150601,1.54546699850524e-16,24.5531674689757
"100","Timarcha",0.419077903671048,3.42083877695177e-17,29.6213448018437
"101","Timarcha",0.566610331565671,5.20312569075996e-17,24.311589360996
"102","Timarcha",0.527788071887024,2.48226273097405e-17,17.655850931488
"103","Timarcha",0.687256997637673,2.53659448582218e-17,24.513925023733
"104","Timarcha",0.366665474332526,8.58767374205881e-17,30.49083841024
"105","Timarcha",0.766407400952277,2.70125258963387e-17,11.9720425075882
"106","Timarcha",0.487090754777411,2.09397104118771e-16,29.5117331002501
"107","Timarcha",0.31429439612201,1.99905559615773e-17,28.1268851870355
"108","Timarcha",0.455492326345323,4.49147276645575e-17,18.8401129624485
